# epsilon:0.000160054
# mass:0.14
# sign:-1
alpha,RePhi,ImPhi,ReDPhi,ImDPhi
0.,0.,-0.11067533877176476,0.15901190224228748,-0.11243839436489386
0.01,-0.000025422365182134777,-0.11065736786141969,0.15949838114088058,-0.11283731196499201
0.02,-0.0000737164123791088,-0.1106231784439886,0.15972960446288795,-0.11310546434456756
0.03,-0.00014339833469837252,-0.11057379982379281,0.1598874053217433,-0.11336821402404537
0.04,-0.00023381417773810046,-0.11050963505644819,0.16006318272626094,-0.11368899484289098
0.05,-0.00034483727590660905,-0.11043069758428493,0.16029531555779428,-0.11409506615909022
0.06,-0.0004766379054765539,-0.11033676735767672,0.160593845026185,-0.11459443174992658
0.07,-0.0006295425464396052,-0.11022750058910623,0.16095586907489864,-0.11518633622976274
0.08,-0.0008039408958906763,-0.11010248822066862,0.16137446015581283,-0.11586736516638534
0.09,-0.0010002282955829584,-0.10996129361486104,0.1618432648281965,-0.11663458129087802
0.1,-0.0012187861817215416,-0.10980346303546835,0.16235837473531928,-0.11748684126593996
0.11,-0.0014599822409782925,-0.10962853248625705,0.1629186006358161,-0.11842498847131941
0.12,-0.0017241849033235203,-0.10943601243146642,0.16352492241909855,-0.119451539402179
0.13,-0.002011788029352093,-0.10922537448631083,0.16417962097108704,-0.12057013251803583
0.14,-0.0023231849342666565,-0.1089960384828184,0.16488545503045898,-0.12178495909203786
0.15,-0.0026588487426157633,-0.10874735756505317,0.1656448959569036,-0.12310030375583557
0.16,-0.0030193171754623205,-0.10847859325024159,0.16645967945965567,-0.12452025076698625
0.17,-0.0034051883412282513,-0.10818893948611621,0.16733058034838727,-0.12604847526625937
0.18,-0.0038171399419309558,-0.10787747852226742,0.16825736304565878,-0.12768826100220573
0.19,-0.004255921510692509,-0.10754319139452574,0.16923889955453614,-0.12944258802056322
0.2,-0.0047223384084755194,-0.10718496958890993,0.1702733825406822,-0.13131419020796903
0.21,-0.005217287959157044,-0.10680159764533216,0.17135853234157158,-0.13330579285325223
0.22,-0.005741697893055583,-0.1063917673233957,0.17249186468353522,-0.1354202232672617
0.23,-0.006296548251161614,-0.1059540619848384,0.17367085325824752,-0.13766057658232936
0.24,-0.0068828538454875215,-0.10548697942093352,0.17489305430677002,-0.14003028013523824
0.25,-0.007501656015970056,-0.10498890504042635,0.17615615938995033,-0.1425331382776563
0.26,-0.008154018274353905,-0.10445814556199247,0.17745796641147887,-0.14517332013768525
0.27,-0.008841014937125578,-0.10389289028811531,0.17879628057715014,-0.147955270130665
0.28,-0.009563723948918915,-0.10329127848953139,0.18016879203183647,-0.15088367374213696
0.29,-0.010323222219848298,-0.10265125340631419,0.1815729101501971,-0.15396308710456208
0.3,-0.01112056652342117,-0.1019707164844998,0.18300551782492464,-0.15719800399851844
