"alpha","RePhi","ImPhi","ReDPhi","ImDPhi"
0.,0.10692253537691934,0,-0.12317008984662825,0
0.01,0.10694221370468711,0,-0.12349384768750978,0
0.02,0.1069795986820197,0,-0.12357185029136968,0
0.03,0.1070334786138637,0,-0.12354804042309885,0
0.04,0.10710329095670668,0,-0.12349437244945029,0
0.05,0.10718886543734724,0,-0.12344045604038635,0
0.06,0.1072902482850107,0,-0.12339319733492596,0
0.07,0.10740758110164347,0,-0.12334909521586904,0
0.08,0.10754103104216893,0,-0.12330135111555793,0
0.09,0.10769074823079666,0,-0.12324354056023598,0
0.1,0.10785686159827994,0,-0.12317106874107989,0
0.11,0.10803945568699222,0,-0.12308138892058922,0
0.12,0.1082385919559943,0,-0.12297348903094049,0
0.13,0.10845431913591509,0,-0.122847211534443,0
0.14,0.10868668111186096,0,-0.1227024752622828,0
0.15,0.10893573419051597,0,-0.12253873446006534,0
0.16,0.10920154723012139,0,-0.12235458949528956,0
0.17,0.10948419944978129,0,-0.12214768639053107,0
0.18,0.10978379970205315,0,-0.12191444862077763,0
0.19,0.11010046076950243,0,-0.1216503695935626,0
0.2,0.11043430012343025,0,-0.12135018115474958,0
0.21,0.11078542633651753,0,-0.12100790816048099,0
0.22,0.11115393445695942,0,-0.1206172301877981,0
0.23,0.11153988608971606,0,-0.12017144773212297,0
0.24,0.11194329981005642,0,-0.1196636961332144,0
0.25,0.11236415399384317,0,-0.11908694813014031,0
0.26,0.11280234760290972,0,-0.11843395718338517,0
0.27,0.11325770357911213,0,-0.11769722093026554,0
0.28,0.11372996550598229,0,-0.1168689051852595,0
0.29,0.11421877103064045,0,-0.11594070950477535,0
0.3,0.11472364632526691,0,-0.11490377641461892,0
0.31,0.11524401422538091,0,-0.11374862249410936,0
0.32,0.1157791239563134,0,-0.11246501409100722,0
0.33,0.11632809329615701,0,-0.11104202403676683,0
0.34,0.11688988161613151,0,-0.10946800582076587,0
0.35000000000000003,0.117463263118107,0,-0.10773067590265964,0
0.36,0.11804682695981318,0,-0.10581721278474134,0
0.37,0.11863896562912721,0,-0.10371437218316462,0
0.38,0.11923784055674723,0,-0.10140867976736233,0
0.39,0.11984142044261369,0,-0.09888657395348373,0
0.4,0.12044736253319832,0,-0.09613466939323541,0
0.41000000000000003,0.12105322065892228,0,-0.0931397134056705,0
0.42,0.1216561660533123,0,-0.08988914093532573,0
0.43,0.12225319387569841,0,-0.08637091576471242,0
0.44,0.12284106124816536,0,-0.08257376641682117,0
0.45,0.12341627002999717,0,-0.07848734173558557,0
0.46,0.12397510228772864,0,-0.07410229341164878,0
0.47000000000000003,0.12451360247268801,0,-0.06941040622178449,0
0.48,0.12502762069085468,0,-0.06440464432447578,0
0.49,0.12551280100778767,0,-0.059079279389518985,0
0.5,0.12596461497301978,0,-0.0534299737181134,0
0.51,0.12637836486656448,0,-0.04745389937836062,0
0.52,0.12674921562491726,0,-0.04114987546332566,0
0.53,0.12707220553608078,0,-0.034518495661850675,0
0.54,0.12734227847980129,0,-0.02756233398223819,0
0.55,0.1275543000553469,0,-0.020286055367249593,0
0.56,0.12770309544425923,0,-0.012696704993387382,0
0.5700000000000001,0.12778346161829593,0,-0.004803903595129499,0
0.58,0.1277902125695026,0,0.0033803468516404077,0
0.59,0.12771822833959232,0,0.01184069839276261,0
0.6,0.12756242564646944,0,0.020559460438585232,0
0.61,0.12731791095086795,0,0.029515373510833758,0
0.62,0.1269798877732024,0,0.038684523113476824,0
0.63,0.12654379926567877,0,0.0480399158012015,0
0.64,0.12600536357519818,0,0.057551478026159716,0
0.65,0.12536048696106766,0,0.06718684357715432,0
0.66,0.12460559054267158,0,0.07691054928527095,0
0.67,0.12373726147860077,0,0.08668537439166125,0
0.68,0.12275271254413668,0,0.09647167231957708,0
0.6900000000000001,0.12164949507305454,0,0.10622820068658355,0
0.7000000000000001,0.12042567865333839,0,0.11591226304731657,0
0.71,0.11907990130524437,0,0.12547988734557347,0
0.72,0.11761133601164177,0,0.13488622744354015,0
0.73,0.11601975841245205,0,0.14408573981229605,0
0.74,0.11430554479056838,0,0.15303256460830386,0
0.75,0.11246969317359766,0,0.1616807551092927,0
0.76,0.11051384320523244,0,0.16998469520926054,0
0.77,0.10844025201381355,0,0.17789942719556673,0
0.78,0.10625183644582394,0,0.18538121702422444,0
0.79,0.10395210365196368,0,0.1923879895269909,0
0.8,0.10154521106495867,0,0.19888010874113138,0
0.81,0.09903584742423732,0,0.20482087109247005,0
0.8200000000000001,0.09642932526805342,0,0.21017755573852778,0
0.8300000000000001,0.09373146506786025,0,0.21492196948970485,0
0.84,0.09094847976455775,0,0.21903105698383946,0
0.85,0.08808716334306652,0,0.22248830084313911,0
0.86,0.08515449314710898,0,0.22528306094827621,0
0.87,0.08215792376751181,0,0.22741247580787805,0
0.88,0.07910503126672308,0,0.22888019061237974,0
0.89,0.07600360226005233,0,0.2296973605248823,0
0.9,0.07286150176763352,0,0.22988190104819115,0
0.91,0.0696866086174901,0,0.22945766122123284,0
0.92,0.06648670103070789,0,0.228454554482896,0
0.93,0.06326949492335295,0,0.2269063236579671,0
0.9400000000000001,0.06004238578180139,0,0.22485091023543083,0
0.9500000000000001,0.05681260598890375,0,0.22232820133832681,0
0.96,0.053586989202142436,0,0.219379789270444,0
0.97,0.05037197868698492,0,0.21604781681055843,0
0.98,0.04717370590619766,0,0.2123740795502756,0
0.99,0.04399764605052973,0,0.20839998875706137,0
1.,0.040849052960345994,0,0.20416564635048934,0
1.01,0.03773242226246081,0,0.1997102780256097,0
1.02,0.0346519493007183,0,0.19507179430265778,0
1.03,0.03161122164431901,0,0.19028707345280646,0
1.04,0.028613308338938374,0,0.18539191391520926,0
1.05,0.02566092624456035,0,0.18042096157117554,0
1.06,0.02275611338059851,0,0.1754075280691836,0
1.07,0.019900708312768127,0,0.170383211221556,0
1.08,0.01709592857885578,0,0.16537729394106007,0
1.09,0.014342765423775317,0,0.1604161469586613,0
1.1,0.011641820107510071,0,0.15552246221152688,0
1.11,0.008993387162588264,0,0.1507146380961089,0
1.12,0.006397582202655103,0,0.14600643245447556,0
1.1300000000000001,0.003854214495017484,0,0.1414067378016354,0
1.1400000000000001,0.0013630141969496641,0,0.13692009897241159,0
1.1500000000000001,-0.0010765229969533438,0,0.1325473159633102,0
1.16,-0.003464971883012571,0,0.12828679692197845,0
1.17,-0.0058030551269386945,0,0.12413598282180632,0
1.18,-0.008091615626749758,0,0.12009296007736592,0
1.19,-0.010331570123460393,0,0.11615798096176494,0
1.2,-0.012524019927174336,0,0.11233439404086475,0
1.21,-0.01467011428070403,0,0.10862915718909401,0
1.22,-0.016771167382270753,0,0.10505219473228174,0
