# epsilon:0.000160054
# mass:1
# sign:1
alpha,RePhi,ImPhi,ReDPhi,ImDPhi
0.,0.008001349886112967,0,-0.20113591446466556,0
0.01,0.0080334903339786,0,-0.2015481555938778,0
0.02,0.008094457769142624,0,-0.20145173921133594,0
0.03,0.008182217725671207,0,-0.2010844354078168,0
0.04,0.008295720528021957,0,-0.20056094262434687,0
0.05,0.008434512671336275,0,-0.19992245821095653,0
0.06,0.008598435899366303,0,-0.1991698150893464,0
0.07,0.008787437665684853,0,-0.19828411320482053,0
0.08,0.009001441243048483,0,-0.19723871518808897,0
0.09,0.009240261037980453,0,-0.19600543789566302,0
0.1,0.009503563722194748,0,-0.19455692531524743,0
0.11,0.009790853341235846,0,-0.19286682432204505,0
0.12,0.010101472439121035,0,-0.19090884609197656,0
0.13,0.010434587788921399,0,-0.18865514268178205,0
0.14,0.010789212196750178,0,-0.18607539664670772,0
0.15,0.011164174413977546,0,-0.1831350597736045,0
0.16,0.011558124628926969,0,-0.17979499178206743,0
0.17,0.011969475991871457,0,-0.17601076072427121,0
0.18,0.012396395799943295,0,-0.17173262938125355,0
0.19,0.012836709765979278,0,-0.16690550006294838,0
0.2,0.013287906036476428,0,-0.16146969338706527,0
0.21,0.013747014404269347,0,-0.15536108697565756,0
0.22,0.014210560075830629,0,-0.14851184283366656,0
0.23,0.01467448523812138,0,-0.14085119426463108,0
0.24,0.015134084394731502,0,-0.1323062427136617,0
0.25,0.015583929161967948,0,-0.12280284933178241,0
0.26,0.016017774144795993,0,-0.11226696391546961,0
0.27,0.01642850560611833,0,-0.10062618083063274,0
0.28,0.016808105936304468,0,-0.08781136969819188,0
0.29,0.0171475669129583,0,-0.07375949536564413,0
0.3,0.017436890674667038,0,-0.058416245346955935,0
0.31,0.017665076225242365,0,-0.04173984867278286,0
0.32,0.01782014731210025,0,-0.023705454824636422,0
0.33,0.017889219348734626,0,-0.004310335753734293,0
0.34,0.017858617177479715,0,0.016420195001289814,0
0.35000000000000003,0.017714047457758942,0,0.038426179994028614,0
