# epsilon:0.000160054
# mass:0.312
# sign:-1
alpha,RePhi,ImPhi,ReDPhi,ImDPhi
0.,0.018134002445886824,0,0.21333685358718363,0
0.01,0.01809989242797824,0,0.2140342183743402,0
0.02,0.018035071833180337,0,0.21442933111630594,0
0.03,0.017941499913598162,0,0.21476326054786493,0
0.04,0.017820007761996652,0,0.21515720240262512,0
0.05,0.017670703575203714,0,0.21566215642059497,0
0.06,0.017493284787589502,0,0.2162915753630712,0
0.07,0.01728722407734391,0,0.2170417160859949,0
0.08,0.017051895148050528,0,0.2179034051465621,0
0.09,0.016786647532535184,0,0.2188681035650547,0
0.1,0.016490835032738727,0,0.21993038262225784,0
0.11,0.016163815108618244,0,0.22108830131158075,0
0.12,0.015804932943285267,0,0.22234269699277967,0
0.13,0.015413492639553505,0,0.22369604994147663,0
0.14,0.014988753365260689,0,0.22515132621285405,0
0.15,0.014529872012996848,0,0.2267110289572036,0
0.16,0.014035926438541247,0,0.22837655779737445,0
0.17,0.013505862559852921,0,0.23014779772387747,0
0.18,0.012938530892995001,0,0.23202307052588217,0
0.19,0.012332658129991965,0,0.2339991908498213,0
0.2,0.01168687029253471,0,0.23607164297701475,0
0.21,0.010999707339102889,0,0.23823491935495958,0
0.22,0.010269609511832383,0,0.24048253501671296,0
0.23,0.00949495757197573,0,0.24280760828774053,0
0.24,0.008674088962943551,0,0.24520239905272584,0
0.25,0.007805305543053442,0,0.2476587087321399,0
0.26,0.0068868856299965945,0,0.2501674644930211,0
0.27,0.005917116727987536,0,0.2527187032145021,0
0.28,0.00489429834177451,0,0.2553011079272017,0
0.29,0.003816785951608027,0,0.2579016553007122,0
0.3,0.0026829844108089947,0,0.26050538996030326,0
0.31,0.0014914134340589778,0,0.26309470170749455,0
0.32,0.00024069899429504725,0,0.2656493880748468,0
0.33,-0.0010703600513763852,0,0.26814589669772304,0
0.34,-0.0024427629463721428,0,0.2705574028694788,0
0.35000000000000003,-0.0038772866826517023,0,0.27285346704678626,0
0.36,-0.005374387542170948,0,0.27499993865762684,0
0.37,-0.006934189375531957,0,0.27695901493890357,0
0.38,-0.008556428675154886,0,0.278689275937946,0
0.39,-0.010240370219166297,0,0.28014579863774697,0
0.4,-0.011984772212014909,0,0.2812804677794315,0
0.41000000000000003,-0.013787838714300636,0,0.2820422471091978,0
0.42,-0.01564715298396042,0,0.2823774699446383,0
0.43,-0.017559544694262613,0,0.28223025442732125,0
0.44,-0.019521270912119346,0,0.2815429560062682,0
0.45,-0.021527616336308585,0,0.28025667469821886,0
0.46,-0.02357322253100646,0,0.2783116869820443,0
0.47000000000000003,-0.025651780329130153,0,0.27564802571498803,0
0.48,-0.02775615524186913,0,0.27220608226817117,0
0.49,-0.029878325060396508,0,0.26792718572689606,0
0.5,-0.03200931648722968,0,0.2627545765911514,0
0.51,-0.03413931814747529,0,0.25663393295977066,0
0.52,-0.03625761263377574,0,0.249514432413712,0
0.53,-0.03835258564153584,0,0.24135004023457127,0
0.54,-0.04041185721378007,0,0.23210010236481174,0
0.55,-0.04242224327335473,0,0.22173096979616097,0
0.56,-0.0443698105422008,0,0.2102179352154082,0
0.5700000000000001,-0.04624008045540617,0,0.197544729206258,0
0.58,-0.04801797248503056,0,0.1837077133615373,0
0.59,-0.0496880677084749,0,0.1687139943199553,0
0.6,-0.051234626857830326,0,0.15258632277610304,0
0.61,-0.05264181039010827,0,0.1353601208625961,0
0.62,-0.05389386920532122,0,0.11708889063870602,0
0.63,-0.05497522649751658,0,0.09783990767583577,0
0.64,-0.055870897126092556,0,0.07769973795729752,0
0.65,-0.05656637385628542,0,0.05676868470708537,0
0.66,-0.057048310425697156,0,0.03516594539942553,0
0.67,-0.057304156725548866,0,0.013023138498920544,0
0.68,-0.05732311772065409,0,-0.00951140323502217,0
0.6900000000000001,-0.05709550028932116,0,-0.032279437337200546,0
0.7000000000000001,-0.05661393104865067,0,-0.05510986182159526,0
