# epsilon:0.000160054
# mass:0.312
# sign:-1
alpha,RePhi,ImPhi,ReDPhi,ImDPhi
0.,0.057344750824066655,0,0.,0
0.01,0.05734473888514072,0,0.00014130446809202256,0
0.02,0.05734465541963645,0,0.0004106272751673317,0
0.03,0.057344391141812986,0,0.0007996472845879332,0
0.04,0.05734379618061548,0,0.0013052928772497954,0
0.05,0.05734267599544521,0,0.0019278327600916341,0
0.06,0.05734078801355533,0,0.00266960843647092,0
0.07,0.05733783841637299,0,0.0035339623650201615,0
0.08,0.057333478846517315,0,0.004524678144525493,0
0.09,0.05732730397325354,0,0.005645724703626918,0
0.1,0.057318845619435364,0,0.006901182772966009,0
0.11,0.05730757929794507,0,0.00829535329891823,0
0.12,0.05729290946391923,0,0.009832796411771802,0
0.13,0.057274173170355686,0,0.011518577023472944,0
0.14,0.05725063644672348,0,0.013358300524968503,0
0.15,0.05722147716212154,0,0.015358281662288708,0
0.16,0.05718578907428757,0,0.0175255200560698,0
0.17,0.057142571666897,0,0.01986770827799892,0
0.18,0.0570906979021341,0,0.022393284394367406,0
0.19,0.05702895232931527,0,0.025111268252366713,0
0.2,0.05695595320360485,0,0.028031320736685857,0
0.21,0.05687021112583399,0,0.031163662192212133,0
0.22,0.0567700474820064,0,0.034518981119295696,0
0.23,0.05665365981416228,0,0.038108466433124676,0
0.24,0.05651902113714908,0,0.04194370317017155,0
0.25,0.05636396669894393,0,0.04603670808444905,0
0.26,0.05618607555248474,0,0.050399743280423154,0
0.27,0.055982774663776776,0,0.05504539801522298,0
0.28,0.05575120493608375,0,0.05998623960617604,0
0.29,0.05548837197666642,0,0.06523502611267078,0
0.3,0.05519090738206474,0,0.07080383115566204,0
0.31,0.05485522884426293,0,0.07670437449595569,0
0.32,0.05447765822274178,0,0.08294812629673828,0
0.33,0.054054059742400434,0,0.08954443521414447,0
0.34,0.05358015806738999,0,0.09650173103268775,0
0.35000000000000003,0.053051425522281884,0,0.10382627790610492,0
0.36,0.05246303153056199,0,0.1115215485782262,0
0.37,0.051810035120095084,0,0.1195889887639305,0
0.38,0.0510872214271398,0,0.12802565258305687,0
0.39,0.05028927372474254,0,0.13682566723667247,0
0.4,0.049410708871012725,0,0.14597807066223725,0
