# epsilon:0.000160054
# mass:0.14
alpha,RePhi,ImPhi,ReDPhi,ImDPhi
0.,0.04041291973654777,0,0.21333685358718363,0
0.01,0.04037881219727272,0,0.21400959944135958,0
0.02,0.04031400570911462,0,0.21435802385386332,0
0.03,0.04022047918405456,0,0.21462493129275426,0
0.04,0.04009908981278874,0,0.21493250819179335,0
0.05,0.039949977988463024,0,0.21533229010426455,0
0.06,0.03977288103890843,0,0.21583807264344973,0
0.07,0.03956731902190612,0,0.2164464371933521,0
0.08,0.03933272085851613,0,0.21714863259353662,0
0.09,0.039068497561137526,0,0.21793670479937274,0
0.1,0.03877407132217768,0,0.2188059976681108,0
0.11,0.03844887385226585,0,0.2197555323638705,0
0.12,0.03809232934536608,0,0.22078729233007252,0
0.13,0.03770381682564558,0,0.22190508538015222,0
0.14,0.03728269414625639,0,0.22311341279337168,0
0.15,0.036828213456386066,0,0.22441652299509046,0
0.16,0.03633952634865426,0,0.22581778878216494,0
0.17,0.0358156865823781,0,0.2273193948176526,0
0.18,0.0352556269299597,0,0.22892228659441896,0
0.19,0.03465816792870377,0,0.23062632083796414,0
0.2,0.03402202696517761,0,0.23243053391442053,0
0.21,0.033345793418131736,0,0.23433346287547238,0
0.22,0.032627978080878514,0,0.23633344076062204,0
0.23,0.03186700461623896,0,0.23842886599902027,0
0.24,0.03106122115816093,0,0.24061834155007725,0
0.25,0.03020891545437002,0,0.24290075452486126,0
0.26,0.02930831236760873,0,0.24527524301363401,0
0.27,0.02835759006473368,0,0.2477410482534497,0
0.28,0.027354891083329544,0,0.25029738592292544,0
0.29,0.02629831589858175,0,0.2529430671506531,0
0.3,0.025185947220217088,0,0.2556764712340358,0
0.31,0.024015857263064298,0,0.25849506308621245,0
0.32,0.022786122172115526,0,0.26139520072739747,0
0.33,0.02149482271685364,0,0.2643721342857276,0
0.34,0.02014008154488674,0,0.2674194966681986,0
0.35000000000000003,0.018720041035367344,0,0.270529624454048,0
0.36,0.017232939810040204,0,0.2736931972062871,0
0.37,0.015677097055787327,0,0.2768993666132982,0
0.38,0.014050903998518972,0,0.28013601813081895,0
0.39,0.012352966169869752,0,0.28338942977402454,0
0.4,0.010581946544026048,0,0.286644942184917,0
0.41000000000000003,0.008736759568027797,0,0.2898866757962455,0
0.42,0.006816512128734691,0,0.2930978202313149,0
0.43,0.0048204521961135866,0,0.29626094144688386,0
0.44,0.0027482132180308445,0,0.29935764133311865,0
