# 20241209_171739
q,primespecRe,primespecIm
0,8248.89,0
0.00500501,8201.74,0
0.01001,8141.47,0
0.015015,8011.95,0
0.02002,7825.16,0
0.025025,7594.77,0
0.03003,7317.69,0
0.035035,7001.87,0
0.04004,6650.01,0
0.045045,6269.66,0
0.0500501,5866.54,0
0.0550551,5448.6,0
0.0600601,5023.34,0
0.0650651,4598.73,0
0.0700701,4182.71,0
0.0750751,3782.24,0
0.0800801,3404.13,0
0.0850851,3053.31,0
0.0900901,2733.77,0
0.0950951,2447.76,0
0.1001,2195.3,0
0.105105,1976.24,0
0.11011,1786.62,0
0.115115,1624.51,0
0.12012,1483.98,0
0.125125,1361.98,0
0.13013,1253.58,0
0.135135,1155.37,0
0.14014,1065.43,0
0.145145,981.221,0
0.15015,903.613,0
0.155155,831.792,0
0.16016,767.774,0
0.165165,711.97,0
0.17017,665.516,0
0.175175,628.977,0
0.18018,600.839,0
0.185185,581.29,0
0.19019,566.11,0
0.195195,554.331,0
0.2002,543.067,0
0.205205,529.206,0
0.21021,512.734,0
0.215215,491.462,0
0.22022,466.623,0
0.225225,439.117,0
0.23023,411.009,0
0.235235,384.413,0
0.24024,361.131,0
0.245245,342.793,0
0.25025,329.023,0
0.255255,320.559,0
0.26026,314.29,0
0.265265,309.599,0
0.27027,304.881,0
0.275275,297.533,0
0.28028,287.819,0
0.285285,274.832,0
0.29029,259.636,0
0.295295,243.646,0
0.3003,228.502,0
0.305305,215.81,0
0.31031,206.359,0
0.315315,201.022,0
0.32032,197.938,0
0.325325,197.125,0
0.33033,196.437,0
0.335335,194.252,0
0.34034,190.332,0
0.345345,183.553,0
0.35035,174.218,0
0.355355,163.67,0
0.36036,153.026,0
0.365365,143.835,0
0.37037,136.879,0
0.375375,133.033,0
0.38038,130.911,0
0.385385,130.561,0
0.39039,130.28,0
0.395395,128.786,0
0.4004,125.754,0
0.405405,120.517,0
0.41041,113.27,0
0.415415,105.27,0
0.42042,97.4429,0
0.425425,91.035,0
0.43043,86.5143,0
0.435435,84.5622,0
0.44044,83.5873,0
0.445445,83.496,0
0.45045,83.4273,0
0.455455,82.1097,0
0.46046,79.1528,0
0.465465,74.7993,0
0.47047,69.3372,0
0.475475,63.901,0
0.48048,59.3279,0
0.485485,56.5476,0
0.49049,55.0515,0
0.495495,55.4597,0
0.500501,56.1957,0
0.505506,56.5934,0
0.510511,56.819,0
0.515516,55.6134,0
0.520521,52.8888,0
0.525526,49.5188,0
0.530531,45.9414,0
0.535536,43.0886,0
0.540541,41.3551,0
0.545546,41.4659,0
0.550551,41.8237,0
0.555556,42.773,0
0.560561,43.7648,0
0.565566,43.4066,0
0.570571,42.3903,0
0.575576,40.2409,0
0.580581,37.1526,0
0.585586,34.1832,0
0.590591,31.7927,0
0.595596,30.7165,0
0.600601,30.1746,0
0.605606,30.5807,0
0.610611,31.1756,0
0.615616,31.0567,0
0.620621,30.6589,0
0.625626,29.2956,0
0.630631,26.9339,0
0.635636,24.4356,0
0.640641,22.1964,0
0.645646,20.9128,0
0.650651,20.2078,0
0.655656,20.5275,0
0.660661,21.1883,0
0.665666,21.6397,0
0.670671,21.9309,0
0.675676,21.4133,0
0.680681,20.1756,0
0.685686,18.6205,0
0.690691,17.0832,0
0.695696,16.2614,0
0.700701,15.8106,0
0.705706,16.1825,0
0.710711,17.0186,0
0.715716,17.7606,0
0.720721,18.3071,0
0.725726,18.0206,0
0.730731,17.2363,0
0.735736,15.9937,0
0.740741,14.5145,0
0.745746,13.426,0
0.750751,12.7453,0
0.755756,12.8528,0
0.760761,13.1506,0
0.765766,13.5212,0
0.770771,13.8414,0
0.775776,13.5548,0
0.780781,12.7812,0
0.785786,11.6375,0
0.790791,10.2992,0
0.795796,9.27194,0
0.800801,8.61986,0
0.805806,8.70638,0
0.810811,8.98098,0
0.815816,9.42904,0
0.820821,9.87696,0
0.825826,9.7738,0
0.830831,9.43662,0
0.835836,8.75818,0
0.840841,7.89285,0
0.845846,7.36443,0
0.850851,7.04732,0
0.855856,7.2511,0
0.860861,7.78186,0
0.865866,8.36664,0
0.870871,8.86835,0
0.875876,8.79719,0
0.880881,8.53025,0
0.885886,7.92077,0
0.890891,7.05598,0
0.895896,6.41457,0
0.900901,5.99555,0
0.905906,6.06678,0
0.910911,6.28518,0
0.915916,6.55762,0
0.920921,6.80603,0
0.925926,6.66136,0
0.930931,6.23154,0
0.935936,5.56827,0
0.940941,4.78609,0
0.945946,4.25146,0
0.950951,3.91797,0
0.955956,4.0168,0
0.960961,4.30769,0
0.965966,4.64895,0
0.970971,4.95994,0
0.975976,4.90137,0
0.980981,4.69046,0
0.985986,4.28369,0
0.990991,3.81069,0
0.995996,3.64869,0
1.001,3.56912,0
1.00601,3.75493,0
1.01101,4.22928,0
1.01602,4.60648,0
1.02102,4.8904,0
1.02603,4.80378,0
1.03103,4.518,0
1.03604,4.0629,0
1.04104,3.53104,0
1.04605,3.23566,0
1.05105,3.06182,0
1.05606,3.153,0
1.06106,3.38265,0
1.06607,3.51664,0
1.07107,3.60251,0
1.07608,3.45936,0
