# 20241209_180526
# primespec:	data/spectra_real_sigma_constfield_20240912/spec_20241209_163421/spectr.txt
# qmax:	5
# ma:	0.9912
# mb:	0.14
# mc:	0.14
# B:	1
# Q:	1
# [DEBUG] pabc:	0.475415
# [DEBUG] Eabc:	0.4956
p,finalspecRe,finalspecIm
0,470.999,0
0.0100503,471.128,0
0.0201005,471.634,0
0.0301508,472.551,0
0.040201,473.8,0
0.0502513,475.423,0
0.0603015,477.346,0
0.0703518,479.591,0
0.080402,482.221,0
0.0904523,485.165,0
0.100503,488.511,0
0.110553,492.125,0
0.120603,495.971,0
0.130653,500.258,0
0.140704,504.649,0
0.150754,509.492,0
0.160804,514.397,0
0.170854,519.793,0
0.180905,525.155,0
0.190955,530.924,0
0.201005,536.887,0
0.211055,542.766,0
0.221106,548.868,0
0.231156,555.288,0
0.241206,561.812,0
0.251256,568.431,0
0.261307,574.889,0
0.271357,581.15,0
0.281407,588.069,0
0.291457,594.812,0
0.301508,602.117,0
0.311558,609.244,0
0.321608,616.877,0
0.331658,624.12,0
0.341709,632.165,0
0.351759,639.574,0
0.361809,647.743,0
0.371859,656.144,0
0.38191,664.041,0
0.39196,673.645,0
0.40201,685.354,0
0.41206,698.073,0
0.422111,710.759,0
0.432161,720.294,0
0.442211,720.2,0
0.452261,704.154,0
0.462312,669.262,0
0.472362,617.74,0
0.482412,553.903,0
0.492462,483.771,0
0.502513,415.313,0
0.512563,353.484,0
0.522613,302.047,0
0.532663,261.213,0
0.542714,229.489,0
0.552764,204.081,0
0.562814,183.432,0
0.572864,166.237,0
0.582915,151.796,0
0.592965,139.133,0
0.603015,127.472,0
0.613065,116.824,0
0.623116,107.435,0
0.633166,99.1957,0
0.643216,91.7319,0
0.653266,84.7673,0
0.663317,78.4304,0
0.673367,72.8413,0
0.683417,67.8066,0
0.693467,63.1024,0
0.703518,58.6742,0
0.713568,54.6861,0
0.723618,51.1566,0
0.733668,47.8994,0
0.743719,44.8139,0
0.753769,41.9213,0
0.763819,39.3453,0
0.773869,37.0292,0
0.78392,34.806,0
0.79397,32.6869,0
0.80402,30.7514,0
0.81407,29.0215,0
0.824121,27.3906,0
0.834171,25.7881,0
0.844221,24.2788,0
0.854271,22.9317,0
0.864322,21.6794,0
0.874372,20.461,0
0.884422,19.2834,0
0.894472,18.2146,0
0.904523,17.2541,0
0.914573,16.3399,0
0.924623,15.4451,0
0.934673,14.6192,0
0.944724,13.8844,0
0.954774,13.2092,0
0.964824,12.5421,0
0.974874,11.9071,0
0.984925,11.3318,0
0.994975,10.816,0
1.00503,10.3015,0
1.01508,9.79282,0
1.02513,9.31827,0
1.03518,8.88801,0
1.04523,8.47392,0
1.05528,8.06573,0
1.06533,7.66856,0
1.07538,7.31622,0
1.08543,6.99617,0
1.09548,6.67934,0
1.10553,6.36767,0
1.11558,6.08694,0
1.12563,5.83516,0
1.13568,5.59675,0
1.14573,5.35375,0
1.15578,5.12118,0
1.16583,4.91424,0
1.17588,4.71865,0
1.18593,4.51653,0
1.19598,4.31696,0
1.20603,4.13613,0
1.21608,3.97282,0
1.22613,3.81121,0
1.23618,3.64825,0
1.24623,3.49857,0
1.25628,3.36743,0
1.26633,3.24457,0
1.27638,3.11756,0
1.28643,2.99424,0
1.29648,2.88416,0
1.30653,2.78185,0
1.31658,2.67811,0
1.32663,2.5702,0
1.33668,2.46965,0
1.34673,2.3816,0
1.35678,2.2957,0
1.36683,2.20633,0
1.37688,2.12137,0
1.38693,2.04731,0
1.39698,1.98081,0
1.40704,1.91123,0
1.41709,1.84161,0
1.42714,1.77939,0
1.43719,1.72241,0
1.44724,1.66495,0
1.45729,1.60416,0
1.46734,1.54577,0
1.47739,1.49375,0
1.48744,1.44461,0
1.49749,1.39335,0
1.50754,1.34294,0
1.51759,1.29842,0
1.52764,1.25992,0
1.53769,1.22163,0
1.54774,1.18146,0
1.55779,1.14334,0
1.56784,1.10986,0
1.57789,1.07738,0
1.58794,1.0417,0
1.59799,1.00538,0
1.60804,0.973108,0
1.61809,0.944182,0
1.62814,0.913781,0
1.63819,0.882356,0
1.64824,0.854728,0
1.65829,0.830883,0
1.66834,0.808427,0
1.67839,0.784297,0
1.68844,0.760239,0
1.69849,0.739223,0
1.70854,0.719491,0
1.71859,0.698672,0
1.72864,0.675381,0
1.73869,0.654299,0
1.74874,0.636019,0
1.75879,0.617663,0
1.76884,0.598647,0
1.77889,0.580238,0
1.78894,0.564852,0
1.79899,0.550799,0
1.80905,0.535981,0
1.8191,0.520734,0
1.82915,0.506641,0
1.8392,0.493973,0
1.84925,0.480823,0
1.8593,0.465904,0
1.86935,0.451442,0
1.8794,0.439286,0
1.88945,0.427722,0
1.8995,0.416016,0
1.90955,0.403794,0
1.9196,0.393712,0
1.92965,0.384925,0
1.9397,0.375834,0
1.94975,0.365983,0
1.9598,0.356076,0
1.96985,0.34735,0
1.9799,0.339147,0
1.98995,0.329241,0
2,0.319016,0
