# 20240807_211412
alpha,f0Re,f0Im
0,0.0404129,0
0.00157237,0.0404181,0
0.00314474,0.0404229,0
0.00471711,0.0404278,0
0.00628947,0.0404328,0
0.00786184,0.0404383,0
0.00943421,0.0404446,0
0.0110066,0.0404518,0
0.0125789,0.0404603,0
0.0141513,0.0404699,0
0.0157237,0.0404804,0
0.0172961,0.0404915,0
0.0188684,0.0405032,0
0.0204408,0.0405152,0
0.0220132,0.0405281,0
0.0235855,0.0405418,0
0.0251579,0.0405564,0
0.0267303,0.0405717,0
0.0283026,0.0405876,0
0.029875,0.0406039,0
0.0314474,0.0406209,0
0.0330197,0.0406388,0
0.0345921,0.0406574,0
0.0361645,0.0406768,0
0.0377368,0.0406967,0
0.0393092,0.0407173,0
0.0408816,0.0407384,0
0.042454,0.0407603,0
0.0440263,0.040783,0
0.0455987,0.0408064,0
0.0471711,0.0408305,0
0.0487434,0.0408551,0
0.0503158,0.0408804,0
0.0518882,0.0409064,0
0.0534605,0.0409331,0
0.0550329,0.0409606,0
0.0566053,0.0409888,0
0.0581776,0.0410177,0
0.05975,0.0410471,0
0.0613224,0.0410772,0
0.0628947,0.0411081,0
0.0644671,0.0411397,0
0.0660395,0.0411721,0
0.0676119,0.0412052,0
0.0691842,0.0412388,0
0.0707566,0.0412732,0
0.072329,0.0413082,0
0.0739013,0.0413441,0
0.0754737,0.0413807,0
0.0770461,0.041418,0
0.0786184,0.041456,0
0.0801908,0.0414946,0
0.0817632,0.041534,0
0.0833355,0.0415741,0
0.0849079,0.0416151,0
0.0864803,0.0416567,0
0.0880526,0.041699,0
0.089625,0.041742,0
0.0911974,0.0417857,0
0.0927698,0.0418302,0
0.0943421,0.0418755,0
0.0959145,0.0419215,0
0.0974869,0.0419683,0
0.0990592,0.0420157,0
0.100632,0.0420638,0
0.102204,0.0421127,0
0.103776,0.0421624,0
0.105349,0.0422129,0
0.106921,0.0422641,0
0.108493,0.042316,0
0.110066,0.0423686,0
0.111638,0.042422,0
0.113211,0.0424762,0
0.114783,0.0425311,0
0.116355,0.0425869,0
0.117928,0.0426433,0
0.1195,0.0427005,0
0.121072,0.0427584,0
0.122645,0.0428171,0
0.124217,0.0428766,0
0.125789,0.0429369,0
0.127362,0.0429979,0
0.128934,0.0430597,0
0.130507,0.0431222,0
0.132079,0.0431855,0
0.133651,0.0432496,0
0.135224,0.0433146,0
0.136796,0.0433802,0
0.138368,0.0434467,0
0.139941,0.0435139,0
0.141513,0.0435818,0
0.143086,0.0436506,0
0.144658,0.0437203,0
0.14623,0.0437907,0
0.147803,0.0438619,0
0.149375,0.0439338,0
0.150947,0.0440065,0
0.15252,0.0440801,0
0.154092,0.0441545,0
0.155665,0.0442297,0
0.157237,0.0443057,0
0.158809,0.0443825,0
0.160382,0.0444601,0
0.161954,0.0445385,0
0.163526,0.0446177,0
0.165099,0.0446978,0
0.166671,0.0447788,0
0.168243,0.0448605,0
0.169816,0.044943,0
0.171388,0.0450264,0
0.172961,0.0451106,0
0.174533,0.0451957,0
0.176105,0.0452816,0
0.177678,0.0453684,0
0.17925,0.045456,0
0.180822,0.0455444,0
0.182395,0.0456337,0
0.183967,0.0457239,0
0.18554,0.045815,0
0.187112,0.0459069,0
0.188684,0.0459997,0
0.190257,0.0460933,0
0.191829,0.0461878,0
0.193401,0.0462832,0
0.194974,0.0463796,0
0.196546,0.0464768,0
0.198118,0.0465749,0
0.199691,0.0466738,0
0.201263,0.0467737,0
0.202836,0.0468744,0
0.204408,0.0469761,0
0.20598,0.0470788,0
0.207553,0.0471823,0
0.209125,0.0472867,0
0.210697,0.047392,0
0.21227,0.0474983,0
0.213842,0.0476056,0
0.215415,0.0477137,0
0.216987,0.0478229,0
0.218559,0.0479329,0
0.220132,0.0480439,0
0.221704,0.0481558,0
0.223276,0.0482687,0
0.224849,0.0483826,0
0.226421,0.0484974,0
0.227993,0.0486132,0
0.229566,0.04873,0
0.231138,0.0488477,0
0.232711,0.0489664,0
0.234283,0.0490862,0
0.235855,0.0492069,0
0.237428,0.0493286,0
0.239,0.0494513,0
0.240572,0.049575,0
0.242145,0.0496997,0
0.243717,0.0498254,0
0.24529,0.0499521,0
0.246862,0.0500799,0
0.248434,0.0502087,0
0.250007,0.0503385,0
0.251579,0.0504693,0
0.253151,0.0506012,0
0.254724,0.0507341,0
0.256296,0.0508681,0
0.257868,0.0510031,0
0.259441,0.0511392,0
0.261013,0.0512763,0
0.262586,0.0514144,0
0.264158,0.0515537,0
0.26573,0.051694,0
0.267303,0.0518355,0
0.268875,0.0519779,0
0.270447,0.0521214,0
0.27202,0.052266,0
0.273592,0.0524118,0
0.275165,0.0525586,0
0.276737,0.0527066,0
0.278309,0.0528556,0
0.279882,0.0530057,0
0.281454,0.0531569,0
0.283026,0.0533092,0
0.284599,0.0534627,0
0.286171,0.0536173,0
0.287743,0.053773,0
0.289316,0.0539298,0
0.290888,0.0540877,0
0.292461,0.0542468,0
0.294033,0.0544071,0
0.295605,0.0545685,0
0.297178,0.054731,0
0.29875,0.0548946,0
0.300322,0.0550594,0
0.301895,0.0552254,0
0.303467,0.0553925,0
0.30504,0.0555608,0
0.306612,0.0557303,0
0.308184,0.0559009,0
0.309757,0.0560726,0
0.311329,0.0562455,0
0.312901,0.0564197,0
0.314474,0.056595,0
0.316046,0.0567715,0
0.317618,0.0569492,0
0.319191,0.0571281,0
0.320763,0.0573081,0
0.322336,0.0574893,0
0.323908,0.0576717,0
0.32548,0.0578554,0
0.327053,0.0580402,0
0.328625,0.0582263,0
0.330197,0.0584134,0
0.33177,0.0586018,0
0.333342,0.0587915,0
0.334915,0.0589824,0
0.336487,0.0591744,0
0.338059,0.0593677,0
0.339632,0.0595621,0
0.341204,0.0597578,0
0.342776,0.0599547,0
0.344349,0.0601528,0
0.345921,0.0603522,0
0.347493,0.0605528,0
0.349066,0.0607546,0
0.350638,0.0609575,0
0.352211,0.0611617,0
0.353783,0.0613672,0
0.355355,0.0615738,0
0.356928,0.0617818,0
0.3585,0.0619909,0
0.360072,0.0622011,0
0.361645,0.0624127,0
0.363217,0.0626254,0
0.36479,0.0628395,0
0.366362,0.0630547,0
0.367934,0.0632712,0
0.369507,0.0634888,0
0.371079,0.0637076,0
0.372651,0.0639277,0
0.374224,0.064149,0
0.375796,0.0643716,0
0.377368,0.0645954,0
0.378941,0.0648204,0
0.380513,0.0650465,0
0.382086,0.0652738,0
0.383658,0.0655024,0
0.38523,0.0657323,0
0.386803,0.0659633,0
0.388375,0.0661955,0
0.389947,0.0664289,0
0.39152,0.0666634,0
0.393092,0.0668992,0
0.394665,0.0671363,0
0.396237,0.0673745,0
0.397809,0.0676138,0
0.399382,0.0678544,0
0.400954,0.068096,0
0.402526,0.0683389,0
0.404099,0.068583,0
0.405671,0.0688282,0
0.407243,0.0690747,0
0.408816,0.0693222,0
0.410388,0.0695708,0
0.411961,0.0698206,0
0.413533,0.0700716,0
0.415105,0.0703238,0
0.416678,0.070577,0
0.41825,0.0708314,0
0.419822,0.0710869,0
0.421395,0.0713434,0
0.422967,0.0716011,0
0.42454,0.07186,0
0.426112,0.0721199,0
0.427684,0.0723809,0
0.429257,0.072643,0
0.430829,0.072906,0
0.432401,0.0731702,0
0.433974,0.0734355,0
0.435546,0.0737019,0
0.437118,0.0739693,0
0.438691,0.0742376,0
0.440263,0.074507,0
0.441836,0.0747774,0
0.443408,0.0750488,0
0.44498,0.0753213,0
0.446553,0.0755948,0
0.448125,0.0758692,0
0.449697,0.0761446,0
0.45127,0.0764209,0
0.452842,0.0766982,0
0.454415,0.0769765,0
0.455987,0.0772557,0
0.457559,0.0775358,0
0.459132,0.0778168,0
0.460704,0.0780986,0
0.462276,0.0783814,0
0.463849,0.0786651,0
0.465421,0.0789497,0
0.466994,0.0792351,0
0.468566,0.0795214,0
0.470138,0.0798084,0
0.471711,0.0800962,0
0.473283,0.0803849,0
0.474855,0.0806745,0
0.476428,0.0809648,0
0.478,0.0812559,0
0.479572,0.0815476,0
0.481145,0.0818401,0
0.482717,0.0821334,0
0.48429,0.0824274,0
0.485862,0.0827221,0
0.487434,0.0830175,0
0.489007,0.0833135,0
0.490579,0.0836101,0
0.492151,0.0839075,0
0.493724,0.0842055,0
0.495296,0.0845041,0
0.496869,0.0848033,0
0.498441,0.0851031,0
0.500013,0.0854034,0
0.501586,0.0857042,0
0.503158,0.0860056,0
0.50473,0.0863076,0
0.506303,0.0866101,0
0.507875,0.086913,0
0.509447,0.0872164,0
0.51102,0.0875201,0
0.512592,0.0878244,0
0.514165,0.0881291,0
0.515737,0.0884343,0
0.517309,0.0887398,0
0.518882,0.0890456,0
0.520454,0.0893517,0
0.522026,0.0896582,0
0.523599,0.089965,0
0.525171,0.0902722,0
0.526744,0.0905797,0
0.528316,0.0908873,0
0.529888,0.0911951,0
0.531461,0.0915031,0
0.533033,0.0918114,0
0.534605,0.0921199,0
0.536178,0.0924286,0
0.53775,0.0927374,0
0.539322,0.0930463,0
0.540895,0.0933551,0
0.542467,0.0936642,0
0.54404,0.0939733,0
0.545612,0.0942825,0
0.547184,0.0945918,0
0.548757,0.0949009,0
0.550329,0.0952099,0
0.551901,0.0955189,0
0.553474,0.095828,0
0.555046,0.096137,0
0.556619,0.0964458,0
0.558191,0.0967545,0
