# 20240807_212249
# initdata:	data/init_real/init6.csv
# particle mass:	0.14
# NpT:	200
# pTmax:	2
# epsabs:	0
# epsrel:	1e-05
# integr iter:	10000
pT,abs2Re,abs2Im
0,81535.8,0
0.0100503,76474,0
0.0201005,63163.4,0
0.0301508,46140.6,0
0.040201,30157.1,0
0.0502513,18100.6,0
0.0603015,10469,0
0.0703518,6234.06,0
0.080402,4045.58,0
0.0904523,2911.53,0
0.100503,2258.21,0
0.110553,1770.55,0
0.120603,1313.78,0
0.130653,909.641,0
0.140704,642.251,0
0.150754,525.18,0
0.160804,468.664,0
0.170854,377.887,0
0.180905,251.498,0
0.190955,159.875,0
0.201005,143.178,0
0.211055,163.004,0
0.221106,157.638,0
0.231156,116.466,0
0.241206,79.1921,0
0.251256,74.4535,0
0.261307,85.1462,0
0.271357,78.6178,0
0.281407,51.0701,0
0.291457,26.8529,0
0.301508,22.2372,0
0.311558,27.0687,0
0.321608,24.321,0
0.331658,14.1395,0
0.341709,9.58743,0
0.351759,15.3384,0
0.361809,21.6412,0
0.371859,19.3844,0
0.38191,12.137,0
0.39196,9.04974,0
0.40201,11.4359,0
0.41206,12.4973,0
0.422111,8.33698,0
0.432161,3.08642,0
0.442211,1.96181,0
0.452261,3.95999,0
0.462312,4.51913,0
0.472362,2.71551,0
0.482412,1.9307,0
0.492462,3.98627,0
0.502513,6.2399,0
0.512563,5.6299,0
0.522613,3.03224,0
0.532663,1.59469,0
0.542714,2.15082,0
0.552764,2.60255,0
0.562814,1.54375,0
0.572864,0.262525,0
0.582915,0.443616,0
0.592965,1.55129,0
0.603015,1.8438,0
0.613065,1.09698,0
0.623116,0.767978,0
0.633166,1.5881,0
0.643216,2.43019,0
0.653266,2.04027,0
0.663317,0.842457,0
0.673367,0.181019,0
0.683417,0.385409,0
0.693467,0.584285,0
0.703518,0.266781,0
0.713568,0.0226042,0
0.723618,0.447008,0
0.733668,1.09815,0
0.743719,1.14441,0
0.753769,0.613821,0
0.763819,0.307722,0
0.773869,0.584098,0
0.78392,0.896023,0
0.79397,0.686881,0
0.80402,0.193793,0
0.81407,0.00226398,0
0.824121,0.165068,0
0.834171,0.245489,0
0.844221,0.0923787,0
0.854271,0.0652969,0
0.864322,0.39636,0
0.874372,0.75332,0
0.884422,0.697415,0
0.894472,0.31454,0
0.904523,0.0666513,0
0.914573,0.133102,0
0.924623,0.24019,0
0.934673,0.156543,0
0.944724,0.0323903,0
0.954774,0.0970585,0
0.964824,0.261645,0
0.974874,0.267203,0
0.984925,0.114466,0
0.994975,0.0735544,0
1.00503,0.262241,0
1.01508,0.452281,0
1.02513,0.394803,0
1.03518,0.161522,0
1.04523,0.0100306,0
1.05528,0.0202727,0
1.06533,0.0506655,0
1.07538,0.019154,0
1.08543,0.0284307,0
1.09548,0.156272,0
1.10553,0.282674,0
1.11558,0.248949,0
1.12563,0.100002,0
1.13568,0.0272881,0
1.14573,0.0987803,0
1.15578,0.181648,0
1.16583,0.153529,0
1.17588,0.0668618,0
1.18593,0.0368109,0
1.19598,0.0601869,0
1.20603,0.0505419,0
1.21608,0.00726363,0
1.22613,0.0289205,0
1.23618,0.14632,0
1.24623,0.246117,0
1.25628,0.215021,0
1.26633,0.0921786,0
1.27638,0.00854115,0
1.28643,0.0145248,0
1.29648,0.0463025,0
1.30653,0.0499615,0
1.31658,0.0529286,0
1.32663,0.0868805,0
1.33668,0.112509,0
1.34673,0.079228,0
1.35678,0.0200774,0
1.36683,0.018672,0
1.37688,0.0887637,0
1.38693,0.148594,0
1.39698,0.129931,0
1.40704,0.0615756,0
1.41709,0.015035,0
1.42714,0.00817063,0
1.43719,0.00807524,0
1.44724,0.00612479,0
1.45729,0.0324467,0
1.46734,0.0902201,0
1.47739,0.126576,0
1.48744,0.0979817,0
1.49749,0.0342331,0
1.50754,0.00271014,0
1.51759,0.0238998,0
1.52764,0.0572487,0
1.53769,0.0656894,0
1.54774,0.0566386,0
1.55779,0.0498812,0
1.56784,0.0400239,0
1.57789,0.0167377,0
1.58794,0.000764017,0
1.59799,0.0242524,0
1.60804,0.0785259,0
1.61809,0.112248,0
1.62814,0.0914931,0
1.63819,0.0397409,0
1.64824,0.00456562,0
1.65829,0.00244423,0
1.66834,0.0151849,0
1.67839,0.0279424,0
1.68844,0.0438471,0
1.69849,0.0608153,0
1.70854,0.060456,0
1.71859,0.0343717,0
1.72864,0.00554962,0
1.73869,0.00509954,0
1.74874,0.0332969,0
1.75879,0.0598202,0
1.76884,0.061351,0
1.77889,0.0435954,0
1.78894,0.0240403,0
1.79899,0.00955469,0
1.80905,0.000828934,0
1.8191,0.00581812,0
1.82915,0.0312742,0
1.8392,0.0635618,0
1.84925,0.0745618,0
1.8593,0.0526421,0
1.86935,0.0180189,0
1.8794,0.000531195,0
1.88945,0.00884952,0
1.8995,0.0283316,0
1.90955,0.042621,0
1.9196,0.0466156,0
1.92965,0.0406367,0
1.9397,0.0251816,0
1.94975,0.00687199,0
1.9598,0.000365978,0
1.96985,0.0146291,0
1.9799,0.0395404,0
1.98995,0.0537356,0
2,0.0462877,0
