# 20240807_212415
alpha,Df0Re,Df0Im
0,-0.12317,0
0.01,-0.123494,0
0.02,-0.123572,0
0.03,-0.123548,0
0.04,-0.123494,0
0.05,-0.12344,0
0.06,-0.123393,0
0.07,-0.123349,0
0.08,-0.123301,0
0.09,-0.123244,0
0.1,-0.123171,0
0.11,-0.123081,0
0.12,-0.122973,0
0.13,-0.122847,0
0.14,-0.122702,0
0.15,-0.122539,0
0.16,-0.122355,0
0.17,-0.122148,0
0.18,-0.121914,0
0.19,-0.12165,0
0.2,-0.12135,0
0.21,-0.121008,0
0.22,-0.120617,0
0.23,-0.120171,0
0.24,-0.119664,0
0.25,-0.119087,0
0.26,-0.118434,0
0.27,-0.117697,0
0.28,-0.116869,0
0.29,-0.115941,0
0.3,-0.114904,0
0.31,-0.113749,0
0.32,-0.112465,0
0.33,-0.111042,0
0.34,-0.109468,0
0.35,-0.107731,0
0.36,-0.105817,0
0.37,-0.103714,0
0.38,-0.101409,0
0.39,-0.0988866,0
0.4,-0.0961347,0
0.41,-0.0931397,0
0.42,-0.0898891,0
0.43,-0.0863709,0
0.44,-0.0825738,0
0.45,-0.0784873,0
0.46,-0.0741023,0
0.47,-0.0694104,0
0.48,-0.0644046,0
0.49,-0.0590793,0
0.5,-0.05343,0
0.51,-0.0474539,0
0.52,-0.0411499,0
0.53,-0.0345185,0
0.54,-0.0275623,0
0.55,-0.0202861,0
0.56,-0.0126967,0
0.57,-0.0048039,0
0.58,0.00338035,0
0.59,0.0118407,0
0.6,0.0205595,0
0.61,0.0295154,0
0.62,0.0386845,0
0.63,0.0480399,0
0.64,0.0575515,0
0.65,0.0671868,0
0.66,0.0769105,0
0.67,0.0866854,0
0.68,0.0964717,0
0.69,0.106228,0
0.7,0.115912,0
0.71,0.12548,0
0.72,0.134886,0
0.73,0.144086,0
0.74,0.153033,0
0.75,0.161681,0
0.76,0.169985,0
0.77,0.177899,0
0.78,0.185381,0
0.79,0.192388,0
0.8,0.19888,0
0.81,0.204821,0
0.82,0.210178,0
0.83,0.214922,0
0.84,0.219031,0
0.85,0.222488,0
0.86,0.225283,0
0.87,0.227412,0
0.88,0.22888,0
0.89,0.229697,0
0.9,0.229882,0
0.91,0.229458,0
0.92,0.228455,0
0.93,0.226906,0
0.94,0.224851,0
0.95,0.222328,0
0.96,0.21938,0
0.97,0.216048,0
0.98,0.212374,0
0.99,0.2084,0
1,0.204166,0
1.01,0.19971,0
1.02,0.195072,0
1.03,0.190287,0
1.04,0.185392,0
1.05,0.180421,0
1.06,0.175408,0
1.07,0.170383,0
1.08,0.165377,0
1.09,0.160416,0
1.1,0.155522,0
1.11,0.150715,0
1.12,0.146006,0
1.13,0.141407,0
1.14,0.13692,0
1.15,0.132547,0
1.16,0.128287,0
1.17,0.124136,0
1.18,0.120093,0
1.19,0.116158,0
1.2,0.112334,0
1.21,0.108629,0
1.22,0.105052,0
1.23,0.101615,0
1.24,0.0983292,0
1.25,0.0952025,0
1.26,0.0922376,0
1.27,0.0894294,0
1.28,0.0867648,0
1.29,0.084223,0
1.3,0.0817786,0
1.31,0.0794059,0
1.32,0.077084,0
1.33,0.074802,0
1.34,0.0725625,0
1.35,0.070383,0
1.36,0.0682923,0
1.37,0.0663248,0
1.38,0.0645115,0
1.39,0.062871,0
1.4,0.0614038,0
1.41,0.0600935,0
1.42,0.058917,0
1.43,0.0578623,0
1.44,0.0569506,0
1.45,0.0562535,0
1.46,0.055892,0
1.47,0.0560094,0
1.48,0.0567174,0
1.49,0.058033,0
1.5,0.0598528,0
1.51,0.0620236,0
1.52,0.0645561,0
1.53,0.0679346,0
1.54,0.0733231,0
1.55,0.0823592,0
1.56,0.0967101,0
1.57,0.120082,0
1.58,0.17372,0
