# 20240807_212415
alpha,f0Re,f0Im
0,0.106923,0
0.01,0.106942,0
0.02,0.10698,0
0.03,0.107033,0
0.04,0.107103,0
0.05,0.107189,0
0.06,0.10729,0
0.07,0.107408,0
0.08,0.107541,0
0.09,0.107691,0
0.1,0.107857,0
0.11,0.108039,0
0.12,0.108239,0
0.13,0.108454,0
0.14,0.108687,0
0.15,0.108936,0
0.16,0.109202,0
0.17,0.109484,0
0.18,0.109784,0
0.19,0.1101,0
0.2,0.110434,0
0.21,0.110785,0
0.22,0.111154,0
0.23,0.11154,0
0.24,0.111943,0
0.25,0.112364,0
0.26,0.112802,0
0.27,0.113258,0
0.28,0.11373,0
0.29,0.114219,0
0.3,0.114724,0
0.31,0.115244,0
0.32,0.115779,0
0.33,0.116328,0
0.34,0.11689,0
0.35,0.117463,0
0.36,0.118047,0
0.37,0.118639,0
0.38,0.119238,0
0.39,0.119841,0
0.4,0.120447,0
0.41,0.121053,0
0.42,0.121656,0
0.43,0.122253,0
0.44,0.122841,0
0.45,0.123416,0
0.46,0.123975,0
0.47,0.124514,0
0.48,0.125028,0
0.49,0.125513,0
0.5,0.125965,0
0.51,0.126378,0
0.52,0.126749,0
0.53,0.127072,0
0.54,0.127342,0
0.55,0.127554,0
0.56,0.127703,0
0.57,0.127783,0
0.58,0.12779,0
0.59,0.127718,0
0.6,0.127562,0
0.61,0.127318,0
0.62,0.12698,0
0.63,0.126544,0
0.64,0.126005,0
0.65,0.12536,0
0.66,0.124606,0
0.67,0.123737,0
0.68,0.122753,0
0.69,0.121649,0
0.7,0.120426,0
0.71,0.11908,0
0.72,0.117611,0
0.73,0.11602,0
0.74,0.114306,0
0.75,0.11247,0
0.76,0.110514,0
0.77,0.10844,0
0.78,0.106252,0
0.79,0.103952,0
0.8,0.101545,0
0.81,0.0990358,0
0.82,0.0964293,0
0.83,0.0937315,0
0.84,0.0909485,0
0.85,0.0880872,0
0.86,0.0851545,0
0.87,0.0821579,0
0.88,0.079105,0
0.89,0.0760036,0
0.9,0.0728615,0
0.91,0.0696866,0
0.92,0.0664867,0
0.93,0.0632695,0
0.94,0.0600424,0
0.95,0.0568126,0
0.96,0.053587,0
0.97,0.050372,0
0.98,0.0471737,0
0.99,0.0439976,0
1,0.0408491,0
1.01,0.0377324,0
1.02,0.034652,0
1.03,0.0316112,0
1.04,0.0286133,0
1.05,0.0256609,0
1.06,0.0227561,0
1.07,0.0199007,0
1.08,0.0170959,0
1.09,0.0143428,0
1.1,0.0116418,0
1.11,0.00899339,0
1.12,0.00639758,0
1.13,0.00385421,0
1.14,0.00136301,0
1.15,-0.00107652,0
1.16,-0.00346497,0
1.17,-0.00580306,0
1.18,-0.00809162,0
1.19,-0.0103316,0
1.2,-0.012524,0
1.21,-0.0146701,0
1.22,-0.0167712,0
1.23,-0.0188286,0
1.24,-0.0208438,0
1.25,-0.0228184,0
1.26,-0.0247538,0
1.27,-0.0266517,0
1.28,-0.0285133,0
1.29,-0.0303399,0
1.3,-0.0321329,0
1.31,-0.0338933,0
1.32,-0.0356222,0
1.33,-0.0373205,0
1.34,-0.0389894,0
1.35,-0.0406301,0
1.36,-0.0422436,0
1.37,-0.0438313,0
1.38,-0.0453943,0
1.39,-0.0469339,0
1.4,-0.0484512,0
1.41,-0.0499469,0
1.42,-0.0514217,0
1.43,-0.0528765,0
1.44,-0.0543121,0
1.45,-0.0557293,0
1.46,-0.0571292,0
1.47,-0.0585129,0
1.48,-0.0598814,0
1.49,-0.0612352,0
1.5,-0.0625746,0
1.51,-0.0639001,0
1.52,-0.0652121,0
1.53,-0.0665115,0
1.54,-0.0677985,0
1.55,-0.0690727,0
1.56,-0.0703331,0
1.57,-0.0715771,0
1.58,-0.0727811,0
