# 20240807_212415
alpha,field0Re,field0Im
0,0.106923,0
0.00157237,0.106926,0
0.00314474,0.106928,0
0.00471711,0.106931,0
0.00628947,0.106934,0
0.00786184,0.106937,0
0.00943421,0.106941,0
0.0110066,0.106945,0
0.0125789,0.10695,0
0.0141513,0.106955,0
0.0157237,0.106961,0
0.0172961,0.106968,0
0.0188684,0.106975,0
0.0204408,0.106982,0
0.0220132,0.106989,0
0.0235855,0.106997,0
0.0251579,0.107005,0
0.0267303,0.107014,0
0.0283026,0.107023,0
0.029875,0.107033,0
0.0314474,0.107043,0
0.0330197,0.107053,0
0.0345921,0.107064,0
0.0361645,0.107075,0
0.0377368,0.107086,0
0.0393092,0.107098,0
0.0408816,0.10711,0
0.042454,0.107123,0
0.0440263,0.107136,0
0.0455987,0.107149,0
0.0471711,0.107163,0
0.0487434,0.107177,0
0.0503158,0.107192,0
0.0518882,0.107207,0
0.0534605,0.107222,0
0.0550329,0.107238,0
0.0566053,0.107254,0
0.0581776,0.107271,0
0.05975,0.107288,0
0.0613224,0.107305,0
0.0628947,0.107323,0
0.0644671,0.107341,0
0.0660395,0.107359,0
0.0676119,0.107378,0
0.0691842,0.107397,0
0.0707566,0.107417,0
0.072329,0.107437,0
0.0739013,0.107458,0
0.0754737,0.107479,0
0.0770461,0.1075,0
0.0786184,0.107522,0
0.0801908,0.107544,0
0.0817632,0.107566,0
0.0833355,0.107589,0
0.0849079,0.107612,0
0.0864803,0.107636,0
0.0880526,0.10766,0
0.089625,0.107685,0
0.0911974,0.10771,0
0.0927698,0.107735,0
0.0943421,0.107761,0
0.0959145,0.107787,0
0.0974869,0.107814,0
0.0990592,0.107841,0
0.100632,0.107868,0
0.102204,0.107896,0
0.103776,0.107924,0
0.105349,0.107952,0
0.106921,0.107982,0
0.108493,0.108011,0
0.110066,0.108041,0
0.111638,0.108071,0
0.113211,0.108102,0
0.114783,0.108133,0
0.116355,0.108164,0
0.117928,0.108196,0
0.1195,0.108228,0
0.121072,0.108261,0
0.122645,0.108294,0
0.124217,0.108328,0
0.125789,0.108361,0
0.127362,0.108396,0
0.128934,0.108431,0
0.130507,0.108466,0
0.132079,0.108501,0
