# 20240808_144511
alpha,Df0Re,Df0Im
0,0.213337,0
0.01,0.21401,0
0.02,0.214358,0
0.03,0.214625,0
0.04,0.214933,0
0.05,0.215332,0
0.06,0.215838,0
0.07,0.216446,0
0.08,0.217149,0
0.09,0.217937,0
0.1,0.218806,0
0.11,0.219756,0
0.12,0.220787,0
0.13,0.221905,0
0.14,0.223113,0
0.15,0.224417,0
0.16,0.225818,0
0.17,0.227319,0
0.18,0.228922,0
0.19,0.230626,0
0.2,0.232431,0
0.21,0.234333,0
0.22,0.236333,0
0.23,0.238429,0
0.24,0.240618,0
0.25,0.242901,0
0.26,0.245275,0
0.27,0.247741,0
0.28,0.250297,0
0.29,0.252943,0
0.3,0.255676,0
0.31,0.258495,0
0.32,0.261395,0
0.33,0.264372,0
0.34,0.267419,0
0.35,0.27053,0
0.36,0.273693,0
0.37,0.276899,0
0.38,0.280136,0
0.39,0.283389,0
0.4,0.286645,0
0.41,0.289887,0
0.42,0.293098,0
0.43,0.296261,0
0.44,0.299358,0
0.45,0.302369,0
0.46,0.305276,0
0.47,0.308058,0
0.48,0.310695,0
0.49,0.313165,0
0.5,0.315446,0
0.51,0.317517,0
0.52,0.319353,0
0.53,0.32093,0
0.54,0.322225,0
0.55,0.323211,0
0.56,0.323863,0
0.57,0.324156,0
0.58,0.324065,0
0.59,0.323566,0
0.6,0.322634,0
0.61,0.321248,0
0.62,0.319388,0
0.63,0.317036,0
0.64,0.314178,0
0.65,0.310801,0
0.66,0.306899,0
0.67,0.302465,0
0.68,0.297498,0
0.69,0.292002,0
0.7,0.285982,0
0.71,0.279449,0
0.72,0.272416,0
0.73,0.264901,0
0.74,0.256924,0
0.75,0.248509,0
0.76,0.239684,0
0.77,0.23048,0
0.78,0.22093,0
0.79,0.211072,0
0.8,0.200946,0
0.81,0.190597,0
0.82,0.18007,0
0.83,0.169416,0
0.84,0.158684,0
0.85,0.147929,0
0.86,0.137202,0
0.87,0.126558,0
0.88,0.116048,0
0.89,0.105722,0
0.9,0.0956282,0
0.91,0.0858095,0
0.92,0.0763048,0
0.93,0.0671483,0
0.94,0.0583685,0
0.95,0.0499886,0
0.96,0.0420261,0
0.97,0.0344934,0
0.98,0.0273978,0
0.99,0.0207421,0
1,0.014525,0
1.01,0.00874172,0
1.02,0.00338399,0
1.03,-0.00155893,0
1.04,-0.00610062,0
1.05,-0.0102566,0
1.06,-0.0140442,0
1.07,-0.0174827,0
1.08,-0.020592,0
1.09,-0.0233934,0
1.1,-0.0259081,0
1.11,-0.0281572,0
1.12,-0.0301611,0
1.13,-0.0319387,0
1.14,-0.0335079,0
1.15,-0.0348844,0
1.16,-0.0360826,0
1.17,-0.0371156,0
1.18,-0.0379956,0
1.19,-0.0387348,0
1.2,-0.0393458,0
1.21,-0.0398424,0
1.22,-0.0402392,0
1.23,-0.0405517,0
1.24,-0.0407956,0
1.25,-0.0409853,0
1.26,-0.0411331,0
1.27,-0.041247,0
1.28,-0.0413308,0
1.29,-0.0413832,0
1.3,-0.041399,0
1.31,-0.041371,0
1.32,-0.0412928,0
1.33,-0.0411622,0
1.34,-0.040984,0
1.35,-0.0407712,0
1.36,-0.040545,0
1.37,-0.0403313,0
1.38,-0.0401558,0
1.39,-0.040038,0
1.4,-0.0399863,0
1.41,-0.0399982,0
1.42,-0.0400651,0
1.43,-0.0401848,0
1.44,-0.0403786,0
1.45,-0.0407047,0
1.46,-0.0412627,0
1.47,-0.0421763,0
1.48,-0.0435531,0
1.49,-0.0454339,0
1.5,-0.0477645,0
1.51,-0.0504449,0
1.52,-0.0535016,0
1.53,-0.0573628,0
1.54,-0.0630722,0
1.55,-0.0721633,0
1.56,-0.0863038,0
1.57,-0.109126,0
1.58,-0.160686,0
