# 20240808_144842
alpha,f0Re,f0Im
0,0.0699972,0
0.01,0.0699672,0
0.02,0.06991,0
0.03,0.0698275,0
0.04,0.0697203,0
0.05,0.0695887,0
0.06,0.0694323,0
0.07,0.0692506,0
0.08,0.0690432,0
0.09,0.0688095,0
0.1,0.0685488,0
0.11,0.0682606,0
0.12,0.0679444,0
0.13,0.0675995,0
0.14,0.0672253,0
0.15,0.066821,0
0.16,0.0663857,0
0.17,0.0659185,0
0.18,0.0654183,0
0.19,0.0648839,0
0.2,0.0643141,0
0.21,0.0637073,0
0.22,0.0630622,0
0.23,0.062377,0
0.24,0.0616501,0
0.25,0.0608796,0
0.26,0.0600638,0
0.27,0.0592007,0
0.28,0.0582882,0
0.29,0.0573245,0
0.3,0.0563072,0
0.31,0.0552344,0
0.32,0.0541037,0
0.33,0.0529131,0
0.34,0.0516602,0
0.35,0.0503428,0
0.36,0.0489588,0
0.37,0.0475059,0
0.38,0.0459821,0
0.39,0.0443853,0
0.4,0.0427135,0
0.41,0.040965,0
0.42,0.0391381,0
0.43,0.0372313,0
0.44,0.0352433,0
0.45,0.0331728,0
0.46,0.0310191,0
0.47,0.0287815,0
0.48,0.0264594,0
0.49,0.0240529,0
0.5,0.021562,0
0.51,0.0189871,0
0.52,0.016329,0
0.53,0.0135887,0
0.54,0.0107676,0
0.55,0.00786739,0
0.56,0.00489016,0
0.57,0.00183837,0
0.58,-0.00128513,0
0.59,-0.00447712,0
0.6,-0.00773393,0
0.61,-0.0110515,0
0.62,-0.0144254,0
0.63,-0.0178507,0
0.64,-0.0213221,0
0.65,-0.0248339,0
0.66,-0.0283801,0
0.67,-0.0319541,0
0.68,-0.0355492,0
0.69,-0.0391583,0
0.7,-0.0427741,0
0.71,-0.0463891,0
0.72,-0.0499954,0
0.73,-0.0535853,0
0.74,-0.0571507,0
0.75,-0.0606839,0
0.76,-0.0641767,0
0.77,-0.0676215,0
0.78,-0.0710106,0
0.79,-0.0743365,0
0.8,-0.0775921,0
0.81,-0.0807704,0
0.82,-0.083865,0
0.83,-0.0868698,0
0.84,-0.0897793,0
0.85,-0.0925884,0
0.86,-0.0952926,0
0.87,-0.0978878,0
0.88,-0.100371,0
0.89,-0.10274,0
0.9,-0.104991,0
0.91,-0.107125,0
0.92,-0.10914,0
0.93,-0.111036,0
0.94,-0.112813,0
0.95,-0.114474,0
0.96,-0.116019,0
0.97,-0.117451,0
0.98,-0.118771,0
0.99,-0.119984,0
1,-0.121092,0
1.01,-0.122099,0
1.02,-0.123009,0
1.03,-0.123825,0
1.04,-0.124552,0
1.05,-0.125194,0
1.06,-0.125754,0
1.07,-0.126238,0
1.08,-0.126648,0
1.09,-0.126989,0
1.1,-0.127265,0
1.11,-0.12748,0
1.12,-0.127637,0
1.13,-0.127739,0
1.14,-0.127789,0
1.15,-0.127792,0
1.16,-0.12775,0
1.17,-0.127665,0
1.18,-0.12754,0
1.19,-0.127379,0
1.2,-0.127182,0
1.21,-0.126952,0
1.22,-0.126692,0
1.23,-0.126402,0
1.24,-0.126086,0
1.25,-0.125743,0
1.26,-0.125377,0
1.27,-0.124987,0
1.28,-0.124575,0
1.29,-0.124143,0
1.3,-0.123691,0
1.31,-0.123221,0
1.32,-0.122732,0
1.33,-0.122226,0
1.34,-0.121704,0
1.35,-0.121166,0
1.36,-0.120613,0
1.37,-0.120045,0
1.38,-0.119463,0
1.39,-0.118867,0
1.4,-0.118256,0
1.41,-0.117632,0
1.42,-0.116995,0
1.43,-0.116345,0
1.44,-0.115682,0
1.45,-0.115006,0
1.46,-0.114317,0
1.47,-0.113615,0
1.48,-0.112899,0
1.49,-0.112171,0
1.5,-0.111429,0
1.51,-0.110674,0
1.52,-0.109906,0
1.53,-0.109125,0
1.54,-0.10833,0
1.55,-0.107522,0
1.56,-0.106702,0
1.57,-0.105872,0
1.58,-0.105047,0
