# 20240808_145333
# initdata:	data/init_real_v2/init6.csv
# particle mass:	0.14
# NpT:	200
# pTmax:	2
# epsabs:	0
# epsrel:	1e-05
# integr iter:	10000
pT,abs2Re,abs2Im
0,61713.8,0
0.0100503,58263,0
0.0201005,48965.6,0
0.0301508,36486.9,0
0.040201,23920.9,0
0.0502513,13624.4,0
0.0603015,6635.55,0
0.0703518,2779.15,0
0.080402,1171.66,0
0.0904523,766.803,0
0.100503,736.386,0
0.110553,640.773,0
0.120603,408.031,0
0.130653,169.327,0
0.140704,51.3815,0
0.150754,56.2962,0
0.160804,91.1119,0
0.170854,80.2059,0
0.180905,31.7235,0
0.190955,0.923167,0
0.201005,12.8659,0
0.211055,38.7057,0
0.221106,40.7904,0
0.231156,19.3446,0
0.241206,4.58319,0
0.251256,13.8455,0
0.261307,32.174,0
0.271357,35.6244,0
0.281407,20.9971,0
0.291457,4.89836,0
0.301508,0.024819,0
0.311558,2.62419,0
0.321608,3.35008,0
0.331658,1.40079,0
0.341709,2.56469,0
0.351759,7.84675,0
0.361809,11.06,0
0.371859,7.93274,0
0.38191,2.32357,0
0.39196,0.81281,0
0.40201,4.11306,0
0.41206,7.11717,0
0.422111,6.20487,0
0.432161,3.10996,0
0.442211,1.20133,0
0.452261,0.90576,0
0.462312,0.569703,0
0.472362,0.059448,0
0.482412,0.977028,0
0.492462,3.52935,0
0.502513,5.38489,0
0.512563,4.51847,0
0.522613,1.88903,0
0.532663,0.153736,0
0.542714,0.423054,0
0.552764,1.47604,0
0.562814,1.91242,0
0.572864,1.7733,0
0.582915,1.69524,0
0.592965,1.56385,0
0.603015,0.908783,0
0.613065,0.121025,0
0.623116,0.245077,0
0.633166,1.4811,0
0.643216,2.67124,0
0.653266,2.63133,0
0.663317,1.50968,0
0.673367,0.409893,0
0.683417,0.0229773,0
0.693467,0.15637,0
0.703518,0.445985,0
0.713568,0.879321,0
0.723618,1.42295,0
0.733668,1.64912,0
0.743719,1.19098,0
0.753769,0.384572,0
0.763819,0.0198032,0
0.773869,0.423693,0
0.78392,1.10205,0
0.79397,1.38076,0
0.80402,1.12654,0
0.81407,0.67749,0
0.824121,0.309852,0
0.834171,0.0707906,0
0.844221,0.0304583,0
0.854271,0.336164,0
0.864322,0.902307,0
0.874372,1.29429,0
0.884422,1.13934,0
0.894472,0.570341,0
0.904523,0.0899382,0
0.914573,0.0271927,0
0.924623,0.278671,0
0.934673,0.56286,0
0.944724,0.732669,0
0.954774,0.764416,0
0.964824,0.620195,0
0.974874,0.31024,0
0.984925,0.0356845,0
0.994975,0.0710557,0
1.00503,0.442538,0
1.01508,0.837116,0
1.02513,0.911802,0
1.03518,0.634759,0
1.04523,0.259945,0
1.05528,0.0340065,0
1.06533,0.0228584,0
1.07538,0.179005,0
1.08543,0.430728,0
1.09548,0.657206,0
1.10553,0.6923,0
1.11558,0.471452,0
1.12563,0.153305,0
1.13568,0.00143669,0
1.14573,0.124468,0
1.15578,0.381996,0
1.16583,0.55355,0
1.17588,0.543021,0
1.18593,0.396322,0
1.19598,0.20161,0
1.20603,0.041847,0
1.21608,0.00996116,0
1.22613,0.163637,0
1.23618,0.427983,0
1.24623,0.605919,0
1.25628,0.548039,0
1.26633,0.303389,0
1.27638,0.069242,0
1.28643,0.00256778,0
1.29648,0.107177,0
1.30653,0.282007,0
1.31658,0.419954,0
1.32663,0.449577,0
1.33668,0.345349,0
1.34673,0.157693,0
1.35678,0.0152024,0
1.36683,0.0354061,0
1.37688,0.207973,0
1.38693,0.390708,0
1.39698,0.439732,0
1.40704,0.332613,0
1.41709,0.161056,0
1.42714,0.0329658,0
1.43719,0.00477829,0
1.44724,0.0811364,0
1.45729,0.224647,0
1.46734,0.353967,0
1.47739,0.375985,0
1.48744,0.263042,0
1.49749,0.0957767,0
1.50754,0.00240549,0
1.51759,0.0463924,0
1.52764,0.1797,0
1.53769,0.299133,0
1.54774,0.330619,0
1.55779,0.263217,0
1.56784,0.138014,0
1.57789,0.0274263,0
1.58794,0.00603363,0
1.59799,0.0997347,0
1.60804,0.248771,0
1.61809,0.34141,0
1.62814,0.30632,0
1.63819,0.174156,0
1.64824,0.0447923,0
1.65829,0.000432963,0
1.66834,0.0527201,0
1.67839,0.1557,0
1.68844,0.245555,0
1.69849,0.269948,0
1.70854,0.210015,0
1.71859,0.098903,0
1.72864,0.0119572,0
1.73869,0.0139941,0
1.74874,0.103392,0
1.75879,0.211355,0
1.76884,0.259999,0
1.77889,0.221179,0
1.78894,0.126282,0
1.79899,0.0350756,0
1.80905,0.000352142,0
1.8191,0.044242,0
1.82915,0.143692,0
1.8392,0.234948,0
1.84925,0.251778,0
1.8593,0.178712,0
1.86935,0.0691152,0
1.8794,0.00326821,0
1.88945,0.023457,0
1.8995,0.106222,0
1.90955,0.189278,0
1.9196,0.218888,0
1.92965,0.179309,0
1.9397,0.0958918,0
1.94975,0.020406,0
1.9598,0.00260972,0
1.96985,0.0563408,0
1.9799,0.14453,0
1.98995,0.203517,0
2,0.191821,0
