# 20240808_145512
alpha,Df0Re,Df0Im
0,0.12317,0
0.00157237,0.12324,0
0.00314474,0.123311,0
0.00471711,0.123384,0
0.00628947,0.123454,0
0.00786184,0.12352,0
0.00943421,0.12358,0
0.0110066,0.123633,0
0.0125789,0.123681,0
0.0141513,0.123725,0
0.0157237,0.123767,0
0.0172961,0.123808,0
0.0188684,0.12385,0
0.0204408,0.123892,0
0.0220132,0.123934,0
0.0235855,0.123975,0
0.0251579,0.124016,0
0.0267303,0.124057,0
0.0283026,0.1241,0
0.029875,0.124145,0
0.0314474,0.124192,0
0.0330197,0.12424,0
0.0345921,0.12429,0
0.0361645,0.124341,0
0.0377368,0.124394,0
0.0393092,0.124449,0
0.0408816,0.124507,0
0.042454,0.124567,0
0.0440263,0.12463,0
0.0455987,0.124695,0
0.0471711,0.124762,0
0.0487434,0.124831,0
0.0503158,0.124902,0
0.0518882,0.124976,0
0.0534605,0.125053,0
0.0550329,0.125132,0
0.0566053,0.125214,0
0.0581776,0.125298,0
0.05975,0.125384,0
0.0613224,0.125472,0
0.0628947,0.125563,0
0.0644671,0.125656,0
0.0660395,0.125752,0
0.0676119,0.12585,0
0.0691842,0.12595,0
0.0707566,0.126052,0
0.072329,0.126156,0
0.0739013,0.126263,0
0.0754737,0.126373,0
0.0770461,0.126484,0
0.0786184,0.126598,0
0.0801908,0.126713,0
0.0817632,0.126831,0
0.0833355,0.12695,0
0.0849079,0.127073,0
0.0864803,0.127197,0
0.0880526,0.127324,0
0.089625,0.127452,0
0.0911974,0.127582,0
0.0927698,0.127715,0
0.0943421,0.12785,0
0.0959145,0.127987,0
0.0974869,0.128127,0
0.0990592,0.128268,0
0.100632,0.128411,0
0.102204,0.128557,0
0.103776,0.128705,0
0.105349,0.128855,0
0.106921,0.129007,0
0.108493,0.129161,0
0.110066,0.129318,0
0.111638,0.129476,0
0.113211,0.129637,0
0.114783,0.1298,0
0.116355,0.129966,0
0.117928,0.130134,0
0.1195,0.130304,0
0.121072,0.130476,0
0.122645,0.13065,0
0.124217,0.130828,0
0.125789,0.131007,0
0.127362,0.131189,0
0.128934,0.131373,0
0.130507,0.131559,0
0.132079,0.131748,0
0.133651,0.131939,0
0.135224,0.132133,0
0.136796,0.132329,0
0.138368,0.132528,0
0.139941,0.132729,0
0.141513,0.132933,0
0.143086,0.133139,0
0.144658,0.133348,0
0.14623,0.13356,0
0.147803,0.133774,0
0.149375,0.13399,0
0.150947,0.134209,0
0.15252,0.134431,0
0.154092,0.134656,0
0.155665,0.134883,0
0.157237,0.135113,0
0.158809,0.135346,0
0.160382,0.135581,0
0.161954,0.135819,0
0.163526,0.136059,0
0.165099,0.136303,0
0.166671,0.136549,0
0.168243,0.136798,0
0.169816,0.13705,0
0.171388,0.137304,0
0.172961,0.137562,0
0.174533,0.137822,0
0.176105,0.138085,0
0.177678,0.138351,0
0.17925,0.138619,0
0.180822,0.138891,0
0.182395,0.139165,0
0.183967,0.139442,0
0.18554,0.139723,0
0.187112,0.140006,0
0.188684,0.140292,0
0.190257,0.14058,0
0.191829,0.140872,0
0.193401,0.141167,0
0.194974,0.141465,0
0.196546,0.141765,0
0.198118,0.142069,0
0.199691,0.142375,0
0.201263,0.142685,0
0.202836,0.142997,0
0.204408,0.143313,0
0.20598,0.143631,0
0.207553,0.143953,0
0.209125,0.144277,0
0.210697,0.144605,0
0.21227,0.144935,0
0.213842,0.145269,0
0.215415,0.145606,0
0.216987,0.145946,0
0.218559,0.146289,0
0.220132,0.146635,0
0.221704,0.146984,0
0.223276,0.147336,0
0.224849,0.147691,0
0.226421,0.14805,0
0.227993,0.148412,0
0.229566,0.148777,0
0.231138,0.149144,0
0.232711,0.149516,0
0.234283,0.14989,0
0.235855,0.150268,0
0.237428,0.150649,0
0.239,0.151033,0
0.240572,0.15142,0
0.242145,0.151811,0
0.243717,0.152205,0
0.24529,0.152602,0
0.246862,0.153003,0
0.248434,0.153407,0
0.250007,0.153814,0
0.251579,0.154225,0
0.253151,0.154639,0
0.254724,0.155056,0
0.256296,0.155477,0
0.257868,0.155902,0
0.259441,0.156329,0
0.261013,0.15676,0
0.262586,0.157195,0
0.264158,0.157633,0
0.26573,0.158075,0
0.267303,0.15852,0
0.268875,0.158969,0
0.270447,0.159421,0
0.27202,0.159877,0
0.273592,0.160337,0
0.275165,0.1608,0
0.276737,0.161267,0
0.278309,0.161737,0
0.279882,0.162211,0
0.281454,0.162689,0
0.283026,0.16317,0
0.284599,0.163655,0
0.286171,0.164144,0
0.287743,0.164637,0
0.289316,0.165133,0
0.290888,0.165633,0
0.292461,0.166137,0
0.294033,0.166645,0
0.295605,0.167157,0
0.297178,0.167672,0
0.29875,0.168191,0
0.300322,0.168714,0
0.301895,0.169241,0
0.303467,0.169772,0
0.30504,0.170307,0
0.306612,0.170846,0
0.308184,0.171388,0
0.309757,0.171935,0
0.311329,0.172485,0
0.312901,0.173039,0
0.314474,0.173598,0
0.316046,0.17416,0
0.317618,0.174727,0
0.319191,0.175297,0
0.320763,0.175871,0
0.322336,0.17645,0
