# 20240808_145512
# initdata:	data/init_real_v2/init7.csv
# particle mass:	0.14
# NpT:	200
# pTmax:	2
# epsabs:	0
# epsrel:	1e-05
# integr iter:	10000
pT,abs2Re,abs2Im
0,69214.4,0
0.0100503,65432.9,0
0.0201005,55225.7,0
0.0301508,41472.2,0
0.040201,27532.6,0
0.0502513,15995.9,0
0.0603015,8045.2,0
0.0703518,3551.63,0
0.080402,1597.67,0
0.0904523,1049.95,0
0.100503,973.882,0
0.110553,843.968,0
0.120603,553.938,0
0.130653,251.16,0
0.140704,93.8339,0
0.150754,92.4873,0
0.160804,133.201,0
0.170854,116.461,0
0.180905,48.9001,0
0.190955,2.80496,0
0.201005,14.9571,0
0.211055,49.8819,0
0.221106,55.9339,0
0.231156,29.5199,0
0.241206,9.01876,0
0.251256,18.925,0
0.261307,41.5244,0
0.271357,45.6581,0
0.281407,26.5467,0
0.291457,5.8421,0
0.301508,0.291001,0
0.311558,4.45031,0
0.321608,5.20594,0
0.331658,1.44206,0
0.341709,1.75262,0
0.351759,8.46254,0
0.361809,13.4489,0
0.371859,10.2976,0
0.38191,3.41665,0
0.39196,1.38607,0
0.40201,5.37244,0
0.41206,8.8394,0
0.422111,7.20271,0
0.432161,3.01362,0
0.442211,0.851782,0
0.452261,1.03602,0
0.462312,0.916781,0
0.472362,0.077779,0
0.482412,0.837397,0
0.492462,3.86424,0
0.502513,6.29424,0
0.512563,5.39274,0
0.522613,2.24882,0
0.532663,0.211429,0
0.542714,0.621712,0
0.552764,1.81469,0
0.562814,2.04766,0
0.572864,1.62103,0
0.582915,1.56612,0
0.592965,1.68769,0
0.603015,1.12986,0
0.613065,0.203011,0
0.623116,0.260061,0
0.633166,1.68265,0
0.643216,3.08157,0
0.653266,2.98482,0
0.663317,1.61251,0
0.673367,0.364968,0
0.683417,0.0231168,0
0.693467,0.208855,0
0.703518,0.434312,0
0.713568,0.809193,0
0.723618,1.44056,0
0.733668,1.81554,0
0.743719,1.38139,0
0.753769,0.468049,0
0.763819,0.0381743,0
0.773869,0.505449,0
0.78392,1.26021,0
0.79397,1.50009,0
0.80402,1.13757,0
0.81407,0.642661,0
0.824121,0.310944,0
0.834171,0.0940773,0
0.844221,0.022758,0
0.854271,0.320724,0
0.864322,0.958376,0
0.874372,1.43282,0
0.884422,1.27221,0
0.894472,0.62272,0
0.904523,0.0877413,0
0.914573,0.0397318,0
0.924623,0.316883,0
0.934673,0.583922,0
0.944724,0.724671,0
0.954774,0.768141,0
0.964824,0.660376,0
0.974874,0.354448,0
0.984925,0.0483187,0
0.994975,0.0746735,0
1.00503,0.487715,0
1.01508,0.925861,0
1.02513,0.99024,0
1.03518,0.662764,0
1.04523,0.254317,0
1.05528,0.0308095,0
1.06533,0.0272231,0
1.07538,0.176598,0
1.08543,0.429334,0
1.09548,0.683238,0
1.10553,0.747037,0
1.11558,0.520554,0
1.12563,0.170631,0
1.13568,0.00281338,0
1.14573,0.141743,0
1.15578,0.418126,0
1.16583,0.583708,0
1.17588,0.553371,0
1.18593,0.399346,0
1.19598,0.210048,0
1.20603,0.0489923,0
1.21608,0.00779527,0
1.22613,0.1657,0
1.23618,0.455665,0
1.24623,0.656321,0
1.25628,0.592726,0
1.26633,0.321577,0
1.27638,0.0690619,0
1.28643,0.00385566,0
1.29648,0.115759,0
1.30653,0.291265,0
1.31658,0.429229,0
1.32663,0.465869,0
1.33668,0.367599,0
1.34673,0.173312,0
1.35678,0.0181389,0
1.36683,0.0378728,0
1.37688,0.22574,0
1.38693,0.421848,0
1.39698,0.466984,0
1.40704,0.344824,0
1.41709,0.162908,0
1.42714,0.0334144,0
1.43719,0.00541806,0
1.44724,0.081282,0
1.45729,0.230232,0
1.46734,0.372088,0
1.47739,0.402377,0
1.48744,0.28364,0
1.49749,0.102677,0
1.50754,0.00245787,0
1.51759,0.0511271,0
1.52764,0.191775,0
1.53769,0.31294,0
1.54774,0.342197,0
1.55779,0.273238,0
1.56784,0.146039,0
1.57789,0.0305456,0
1.58794,0.00562495,0
1.59799,0.104294,0
1.60804,0.265166,0
1.61809,0.365322,0
1.62814,0.325846,0
1.63819,0.182412,0
1.64824,0.0453866,0
1.65829,0.000651978,0
1.66834,0.0557665,0
1.67839,0.161414,0
1.68844,0.254549,0
1.69849,0.282629,0
1.70854,0.222795,0
1.71859,0.106182,0
1.72864,0.0130095,0
1.73869,0.0149256,0
1.74874,0.110473,0
1.75879,0.224229,0
1.76884,0.273158,0
1.77889,0.230388,0
1.78894,0.131234,0
1.79899,0.0369624,0
1.80905,0.00038302,0
1.8191,0.0452878,0
1.82915,0.150145,0
1.8392,0.248415,0
1.84925,0.267738,0
1.8593,0.190005,0
1.86935,0.0729184,0
1.8794,0.00328875,0
1.88945,0.0253182,0
1.8995,0.112321,0
1.90955,0.198423,0
1.9196,0.22884,0
1.92965,0.187966,0
1.9397,0.101269,0
1.94975,0.0218655,0
1.9598,0.00265034,0
1.96985,0.0594457,0
1.9799,0.153027,0
1.98995,0.215105,0
2,0.201784,0
