# 20241202_134202
# primespec:	data/spec_20241202_115843_3/spectr.txt
# qmax:	2.99599
# ma:	1.5
# mb:	0.14
# mc:	0.14
# B:	1
# Q:	1
# [DEBUG] pabc:	0.736817
# [DEBUG] Eabc:	0.75
p,finalspecRe,finalspecIm
0,inf,0
0.0100503,inf,0
0.0201005,inf,0
0.0301508,inf,0
0.040201,inf,0
0.0502513,inf,0
0.0603015,inf,0
0.0703518,inf,0
0.080402,inf,0
0.0904523,inf,0
0.100503,inf,0
0.110553,inf,0
0.120603,inf,0
0.130653,inf,0
0.140704,inf,0
0.150754,inf,0
0.160804,303.667,0
0.170854,305.578,0
0.180905,307.496,0
0.190955,309.473,0
0.201005,311.486,0
0.211055,313.576,0
0.221106,315.687,0
0.231156,317.879,0
0.241206,320.156,0
0.251256,322.451,0
0.261307,324.826,0
0.271357,327.241,0
0.281407,329.737,0
0.291457,332.242,0
0.301508,334.794,0
0.311558,337.486,0
0.321608,340.14,0
0.331658,342.791,0
0.341709,345.581,0
0.351759,348.399,0
0.361809,351.136,0
0.371859,353.873,0
0.38191,356.761,0
0.39196,359.778,0
0.40201,362.741,0
0.41206,365.576,0
0.422111,368.483,0
0.432161,371.376,0
0.442211,374.224,0
0.452261,377.337,0
0.462312,380.351,0
0.472362,383.579,0
0.482412,386.639,0
0.492462,389.96,0
0.502513,393.025,0
0.512563,396.336,0
0.522613,399.395,0
0.532663,402.669,0
0.542714,405.838,0
0.552764,409.057,0
0.562814,412.543,0
0.572864,415.742,0
0.582915,419.266,0
0.592965,423.039,0
0.603015,426.613,0
0.613065,430.373,0
0.623116,434.573,0
0.633166,438.679,0
0.643216,443.09,0
0.653266,448.506,0
0.663317,454.631,0
0.673367,460.329,0
0.683417,464.575,0
0.693467,465.92,0
0.703518,462.388,0
0.713568,451.896,0
0.723618,433.252,0
0.733668,406.758,0
0.743719,374.008,0
0.753769,337.86,0
0.763819,301.647,0
0.773869,268.188,0
0.78392,238.724,0
0.79397,213.859,0
0.80402,192.853,0
0.81407,175.457,0
0.824121,160.941,0
0.834171,148.874,0
0.844221,138.517,0
0.854271,129.32,0
0.864322,120.871,0
0.874372,113.138,0
0.884422,106.14,0
0.894472,99.8546,0
0.904523,93.9926,0
0.914573,88.5396,0
0.924623,83.4859,0
0.934673,78.8991,0
0.944724,74.6852,0
0.954774,70.6973,0
0.964824,66.9065,0
0.974874,63.4021,0
0.984925,60.1916,0
0.994975,57.1955,0
1.00503,54.3142,0
1.01508,51.5733,0
1.02513,49.0546,0
1.03518,46.7246,0
1.04523,44.4953,0
1.05528,42.3491,0
1.06533,40.3445,0
1.07538,38.4745,0
1.08543,36.732,0
1.09548,35.057,0
1.10553,33.4466,0
1.11558,31.9519,0
1.12563,30.5642,0
1.13568,29.2485,0
1.14573,27.9748,0
1.15578,26.7637,0
1.16583,25.644,0
1.17588,24.6063,0
1.18593,23.5879,0
1.19598,22.6075,0
1.20603,21.6906,0
1.21608,20.8437,0
1.22613,20.0206,0
1.23618,19.2126,0
1.24623,18.45,0
1.25628,17.7344,0
1.26633,17.0579,0
1.27638,16.3891,0
1.28643,15.7377,0
1.29648,15.1234,0
1.30653,14.5542,0
1.31658,13.9978,0
1.32663,13.4491,0
1.33668,12.9226,0
1.34673,12.4402,0
1.35678,11.99,0
1.36683,11.5545,0
1.37688,11.0985,0
1.38693,10.6983,0
1.39698,10.3243,0
1.40704,9.95875,0
1.41709,9.60115,0
1.42714,9.25952,0
1.43719,8.94547,0
1.44724,8.64069,0
1.45729,8.34095,0
1.46734,8.04054,0
1.47739,7.76428,0
1.48744,7.50177,0
1.49749,7.24041,0
1.50754,6.98343,0
1.51759,6.73751,0
1.52764,6.5132,0
1.53769,6.29507,0
1.54774,6.0793,0
1.55779,5.86893,0
1.56784,5.67814,0
1.57789,5.50258,0
1.58794,5.32509,0
1.59799,5.1475,0
1.60804,4.98041,0
1.61809,4.82788,0
1.62814,4.67829,0
1.63819,4.52547,0
1.64824,4.37509,0
1.65829,4.2351,0
1.66834,4.10335,0
1.67839,3.97085,0
1.68844,3.83801,0
1.69849,3.7156,0
1.70854,3.60311,0
1.71859,3.49254,0
1.72864,3.38191,0
1.73869,3.27549,0
1.74874,3.17998,0
1.75879,3.08839,0
1.76884,2.99527,0
1.77889,2.90113,0
1.78894,2.81367,0
1.79899,2.73186,0
1.80905,2.65023,0
1.8191,2.56643,0
1.82915,2.48545,0
1.8392,2.41207,0
1.84925,2.3421,0
1.8593,2.27048,0
1.86935,2.20078,0
1.8794,2.13618,0
1.88945,2.07759,0
1.8995,2.01857,0
1.90955,1.95822,0
1.9196,1.9004,0
1.92965,1.84751,0
1.9397,1.79572,0
1.94975,1.74173,0
1.9598,1.6883,0
1.96985,1.63909,0
1.9799,1.59307,0
1.98995,1.5466,0
2,1.50014,0
