# epsilon:0.000160054
# mass:0.6
alpha,RePhi,ImPhi,ReDPhi,ImDPhi
0.,0.018859362543722297,0,-0.1741888115398143,0
0.01,0.01888719481999683,0,-0.17454961327114138,0
0.02,0.0189399986972585,0,-0.17447452967229923,0
0.03,0.019016011132819203,0,-0.1741714686857773,0
0.04,0.019114328755766557,0,-0.17374271423061724,0
0.05,0.019234574140162736,0,-0.17322783713770845,0
0.06,0.019376632092042233,0,-0.17263247051290168,0
0.07,0.019540489585198426,0,-0.17194622534934506,0
0.08,0.019726126013345283,0,-0.17115312992255552,0
0.09,0.019933451392337213,0,-0.17023699199351716,0
0.1,0.02016227220096654,0,-0.1691835155571047,0
0.11,0.0204122872678716,0,-0.16798047306430317,0
0.12,0.02068309284554799,0,-0.1666169063885852,0
0.13,0.020974196798241182,0,-0.16508194764901202,0
0.14,0.02128500922297163,0,-0.16336363846301943,0
0.15,0.021614875091650804,0,-0.16144814043871816,0
0.16,0.021963044166579702,0,-0.15931880435805973,0
0.17,0.02232867563849611,0,-0.15695608906133962,0
0.18,0.022710819326289548,0,-0.15433728620912798,0
0.19,0.023108369092567176,0,-0.15143668248166411,0
0.2,0.023520078475251664,0,-0.14822578604579975,0
0.21,0.02394446076542006,0,-0.1446735035170455,0
0.22,0.024379800927713587,0,-0.1407465061607742,0
0.23,0.024824097203310164,0,-0.13640931383773292,0
0.24,0.02527500148686471,0,-0.13162456564262898,0
0.25,0.02572981284674226,0,-0.1263531617119658,0
0.26,0.026185401849139204,0,-0.1205542687290734,0
0.27,0.026638158157676332,0,-0.11418558193878964,0
0.28,0.02708400127087063,0,-0.1072033939950979,0
0.29,0.027518238371781634,0,-0.09956294811552105,0
0.3,0.0279356322515628,0,-0.0912188169926275,0
0.31,0.02833027116141355,0,-0.08212552885576338,0
0.32,0.028695559062773168,0,-0.07223856393929791,0
0.33,0.029024264704082346,0,-0.06151472244879453,0
0.34,0.029308316252252917,0,-0.04991486289214279,0
0.35000000000000003,0.029539047902522327,0,-0.03740348397477135,0
0.36,0.029706918373237218,0,-0.023953131223085396,0
0.37,0.029801820009430866,0,-0.009543829698828853,0
0.38,0.02981288787844664,0,0.005832178322864737,0
0.39,0.02972875433016295,0,0.022169437517578643,0
0.4,0.02953753881512423,0,0.03944633636975156,0
0.41000000000000003,0.029227066683518196,0,0.05762167710535596,0
0.42,0.028785017556875996,0,0.07663321434137847,0
0.43,0.028199121920327492,0,0.0963941170060955,0
0.44,0.02745747441424225,0,0.11679036109415532,0
0.45,0.026548782122419602,0,0.13767995574166694,0
0.46,0.02546269174751498,0,0.1588903173190941,0
0.47000000000000003,0.024190250949836234,0,0.1802162875524046,0
0.48,0.02272420708685288,0,0.20142123620261257,0
0.49,0.021059396961810653,0,0.22223662735050248,0
0.5,0.01919337388694016,0,0.24236196442112398,0
0.51,0.01712668630180051,0,0.26146859366633,0
0.52,0.014863217694965444,0,0.27920254369581454,0
0.53,0.012410881903305498,0,0.29518844111479786,0
0.54,0.009781826412009103,0,0.3090368787603376,0
0.55,0.006992564119986315,0,0.32035126707076583,0
0.56,0.004064563073788466,0,0.32873726192576963,0
0.5700000000000001,0.0010241153101947264,0,0.3338139636501406,0
0.58,-0.0020975512777358335,0,0.33522564355986095,0
0.59,-0.005264434145999196,0,0.332654901329554,0
0.6,-0.008436031447348181,0,0.3258365716109672,0
0.61,-0.011567782522988197,0,0.31457192279343216,0
0.62,-0.014611701246186161,0,0.2987428058105448,0
0.63,-0.017517222545495918,0,0.27832411416719083,0
0.64,-0.02023220736985184,0,0.2533945791053419,0
0.65,-0.022704105733275897,0,0.2241450926422706,0
0.66,-0.024881259724342835,0,0.19088387142946994,0
0.67,-0.026714322155448684,0,0.15403796567039416,0
0.68,-0.02815777957148841,0,0.11415079364930475,0
0.6900000000000001,-0.02917146531883891,0,0.07187424351352092,0
0.7000000000000001,-0.029722013740765305,0,0.027956311678113126,0
0.71,-0.029784212609022136,0,-0.01677546529925518,0
0.72,-0.029342193308566106,0,-0.06143459683139347,0
0.73,-0.02839040594969529,0,-0.10509969300918497,0
0.74,-0.026934410443179,0,-0.1468414266445678,0
0.75,-0.024991090021303675,0,-0.18575183570720402,0
0.76,-0.022588756882925273,0,-0.22097317872806452,0
0.77,-0.01976674289281995,0,-0.25172716160061204,0
0.78,-0.016574654733853007,0,-0.2773420264180676,0
0.79,-0.013071251054293943,0,-0.29727675298654016,0
0.8,-0.009322992517091181,0,-0.3111410014933303,0
0.81,-0.00540229774930178,0,-0.31870958259143156,0
0.8200000000000001,-0.001385573554457447,0,-0.31993079626046456,0
0.8300000000000001,0.0026488696281641282,0,-0.31492789911010194,0
0.84,0.006622999221869517,0,-0.30399321226999476,0
0.85,0.010461200101286802,0,-0.2875751992032269,0
0.86,0.014092303866583139,0,-0.26625903135487006,0
0.87,0.017451420759823474,0,-0.24074164321535943,0
0.88,0.02048150694873769,0,-0.21180266786496105,0
0.89,0.023134609904327245,0,-0.18027292628754082,0
0.9,0.0253727447278655,0,-0.14700230242261617,0
0.91,0.02716844876910435,0,-0.11282887449321602,0
0.92,0.028504756311542846,0,-0.07855076284066173,0
0.93,0.029375211971731787,0,-0.04490241039310803,0
0.9400000000000001,0.02978315308158399,0,-0.012535504577111172,0
0.9500000000000001,0.029740854900076236,0,0.017993795719555297,0
0.96,0.02926851722039036,0,0.04623214907577598,0
0.97,0.02839311981746097,0,0.07183164257247636,0
0.98,0.027147161913248292,0,0.09454812390687851,0
0.99,0.025567273203501453,0,0.11423479777520286,0
1.,0.02369294410942173,0,0.13083338638737527,0
1.01,0.021565352223035947,0,0.14436413402618525,0
1.02,0.01922625297676161,0,0.1549144293568573,0
1.03,0.016716993309701222,0,0.1626272818626748,0
1.04,0.014077679653447759,0,0.16768919130877327,0
1.05,0.011346519335292444,0,0.17031871558121064,0
1.06,0.008559312631639749,0,0.17075581250614014,0
1.07,0.005749082309153306,0,0.16925201205559182,0
1.08,0.00294583484045056,0,0.16606155027422836,0
1.09,0.0001763350501877664,0,0.16143393235506462,0
1.1,-0.0025357045544349647,0,0.15560685232716173,0
1.11,-0.005169642420370854,0,0.14880201082525876,0
1.12,-0.00770796825190619,0,0.14122198905772276,0
1.1300000000000001,-0.010135886817962653,0,0.13304827962385993,0
1.1400000000000001,-0.012441184983676455,0,0.12444149038843615,0
1.1500000000000001,-0.014614205136837921,0,0.11554232081122683,0
1.16,-0.01664743794217376,0,0.10647348361051019,0
1.17,-0.018535335563095615,0,0.09734217284132836,0
1.18,-0.020274248699557743,0,0.08824199968175192,0
1.19,-0.021862126234435043,0,0.07925477797754878,0
1.2,-0.023298233707547786,0,0.07045190691877663,0
1.21,-0.024583207017005074,0,0.061893761481774,0
1.22,-0.025718587418353082,0,0.05363021452193069,0
1.23,-0.0267068403385538,0,0.0456993022012896,0
1.24,-0.02755109904475986,0,0.038127051284326634,0
1.25,-0.02825498957111151,0,0.030928011597313062,0
1.26,-0.02882257374817575,0,0.02410596897179327,0
1.27,-0.029258160980852498,0,0.01765699869486002,0
1.28,-0.029566279983518885,0,0.011572334260973307,0
1.29,-0.02975161051702556,0,0.005842008877406564,0
1.3,-0.02981893679152107,0,0.00045811669811313805,0
1.31,-0.029773148228860683,0,-0.004583865859121873,0
1.32,-0.02961918482019672,0,-0.009284978798211021,0
1.33,-0.029362029410346362,0,-0.01364534857959333,0
1.34,-0.02900663580922,0,-0.01766808446723628,0
1.35,-0.028557905822573622,0,-0.021363332457816745,0
1.36,-0.028020599954394692,0,-0.024751555785051053,0
1.37,-0.02739934498228591,0,-0.02786339729626267,0
1.3800000000000001,-0.02669859462745441,0,-0.030736385911527473,0
1.3900000000000001,-0.025922674997972413,0,-0.033408325056713914,0
1.4000000000000001,-0.02507582096677709,0,-0.035909894753417534,0
1.41,-0.024162228661887872,0,-0.03826015872749373,0
1.42,-0.023186043456415947,0,-0.040469042858495584,0
1.43,-0.022151361887977117,0,-0.04254935612075424,0
1.44,-0.021062078489444216,0,-0.044537171350684635,0
1.45,-0.019921897340929716,0,-0.04651307656299634,0
1.46,-0.018734179210756877,0,-0.04861225436044373,0
1.47,-0.017502164141131055,0,-0.051007775835187834,0
1.48,-0.016229083671360615,0,-0.053860507982733834,0
1.49,-0.014918345720575321,0,-0.05724851525534574,0
1.5,-0.013573537902183056,0,-0.061120895842656044,0
1.51,-0.012198235202695201,0,-0.065353170728616,0
1.52,-0.010795710562793383,0,-0.06997278292687592,0
1.53,-0.009368968724323964,0,-0.07553016475757415,0
1.54,-0.007921361075177435,0,-0.08339185410415638,0
1.55,-0.006457301548709765,0,-0.09556704441953877,0
1.56,-0.004981666077850964,0,-0.11420250454019336,0
1.57,-0.0035012297334190137,0,-0.1439488412028089,0
1.58,-0.0020548052113402967,0,-0.21083754876286534,0
