# 20240807_223737
alpha,Df0Re,Df0Im
0,0,0
0.01,0.000271866,0
0.02,0.000789718,0
0.03,0.00153779,0
0.04,0.00251011,0
0.05,0.00370724,0
0.06,0.00513357,0
0.07,0.00679538,0
0.08,0.00869978,0
0.09,0.0108542,0
0.1,0.0132661,0
0.11,0.0159433,0
0.12,0.0188939,0
0.13,0.0221266,0
0.14,0.0256511,0
0.15,0.029478,0
0.16,0.0336189,0
0.17,0.038086,0
0.18,0.0428924,0
0.19,0.0480517,0
0.2,0.0535775,0
0.21,0.0594839,0
0.22,0.0657839,0
0.23,0.0724906,0
0.24,0.0796155,0
0.25,0.087169,0
0.26,0.0951596,0
0.27,0.103593,0
0.28,0.112472,0
0.29,0.121795,0
0.3,0.131555,0
0.31,0.14174,0
0.32,0.15233,0
0.33,0.163296,0
0.34,0.174599,0
0.35,0.186188,0
0.36,0.197999,0
0.37,0.209954,0
0.38,0.221957,0
0.39,0.233896,0
0.4,0.245641,0
0.41,0.257044,0
0.42,0.267937,0
0.43,0.278133,0
0.44,0.287429,0
0.45,0.295604,0
0.46,0.302425,0
0.47,0.307646,0
0.48,0.311014,0
0.49,0.312274,0
0.5,0.311173,0
0.51,0.307467,0
0.52,0.300929,0
0.53,0.291355,0
0.54,0.278577,0
0.55,0.262467,0
0.56,0.242948,0
0.57,0.220009,0
0.58,0.193706,0
0.59,0.164174,0
0.6,0.131635,0
0.61,0.0963989,0
0.62,0.0588681,0
0.63,0.0195349,0
0.64,-0.0210211,0
0.65,-0.0621435,0
0.66,-0.103111,0
0.67,-0.143153,0
0.68,-0.181467,0
0.69,-0.217244,0
0.7,-0.249691,0
0.71,-0.278054,0
0.72,-0.301651,0
0.73,-0.319889,0
0.74,-0.332291,0
0.75,-0.338515,0
0.76,-0.338373,0
0.77,-0.331838,0
0.78,-0.319049,0
0.79,-0.300318,0
0.8,-0.276112,0
0.81,-0.247049,0
0.82,-0.213872,0
0.83,-0.177425,0
0.84,-0.138627,0
0.85,-0.0984318,0
0.86,-0.0578026,0
0.87,-0.0176723,0
0.88,0.0210853,0
0.89,0.0576844,0
0.9,0.0914474,0
0.91,0.121822,0
0.92,0.148392,0
0.93,0.170878,0
0.94,0.189131,0
0.95,0.203129,0
0.96,0.212961,0
0.97,0.218811,0
0.98,0.220939,0
0.99,0.219667,0
1,0.215357,0
1.01,0.208399,0
1.02,0.199192,0
1.03,0.188136,0
1.04,0.175617,0
1.05,0.162002,0
1.06,0.147629,0
1.07,0.132804,0
1.08,0.117797,0
1.09,0.10284,0
1.1,0.0881289,0
1.11,0.0738224,0
1.12,0.0600471,0
1.13,0.0469003,0
1.14,0.0344533,0
1.15,0.022757,0
1.16,0.0118447,0
1.17,0.00173545,0
1.18,-0.0075636,0
1.19,-0.0160557,0
1.2,-0.0237547,0
1.21,-0.0306836,0
1.22,-0.0368748,0
1.23,-0.0423687,0
1.24,-0.0472119,0
1.25,-0.0514543,0
1.26,-0.0551446,0
1.27,-0.0583277,0
1.28,-0.0610405,0
1.29,-0.0633105,0
1.3,-0.0651564,0
1.31,-0.0665913,0
1.32,-0.0676273,0
1.33,-0.0682824,0
1.34,-0.0685855,0
1.35,-0.0685801,0
1.36,-0.0683223,0
1.37,-0.0678756,0
1.38,-0.0673009,0
1.39,-0.0666453,0
1.4,-0.065935,0
1.41,-0.0651741,0
1.42,-0.0643558,0
1.43,-0.0634822,0
1.44,-0.0625894,0
1.45,-0.0617662,0
1.46,-0.0611519,0
1.47,-0.060903,0
1.48,-0.0611299,0
1.49,-0.0618292,0
1.5,-0.0628597,0
1.51,-0.0640268,0
1.52,-0.0653054,0
1.53,-0.067132,0
1.54,-0.0705407,0
1.55,-0.0768619,0
1.56,-0.0872175,0
1.57,-0.104225,0
1.58,-0.144607,0
