# 20240725_151431
alpha,utauRe,utauIm
0,0.999645,0
0.00157237,0.999718,0
0.00314474,0.99979,0
0.00471711,0.999863,0
0.00628947,0.999936,0
0.00786184,1.00001,0
0.00943421,1.00008,0
0.0110066,1.00015,0
0.0125789,1.00023,0
0.0141513,1.0003,0
0.0157237,1.00037,0
0.0172961,1.00044,0
0.0188684,1.00052,0
0.0204408,1.00059,0
0.0220132,1.00065,0
0.0235855,1.00072,0
0.0251579,1.00079,0
0.0267303,1.00086,0
0.0283026,1.00093,0
0.029875,1.001,0
0.0314474,1.00108,0
0.0330197,1.00115,0
0.0345921,1.00124,0
0.0361645,1.00133,0
0.0377368,1.00142,0
0.0393092,1.00152,0
0.0408816,1.00162,0
0.042454,1.00172,0
0.0440263,1.00183,0
0.0455987,1.00194,0
0.0471711,1.00206,0
0.0487434,1.00218,0
0.0503158,1.0023,0
0.0518882,1.00242,0
0.0534605,1.00255,0
0.0550329,1.00267,0
0.0566053,1.00281,0
0.0581776,1.00295,0
0.05975,1.00309,0
0.0613224,1.00323,0
0.0628947,1.00338,0
0.0644671,1.00353,0
0.0660395,1.00368,0
0.0676119,1.00384,0
0.0691842,1.004,0
0.0707566,1.00416,0
0.072329,1.00433,0
0.0739013,1.0045,0
0.0754737,1.00467,0
0.0770461,1.00485,0
0.0786184,1.00503,0
0.0801908,1.00521,0
0.0817632,1.0054,0
0.0833355,1.00559,0
0.0849079,1.00578,0
0.0864803,1.00598,0
0.0880526,1.00617,0
0.089625,1.00637,0
0.0911974,1.00658,0
0.0927698,1.00679,0
0.0943421,1.007,0
0.0959145,1.00722,0
0.0974869,1.00744,0
0.0990592,1.00766,0
0.100632,1.00789,0
0.102204,1.00812,0
0.103776,1.00835,0
0.105349,1.00858,0
0.106921,1.00882,0
0.108493,1.00907,0
0.110066,1.00931,0
0.111638,1.00956,0
0.113211,1.00981,0
0.114783,1.01007,0
0.116355,1.01033,0
0.117928,1.01059,0
0.1195,1.01086,0
0.121072,1.01113,0
0.122645,1.0114,0
0.124217,1.01167,0
0.125789,1.01195,0
0.127362,1.01224,0
0.128934,1.01252,0
0.130507,1.01281,0
0.132079,1.0131,0
0.133651,1.0134,0
0.135224,1.0137,0
0.136796,1.014,0
0.138368,1.01431,0
0.139941,1.01462,0
0.141513,1.01493,0
0.143086,1.01525,0
0.144658,1.01557,0
0.14623,1.01589,0
0.147803,1.01622,0
0.149375,1.01655,0
0.150947,1.01688,0
0.15252,1.01722,0
0.154092,1.01756,0
0.155665,1.0179,0
0.157237,1.01825,0
0.158809,1.01859,0
0.160382,1.01895,0
0.161954,1.01931,0
0.163526,1.01967,0
0.165099,1.02003,0
0.166671,1.0204,0
0.168243,1.02077,0
0.169816,1.02114,0
0.171388,1.02152,0
0.172961,1.0219,0
0.174533,1.02228,0
0.176105,1.02267,0
0.177678,1.02306,0
0.17925,1.02346,0
0.180822,1.02386,0
0.182395,1.02426,0
0.183967,1.02466,0
0.18554,1.02507,0
0.187112,1.02548,0
0.188684,1.0259,0
0.190257,1.02632,0
0.191829,1.02674,0
0.193401,1.02716,0
0.194974,1.02759,0
0.196546,1.02803,0
0.198118,1.02846,0
0.199691,1.0289,0
0.201263,1.02935,0
0.202836,1.02979,0
0.204408,1.03024,0
0.20598,1.0307,0
0.207553,1.03115,0
0.209125,1.03161,0
0.210697,1.03208,0
0.21227,1.03254,0
0.213842,1.03301,0
0.215415,1.03349,0
0.216987,1.03397,0
0.218559,1.03445,0
0.220132,1.03493,0
0.221704,1.03542,0
0.223276,1.03591,0
0.224849,1.03641,0
0.226421,1.03691,0
0.227993,1.03741,0
0.229566,1.03791,0
0.231138,1.03842,0
0.232711,1.03894,0
0.234283,1.03945,0
0.235855,1.03997,0
0.237428,1.04049,0
0.239,1.04102,0
0.240572,1.04155,0
0.242145,1.04208,0
0.243717,1.04262,0
0.24529,1.04316,0
0.246862,1.0437,0
0.248434,1.04425,0
0.250007,1.0448,0
0.251579,1.04536,0
0.253151,1.04592,0
0.254724,1.04648,0
0.256296,1.04704,0
0.257868,1.04761,0
0.259441,1.04818,0
0.261013,1.04876,0
0.262586,1.04933,0
0.264158,1.04992,0
0.26573,1.0505,0
0.267303,1.05109,0
0.268875,1.05168,0
0.270447,1.05228,0
0.27202,1.05288,0
0.273592,1.05348,0
0.275165,1.05409,0
0.276737,1.0547,0
0.278309,1.05531,0
0.279882,1.05593,0
0.281454,1.05655,0
0.283026,1.05717,0
0.284599,1.0578,0
0.286171,1.05843,0
0.287743,1.05906,0
0.289316,1.0597,0
0.290888,1.06034,0
0.292461,1.06098,0
0.294033,1.06163,0
0.295605,1.06228,0
0.297178,1.06293,0
0.29875,1.06359,0
0.300322,1.06425,0
0.301895,1.06492,0
0.303467,1.06558,0
0.30504,1.06626,0
0.306612,1.06693,0
0.308184,1.06761,0
0.309757,1.06829,0
0.311329,1.06897,0
0.312901,1.06966,0
0.314474,1.07036,0
0.316046,1.07105,0
0.317618,1.07176,0
0.319191,1.07246,0
0.320763,1.07316,0
0.322336,1.07387,0
0.323908,1.07458,0
0.32548,1.07528,0
0.327053,1.07599,0
0.328625,1.07671,0
0.330197,1.07744,0
0.33177,1.07817,0
0.333342,1.0789,0
0.334915,1.07964,0
0.336487,1.08038,0
0.338059,1.08112,0
0.339632,1.08186,0
0.341204,1.0826,0
0.342776,1.08334,0
0.344349,1.08409,0
0.345921,1.08484,0
0.347493,1.08559,0
0.349066,1.08636,0
0.350638,1.08712,0
0.352211,1.08789,0
0.353783,1.08867,0
