# 20240725_151512
pT,abs2Re,abs2Im
0,91973.7,0
0.010101,86287.2,0
0.020202,71320.9,0
0.030303,52139.3,0
0.040404,34030.6,0
0.0505051,20310.8,0
0.0606061,11555.2,0
0.0707071,6702.11,0
0.0808081,4254.32,0
0.0909091,3070.34,0
0.10101,2428.63,0
0.111111,1907.35,0
0.121212,1385.93,0
0.131313,926.295,0
0.141414,654.551,0
0.151515,558.423,0
0.161616,505.21,0
0.171717,388.98,0
0.181818,238.191,0
0.191919,149.193,0
0.20202,151.817,0
0.212121,178.873,0
0.222222,161.525,0
0.232323,109.056,0
0.242424,77.2081,0
0.252525,85.4967,0
0.262626,98.2942,0
0.272727,81.1268,0
0.282828,45.1667,0
0.292929,23.9924,0
0.30303,26.2086,0
0.313131,30.748,0
0.323232,22.3124,0
0.333333,10.6421,0
0.343434,11.398,0
0.353535,21.4342,0
0.363636,25.3455,0
0.373737,18.327,0
0.383838,10.9643,0
0.393939,11.7522,0
0.40404,15.7022,0
0.414141,13.7874,0
0.424242,6.55906,0
0.434343,1.92552,0
0.444444,2.95168,0
0.454545,4.74941,0
0.464646,3.33225,0
0.474747,1.39891,0
0.484848,3.33336,0
0.494949,6.54088,0
0.505051,7.35885,0
0.515152,4.60752,0
0.525253,2.22822,0
0.535354,2.65515,0
0.545455,3.86901,0
0.555556,3.00055,0
0.565657,0.857564,0
0.575758,0.196511,0
0.585859,1.35219,0
0.59596,2.07679,0
0.606061,1.33047,0
0.616162,0.699102,0
0.626263,1.61223,0
0.636364,2.95592,0
0.646465,2.80929,0
0.656566,1.31011,0
0.666667,0.252186,0
0.676768,0.382498,0
0.686869,0.665868,0
0.69697,0.302791,0
0.707071,0.00804242,0
0.717172,0.628417,0
0.727273,1.57183,0
0.737374,1.64261,0
0.747475,0.905093,0
0.757576,0.571942,0
0.767677,1.15201,0
0.777778,1.72556,0
0.787879,1.3701,0
0.79798,0.473885,0
0.808081,0.0256178,0
0.818182,0.184965,0
0.828283,0.296463,0
0.838384,0.0870337,0
0.848485,0.0351735,0
0.858586,0.440506,0
0.868687,0.833788,0
0.878788,0.687621,0
0.888889,0.241119,0
0.89899,0.110396,0
0.909091,0.357084,0
0.919192,0.47026,0
0.929293,0.226066,0
0.939394,0.0188051,0
0.949495,0.182361,0
0.959596,0.448428,0
0.969697,0.401903,0
0.979798,0.17267,0
0.989899,0.241252,0
1,0.670623,0
