# 20240725_151537
pT,abs2Re,abs2Im
0,97964.8,0
0.010101,92075.3,0
0.020202,76511.4,0
0.030303,56393.2,0
0.040404,37141.3,0
0.0505051,22290.6,0
0.0606061,12598.9,0
0.0707071,7140.08,0
0.0808081,4414.01,0
0.0909091,3164.19,0
0.10101,2529.62,0
0.111111,2006.56,0
0.121212,1441.06,0
0.131313,934.339,0
0.141414,642.186,0
0.151515,556.81,0
0.161616,517.436,0
0.171717,398.683,0
0.181818,233.954,0
0.191919,136.754,0
0.20202,144.394,0
0.212121,180.591,0
0.222222,165.309,0
0.232323,108.603,0
0.242424,74.757,0
0.252525,87.0516,0
0.262626,104.561,0
0.272727,87.0113,0
0.282828,46.6846,0
0.292929,22.5351,0
0.30303,25.2563,0
0.313131,31.0372,0
0.323232,22.0249,0
0.333333,9.0233,0
0.343434,10.1734,0
0.353535,22.0956,0
0.363636,27.0387,0
0.373737,19.2587,0
0.383838,10.8359,0
0.393939,11.8562,0
0.40404,16.7822,0
0.414141,15.0701,0
0.424242,7.00038,0
0.434343,1.55559,0
0.444444,2.50322,0
0.454545,4.52275,0
0.464646,3.06166,0
0.474747,1.05826,0
0.484848,3.31896,0
0.494949,7.11376,0
0.505051,8.07084,0
0.515152,4.85877,0
0.525253,2.12716,0
0.535354,2.67568,0
0.545455,4.16853,0
0.555556,3.27154,0
0.565657,0.863282,0
0.575758,0.103765,0
0.585859,1.41184,0
0.59596,2.23557,0
0.606061,1.36097,0
0.616162,0.64049,0
0.626263,1.72358,0
0.636364,3.33416,0
0.646465,3.26283,0
0.656566,1.51277,0
0.666667,0.248544,0
0.676768,0.347396,0
0.686869,0.674048,0
0.69697,0.30616,0
0.707071,0.019637,0
0.717172,0.739281,0
0.727273,1.77999,0
0.737374,1.80208,0
0.747475,0.924027,0
0.757576,0.567712,0
0.767677,1.30131,0
0.777778,2.0236,0
0.787879,1.63831,0
0.79798,0.578529,0
0.808081,0.0158949,0
0.818182,0.167466,0
0.828283,0.297924,0
0.838384,0.0826713,0
0.848485,0.053809,0
0.858586,0.541255,0
0.868687,0.998222,0
0.878788,0.815199,0
0.888889,0.27513,0
0.89899,0.10414,0
0.909091,0.388109,0
0.919192,0.537583,0
0.929293,0.278648,0
0.939394,0.0476163,0
0.949495,0.224231,0
0.959596,0.507982,0
0.969697,0.435493,0
0.979798,0.166144,0
0.989899,0.259201,0
1,0.779411,0
