# 20240725_151537
alpha,urRe,urIm
0.0175638,0.0302051,0
0.0351183,0.0503451,0
0.0526539,0.0704901,0
0.0701616,0.0906427,0
0.0876328,0.110805,0
0.105059,0.130981,0
0.122434,0.151173,0
0.13975,0.171384,0
0.157002,0.191618,0
0.174186,0.211879,0
0.191299,0.232168,0
0.20834,0.252488,0
0.225309,0.272842,0
0.242209,0.293231,0
0.259043,0.313656,0
0.275819,0.334119,0
0.292544,0.354621,0
0.30923,0.375168,0
0.32589,0.395759,0
0.326996,0.397115,0
0.34254,0.416401,0
0.346197,0.4209,0
0.359198,0.437099,0
0.375887,0.457861,0
0.392631,0.478699,0
0.401675,0.489886,0
0.409457,0.49963,0
0.411077,0.501621,0
0.418348,0.510612,0
0.426395,0.520672,0
0.443482,0.541852,0
0.450516,0.550491,0
0.460756,0.563206,0
0.46399,0.567157,0
0.468959,0.573256,0
0.478262,0.584773,0
0.492279,0.601941,0
0.496052,0.606608,0
0.49771,0.608617,0
0.502229,0.614111,0
0.506992,0.619929,0
0.514187,0.628773,0
0.524468,0.641235,0
0.53274,0.651351,0
0.534508,0.653476,0
0.537464,0.657037,0
0.540784,0.661047,0
0.551799,0.674436,0
0.555308,0.678638,0
0.559091,0.68318,0
0.562574,0.687375,0
0.566799,0.692478,0
0.571477,0.698149,0
0.583225,0.712182,0
0.59192,0.722642,0
0.596732,0.72834,0
0.599118,0.731172,0
0.602197,0.734832,0
0.605152,0.738351,0
0.61332,0.748108,0
0.613901,0.748792,0
0.621025,0.757175,0
0.624034,0.760725,0
0.626903,0.764114,0
0.629582,0.767283,0
0.635941,0.774819,0
0.642619,0.782607,0
0.645117,0.785525,0
0.64814,0.789059,0
0.650371,0.79167,0
0.653052,0.794809,0
0.660167,0.803154,0
0.66184,0.805082,0
0.666081,0.809973,0
0.668629,0.812913,0
0.67111,0.815778,0
0.673581,0.818632,0
0.680096,0.826162,0
0.68329,0.829856,0
0.686598,0.833683,0
0.688166,0.835463,0
0.690527,0.838146,0
0.696909,0.845394,0
0.700263,0.849203,0
0.702517,0.851761,0
0.704655,0.854188,0
0.706786,0.856606,0
0.716257,0.867344,0
0.717435,0.868653,0
0.719978,0.87148,0
0.721723,0.873418,0
0.723752,0.87567,0
0.728799,0.881265,0
0.733873,0.886879,0
0.73599,0.889218,0
0.738218,0.891678,0
0.740321,0.893996,0
0.742417,0.896305,0
0.751179,0.905925,0
0.753394,0.908304,0
0.756107,0.911213,0
0.757813,0.913039,0
0.759828,0.915192,0
0.764844,0.920535,0
0.768227,0.924125,0
0.770676,0.926716,0
0.772198,0.928324,0
0.773949,0.93017,0
0.775697,0.932008,0
0.782653,0.939291,0
0.784266,0.940971,0
0.786307,0.943092,0
0.787873,0.944714,0
0.789766,0.946672,0
0.796827,0.953924,0
0.801923,0.959015,0
0.803955,0.961032,0
0.806236,0.963287,0
0.80779,0.964818,0
0.809631,0.966626,0
0.814219,0.971102,0
0.818289,0.975036,0
0.821556,0.978169,0
0.823066,0.979609,0
0.824848,0.981301,0
0.829292,0.985491,0
0.833703,0.989602,0
0.836065,0.991783,0
0.837945,0.99351,0
0.839808,0.995211,0
0.844764,0.99969,0
0.84852,1.00304,0
0.849956,1.00431,0
0.851541,1.0057,0
0.855498,1.00915,0
0.859538,1.01262,0
0.861299,1.01411,0
0.863137,1.01566,0
0.864824,1.01707,0
0.866509,1.01847,0
0.873237,1.02396,0
0.875664,1.02591,0
0.87808,1.02782,0
0.87952,1.02894,0
0.881195,1.03024,0
0.885379,1.03344,0
0.889942,1.03685,0
0.892382,1.03864,0
0.894152,1.03992,0
0.895801,1.0411,0
0.89745,1.04227,0
0.904039,1.04681,0
0.90838,1.04969,0
0.910477,1.05105,0
0.912246,1.05219,0
0.913628,1.05306,0
0.915011,1.05392,0
0.920539,1.05728,0
0.922138,1.05822,0
0.923753,1.05915,0
0.925382,1.06009,0
0.929357,1.0623,0
0.933333,1.06443,0
0.935265,1.06543,0
0.936873,1.06625,0
0.93848,1.06706,0
0.944919,1.07013,0
0.947231,1.07118,0
0.949625,1.07224,0
0.951024,1.07284,0
0.952586,1.07349,0
0.956495,1.07508,0
0.960566,1.07663,0
0.962447,1.07731,0
0.964391,1.078,0
0.965989,1.07855,0
0.967589,1.07908,0
0.974004,1.08106,0
0.977359,1.082,0
0.9802,1.08275,0
0.981578,1.08309,0
0.983173,1.08347,0
0.98717,1.08437,0
0.991743,1.08528,0
0.994481,1.08576,0
0.996258,1.08606,0
0.997858,1.0863,0
0.999462,1.08653,0
1.0059,1.08732,0
1.00908,1.08761,0
1.0119,1.08783,0
1.01331,1.08792,0
1.01491,1.08801,0
1.01892,1.08817,0
1.02306,1.08825,0
1.02488,1.08825,0
1.02694,1.08823,0
1.02856,1.0882,0
1.03018,1.08816,0
1.03665,1.08752,0
1.04024,1.08699,0
1.04277,1.08656,0
1.04426,1.08629,0
1.04586,1.08599,0
1.04748,1.08567,0
1.05225,1.08462,0
1.05534,1.08388,0
1.05741,1.08335,0
1.06037,1.08254,0
1.06421,1.08143,0
1.06743,1.08043,0
1.0689,1.07995,0
1.07054,1.07941,0
1.07466,1.07797,0
1.07914,1.07631,0
1.08147,1.0754,0
1.08341,1.07462,0
1.08508,1.07394,0
1.08895,1.0723,0
1.09561,1.06929,0
1.10025,1.06707,0
1.1028,1.06565,0
1.10477,1.06444,0
1.10643,1.06341,0
1.1081,1.06235,0
1.1148,1.05795,0
1.1199,1.05444,0
1.12334,1.05199,0
1.12537,1.05051,0
1.12773,1.04877,0
1.13167,1.04579,0
1.13571,1.04265,0
1.13808,1.04077,0
1.14004,1.03919,0
1.14373,1.03617,0
1.14589,1.03437,0
1.14859,1.03208,0
1.15276,1.02848,0
1.15842,1.02345,0
1.163,1.01927,0
1.16479,1.01761,0
1.16663,1.01582,0
1.17111,1.01099,0
1.17563,1.006,0
1.17745,1.00396,0
1.17958,1.00153,0
1.18204,0.998714,0
1.18784,0.991927,0
1.19442,0.983999,0
1.19662,0.9813,0
1.19887,0.978506,0
1.20491,0.970864,0
1.20728,0.967813,0
1.2098,0.964522,0
1.21404,0.958923,0
1.22088,0.949665,0
1.22345,0.94612,0
1.22643,0.941952,0
1.22938,0.937772,0
1.23361,0.931691,0
1.23757,0.925606,0
1.24043,0.921024,0
1.24432,0.914708,0
1.24764,0.909234,0
1.25039,0.904654,0
1.25555,0.895919,0
1.26152,0.885578,0
1.26393,0.881354,0
1.26648,0.876814,0
1.27335,0.864387,0
1.27834,0.85514,0
1.28141,0.849357,0
1.28416,0.844122,0
1.28818,0.836365,0
1.29222,0.828434,0
1.29918,0.81446,0
1.30701,0.798244,0
1.30929,0.793418,0
1.31131,0.789116,0
1.31389,0.783548,0
1.31649,0.777899,0
1.323,0.76327,0
1.32998,0.746799,0
1.33704,0.729694,0
1.33958,0.723406,0
1.34167,0.718202,0
1.34362,0.713291,0
1.34613,0.7069,0
1.34866,0.700424,0
1.35537,0.682884,0
1.36289,0.662624,0
1.36524,0.656183,0
1.36768,0.649425,0
1.37008,0.642702,0
1.37249,0.635897,0
1.37854,0.618525,0
1.38477,0.600227,0
1.39104,0.581384,0
1.39371,0.573225,0
1.39594,0.566352,0
1.39901,0.5568,0
1.40251,0.545797,0
1.4119,0.515682,0
1.41759,0.497033,0
1.42331,0.478023,0
1.42577,0.469747,0
1.42788,0.462651,0
1.43066,0.45322,0
1.43379,0.442566,0
1.44216,0.413806,0
1.45058,0.384663,0
1.45559,0.367256,0
1.46062,0.349817,0
1.46347,0.339968,0
1.46573,0.33215,0
1.46831,0.32327,0
1.47105,0.313876,0
1.47836,0.288981,0
1.48448,0.268408,0
1.48941,0.252071,0
1.49315,0.239812,0
1.4957,0.231525,0
1.49828,0.22318,0
1.50091,0.214779,0
1.50482,0.20238,0
1.51001,0.186121,0
1.5152,0.170094,0
1.51727,0.163749,0
1.51934,0.157434,0
1.52185,0.149792,0
1.52677,0.134933,0
1.52733,0.133316,0
1.53144,0.121302,0
1.53601,0.107914,0
1.54127,0.0924231,0
1.54337,0.0862018,0
1.54673,0.076163,0
1.54962,0.0674265,0
1.55317,0.056595,0
1.5576,0.0428322,0
1.56028,0.0343704,0
1.56249,0.0272935,0
1.56456,0.0206006,0
1.56709,0.0123107,0
1.56931,0.00495552,0
