# 20240725_151621
alpha,Dfield0Re,Dfield0Im
0,0,0
0.00157237,7.6403e-06,0
0.00314474,1.63681e-05,0
0.00471711,2.70514e-05,0
0.00628947,3.91285e-05,0
0.00786184,5.24019e-05,0
0.00943421,6.6841e-05,0
0.0110066,8.24155e-05,0
0.0125789,9.90961e-05,0
0.0141513,0.00011685,0
0.0157237,0.000135649,0
0.0172961,0.000155461,0
0.0188684,0.000176259,0
0.0204408,0.00019815,0
0.0220132,0.000221724,0
0.0235855,0.000247003,0
0.0251579,0.000273924,0
0.0267303,0.000302431,0
0.0283026,0.000332468,0
0.029875,0.000363973,0
0.0314474,0.00039689,0
0.0330197,0.000431165,0
0.0345921,0.000466735,0
0.0361645,0.000503547,0
0.0377368,0.000541545,0
0.0393092,0.000580666,0
0.0408816,0.000620857,0
0.042454,0.000662056,0
0.0440263,0.000704211,0
0.0455987,0.000747257,0
0.0471711,0.000791139,0
0.0487434,0.0008358,0
0.0503158,0.000881177,0
0.0518882,0.000927698,0
0.0534605,0.000976038,0
0.0550329,0.00102617,0
0.0566053,0.00107807,0
0.0581776,0.00113171,0
0.05975,0.00118705,0
0.0613224,0.00124408,0
0.0628947,0.00130275,0
0.0644671,0.00136304,0
0.0660395,0.00142492,0
0.0676119,0.00148836,0
0.0691842,0.00155333,0
0.0707566,0.00161979,0
0.072329,0.00168773,0
0.0739013,0.00175712,0
0.0754737,0.00182792,0
0.0770461,0.00190011,0
0.0786184,0.00197366,0
0.0801908,0.00204854,0
0.0817632,0.00212472,0
0.0833355,0.00220216,0
0.0849079,0.00228085,0
0.0864803,0.00236074,0
0.0880526,0.00244182,0
0.089625,0.00252404,0
0.0911974,0.0026074,0
0.0927698,0.00269186,0
0.0943421,0.00277773,0
0.0959145,0.00286542,0
0.0974869,0.0029549,0
0.0990592,0.00304619,0
0.100632,0.00313923,0
0.102204,0.0032341,0
0.103776,0.00333073,0
0.105349,0.00342907,0
0.106921,0.00352922,0
0.108493,0.00363115,0
0.110066,0.00373475,0
0.111638,0.00384016,0
0.113211,0.00394725,0
0.114783,0.00405612,0
0.116355,0.00416672,0
0.117928,0.00427897,0
0.1195,0.00439298,0
0.121072,0.00450869,0
0.122645,0.00462602,0
0.124217,0.00474512,0
0.125789,0.00486591,0
0.127362,0.0049883,0
0.128934,0.00511245,0
0.130507,0.00523818,0
0.132079,0.00536566,0
0.133651,0.00549478,0
0.135224,0.00562548,0
0.136796,0.00575789,0
0.138368,0.00589194,0
0.139941,0.00602752,0
0.141513,0.00616482,0
0.143086,0.00630365,0
0.144658,0.00644419,0
0.14623,0.00658635,0
0.147803,0.00673002,0
0.149375,0.00687538,0
0.150947,0.00702234,0
0.15252,0.00717079,0
0.154092,0.0073209,0
0.155665,0.00747249,0
0.157237,0.00762575,0
0.158809,0.00778056,0
0.160382,0.00793686,0
0.161954,0.00809482,0
0.163526,0.00825432,0
0.165099,0.00841529,0
0.166671,0.00857789,0
0.168243,0.00874203,0
0.169816,0.00890772,0
0.171388,0.00907618,0
0.172961,0.00924742,0
0.174533,0.00942162,0
0.176105,0.00959868,0
0.177678,0.00977849,0
0.17925,0.00996125,0
0.180822,0.0101468,0
0.182395,0.0103351,0
0.183967,0.0105263,0
0.18554,0.0107201,0
0.187112,0.0109169,0
0.188684,0.0111164,0
0.190257,0.0113185,0
0.191829,0.0115234,0
0.193401,0.0117311,0
0.194974,0.0119414,0
0.196546,0.0121545,0
0.198118,0.0123703,0
0.199691,0.0125887,0
0.201263,0.0128097,0
0.202836,0.0130333,0
0.204408,0.0132597,0
0.20598,0.0134887,0
0.207553,0.0137201,0
0.209125,0.0139542,0
0.210697,0.0141909,0
0.21227,0.01443,0
0.213842,0.0146717,0
0.215415,0.0149159,0
0.216987,0.0151629,0
0.218559,0.0154122,0
0.220132,0.015664,0
0.221704,0.0159184,0
0.223276,0.0161753,0
0.224849,0.0164345,0
0.226421,0.0166962,0
0.227993,0.0169606,0
0.229566,0.0172272,0
