# 20240731_151921
alpha,rRe,rIm
0,0,0
0.00157237,0.0196368,0
0.00314474,0.0392836,0
0.00471711,0.0589564,0
0.00628947,0.0786479,0
0.00786184,0.0983565,0
0.00943421,0.118081,0
0.0110066,0.13782,0
0.0125789,0.157572,0
0.0141513,0.177336,0
0.0157237,0.197111,0
0.0172961,0.216897,0
0.0188684,0.236692,0
0.0204408,0.256495,0
0.0220132,0.276306,0
0.0235855,0.296124,0
0.0251579,0.315948,0
0.0267303,0.335779,0
0.0283026,0.355615,0
0.029875,0.375455,0
0.0314474,0.3953,0
0.0330197,0.415149,0
0.0345921,0.435002,0
0.0361645,0.454858,0
0.0377368,0.474718,0
0.0393092,0.49458,0
0.0408816,0.514445,0
0.042454,0.534312,0
0.0440263,0.554182,0
0.0455987,0.574054,0
0.0471711,0.593928,0
0.0487434,0.613804,0
0.0503158,0.633682,0
0.0518882,0.653562,0
0.0534605,0.673444,0
0.0550329,0.693328,0
0.0566053,0.713214,0
0.0581776,0.733102,0
0.05975,0.752992,0
0.0613224,0.772884,0
0.0628947,0.792777,0
0.0644671,0.812673,0
0.0660395,0.832572,0
0.0676119,0.852472,0
0.0691842,0.872375,0
0.0707566,0.89228,0
0.072329,0.912188,0
0.0739013,0.932099,0
0.0754737,0.952012,0
0.0770461,0.971928,0
0.0786184,0.991847,0
0.0801908,1.01177,0
0.0817632,1.03169,0
0.0833355,1.05162,0
0.0849079,1.07156,0
0.0864803,1.09149,0
0.0880526,1.11143,0
0.089625,1.13137,0
0.0911974,1.15132,0
0.0927698,1.17127,0
0.0943421,1.19122,0
0.0959145,1.21118,0
0.0974869,1.23115,0
0.0990592,1.25111,0
0.100632,1.27109,0
0.102204,1.29106,0
0.103776,1.31104,0
0.105349,1.33103,0
0.106921,1.35102,0
0.108493,1.37101,0
0.110066,1.39101,0
0.111638,1.41102,0
0.113211,1.43103,0
0.114783,1.45105,0
0.116355,1.47107,0
0.117928,1.49109,0
0.1195,1.51113,0
0.121072,1.53116,0
0.122645,1.55121,0
0.124217,1.57126,0
0.125789,1.59131,0
0.127362,1.61137,0
0.128934,1.63144,0
0.130507,1.65151,0
0.132079,1.67159,0
0.133651,1.69167,0
0.135224,1.71176,0
0.136796,1.73186,0
0.138368,1.75196,0
0.139941,1.77207,0
0.141513,1.79218,0
0.143086,1.8123,0
0.144658,1.83243,0
0.14623,1.85256,0
0.147803,1.8727,0
0.149375,1.89285,0
0.150947,1.913,0
0.15252,1.93316,0
0.154092,1.95332,0
0.155665,1.97349,0
0.157237,1.99367,0
0.158809,2.01385,0
0.160382,2.03404,0
0.161954,2.05424,0
0.163526,2.07444,0
0.165099,2.09465,0
0.166671,2.11487,0
0.168243,2.13509,0
0.169816,2.15532,0
0.171388,2.17556,0
0.172961,2.1958,0
0.174533,2.21605,0
0.176105,2.2363,0
0.177678,2.25656,0
0.17925,2.27683,0
