# 20240801_100303
# initdata:	initial1.csv
# NpT:	200
# pTmax:	2
# epsabs:	0
# epsrel:	1e-06
# integr iter:	10000
pT,abs2Re,abs2Im
0,9.99814e+06,0
0.0100503,9.94772e+06,0
0.0201005,9.71158e+06,0
0.0301508,9.06415e+06,0
0.040201,7.74196e+06,0
0.0502513,5.63758e+06,0
0.0603015,3.03866e+06,0
0.0703518,767834,0
0.080402,38711,0
0.0904523,1.94881e+06,0
0.100503,6.77637e+06,0
0.110553,1.34867e+07,0
0.120603,1.98728e+07,0
0.130653,2.3445e+07,0
0.140704,2.26807e+07,0
0.150754,1.78964e+07,0
0.160804,1.11235e+07,0
0.170854,4.98423e+06,0
0.180905,1.26412e+06,0
0.190955,129888,0
0.201005,471412,0
0.211055,994129,0
0.221106,1.14395e+06,0
0.231156,1.18635e+06,0
0.241206,1.56072e+06,0
0.251256,2.24541e+06,0
0.261307,2.74152e+06,0
0.271357,2.59549e+06,0
0.281407,1.85491e+06,0
0.291457,997280,0
0.301508,464801,0
0.311558,316867,0
0.321608,310544,0
0.331658,232205,0
0.341709,89006.7,0
0.351759,7231.22,0
0.361809,33328.6,0
0.371859,89019.2,0
0.38191,92846.3,0
0.39196,61125.7,0
0.40201,65839.4,0
0.41206,127086,0
0.422111,186411,0
0.432161,183876,0
0.442211,129728,0
0.452261,84087.9,0
0.462312,82447.1,0
0.472362,102858,0
0.482412,104340,0
0.492462,77497.2,0
0.502513,47078,0
0.512563,35457.1,0
0.522613,38636.4,0
0.532663,38727.7,0
0.542714,28522.1,0
0.552764,16584.9,0
0.562814,12717.1,0
0.572864,16317.2,0
0.582915,20170.2,0
0.592965,20676.8,0
0.603015,20840.6,0
0.613065,24657.5,0
0.623116,31612.1,0
0.633166,37390.9,0
0.643216,38630.8,0
0.653266,35953,0
0.663317,32581.8,0
0.673367,30659.6,0
0.683417,29301,0
0.693467,26268.6,0
0.703518,21127.9,0
0.713568,16061.8,0
0.723618,13355.6,0
0.733668,12785.2,0
0.743719,12276.4,0
0.753769,10822.3,0
0.763819,9622.77,0
0.773869,10014.5,0
0.78392,11328.5,0
0.79397,11786.1,0
0.80402,11029.9,0
0.81407,10545.9,0
0.824121,11430,0
0.834171,12838.2,0
0.844221,13311.9,0
0.854271,12875.5,0
0.864322,12806.4,0
0.874372,13572.7,0
0.884422,14086.4,0
0.894472,13286.8,0
0.904523,11602.9,0
0.914573,10211,0
0.924623,9383.83,0
0.934673,8398.02,0
0.944724,6921.01,0
0.954774,5631.02,0
0.964824,5215.97,0
0.974874,5421.24,0
0.984925,5572.34,0
0.994975,5616.7,0
1.00503,6029.03,0
1.01508,6842.65,0
1.02513,7433.06,0
1.03518,7399.68,0
1.04523,7124.6,0
1.05528,7134.7,0
1.06533,7296.36,0
1.07538,7093.74,0
1.08543,6503.03,0
1.09548,6065.64,0
1.10553,6065.46,0
1.11558,6113.55,0
1.12563,5763.87,0
1.13568,5171.35,0
1.14573,4793.73,0
1.15578,4664.47,0
1.16583,4388.6,0
1.17588,3821.42,0
1.18593,3329.85,0
1.19598,3246.85,0
1.20603,3409.27,0
1.21608,3488.1,0
1.22613,3534.14,0
1.23618,3848.06,0
1.24623,4401.48,0
1.25628,4765.19,0
1.26633,4687.73,0
1.27638,4429.1,0
1.28643,4337.3,0
1.29648,4334.23,0
1.30653,4094.77,0
1.31658,3604.67,0
1.32663,3213.08,0
1.33668,3116.9,0
1.34673,3097.28,0
1.35678,2901.49,0
1.36683,2644.22,0
1.37688,2601.69,0
1.38693,2748.83,0
1.39698,2780.53,0
1.40704,2574.56,0
1.41709,2365.1,0
1.42714,2372.93,0
1.43719,2490.96,0
1.44724,2503.97,0
1.45729,2457.89,0
1.46734,2574.17,0
1.47739,2854.31,0
1.48744,3022.6,0
1.49749,2915.4,0
1.50754,2712.85,0
1.51759,2653.23,0
1.52764,2675.35,0
1.53769,2534.58,0
1.54774,2195.1,0
1.55779,1889.52,0
1.56784,1776.87,0
1.57789,1745.11,0
1.58794,1643.52,0
1.59799,1543.74,0
1.60804,1610.5,0
1.61809,1803.7,0
1.62814,1904.79,0
1.63819,1831.47,0
1.64824,1746.48,0
1.65829,1795.23,0
1.66834,1889.82,0
1.67839,1868.36,0
1.68844,1759.51,0
1.69849,1729.48,0
1.70854,1808.35,0
1.71859,1842.3,0
1.72864,1746.78,0
1.73869,1649.04,0
1.74874,1684.99,0
1.75879,1768.89,0
1.76884,1703.78,0
1.77889,1469.51,0
1.78894,1251.24,0
1.79899,1176.67,0
1.80905,1168.82,0
1.8191,1118.06,0
1.82915,1074.5,0
1.8392,1153.69,0
1.84925,1322.48,0
1.8593,1421.7,0
1.86935,1395.3,0
1.8794,1362.46,0
1.88945,1418.79,0
1.8995,1481.38,0
1.90955,1419.29,0
1.9196,1260.23,0
1.92965,1151.38,0
1.9397,1144.33,0
1.94975,1143.2,0
1.9598,1083.36,0
1.96985,1041.77,0
1.9799,1100.25,0
1.98995,1186.93,0
2,1160.28,0
