# 20240801_100303
alpha,tauRe,tauIm
0,13.0145,0
0.00314989,13.0139,0
0.00629978,13.0134,0
0.00944968,13.0129,0
0.0125996,13.0126,0
0.0157495,13.0122,0
0.0188994,13.012,0
0.0220492,13.0117,0
0.0251991,13.0115,0
0.028349,13.0113,0
0.0314989,13.0111,0
0.0346488,13.0108,0
0.0377987,13.0106,0
0.0409486,13.0104,0
0.0440985,13.0101,0
0.0472484,13.0098,0
0.0503983,13.0095,0
0.0535482,13.0092,0
0.0566981,13.0089,0
0.059848,13.0085,0
0.0629978,13.0081,0
0.0661477,13.0077,0
0.0692976,13.0072,0
0.0724475,13.0067,0
0.0755974,13.0062,0
0.0787473,13.0057,0
0.0818972,13.0051,0
0.0850471,13.0046,0
0.088197,13.004,0
0.0913469,13.0033,0
0.0944968,13.0027,0
0.0976467,13.002,0
0.100797,13.0012,0
0.103946,13.0005,0
0.107096,12.9997,0
0.110246,12.9989,0
0.113396,12.9981,0
0.116546,12.9972,0
0.119696,12.9964,0
0.122846,12.9954,0
0.125996,12.9945,0
0.129146,12.9935,0
0.132295,12.9925,0
0.135445,12.9915,0
0.138595,12.9904,0
0.141745,12.9893,0
0.144895,12.9881,0
0.148045,12.9869,0
0.151195,12.9857,0
0.154345,12.9844,0
0.157495,12.9831,0
0.160645,12.9818,0
0.163794,12.9804,0
0.166944,12.9789,0
0.170094,12.9775,0
0.173244,12.9759,0
0.176394,12.9743,0
0.179544,12.9727,0
0.182694,12.971,0
0.185844,12.9693,0
0.188994,12.9675,0
0.192143,12.9656,0
0.195293,12.9637,0
0.198443,12.9617,0
0.201593,12.9597,0
0.204743,12.9576,0
0.207893,12.9554,0
0.211043,12.9532,0
0.214193,12.9508,0
0.217343,12.9485,0
0.220492,12.946,0
0.223642,12.9435,0
0.226792,12.9409,0
0.229942,12.9382,0
0.233092,12.9355,0
0.236242,12.9326,0
0.239392,12.9297,0
0.242542,12.9267,0
0.245692,12.9236,0
0.248842,12.9204,0
0.251991,12.9171,0
0.255141,12.9137,0
0.258291,12.9103,0
0.261441,12.9067,0
0.264591,12.903,0
0.267741,12.8992,0
0.270891,12.8953,0
0.274041,12.8914,0
0.277191,12.8873,0
0.28034,12.883,0
0.28349,12.8787,0
0.28664,12.8742,0
0.28979,12.8697,0
0.29294,12.865,0
0.29609,12.8601,0
0.29924,12.8552,0
0.30239,12.8501,0
0.30554,12.8449,0
0.308689,12.8395,0
0.311839,12.834,0
0.314989,12.8284,0
0.318139,12.8226,0
0.321289,12.8166,0
0.324439,12.8105,0
0.327589,12.8043,0
0.330739,12.7979,0
0.333889,12.7913,0
0.337038,12.7846,0
0.340188,12.7777,0
0.343338,12.7706,0
0.346488,12.7634,0
0.349638,12.7559,0
0.352788,12.7483,0
0.355938,12.7406,0
0.359088,12.7326,0
0.362238,12.7244,0
0.365388,12.7161,0
0.368537,12.7076,0
0.371687,12.6988,0
0.374837,12.6899,0
0.377987,12.6807,0
0.381137,12.6714,0
0.384287,12.6618,0
0.387437,12.6521,0
0.390587,12.6421,0
0.393737,12.6319,0
0.396886,12.6215,0
0.400036,12.6108,0
0.403186,12.6,0
0.406336,12.5889,0
0.409486,12.5776,0
0.412636,12.566,0
0.415786,12.5542,0
0.418936,12.5422,0
0.422086,12.53,0
0.425235,12.5175,0
0.428385,12.5047,0
0.431535,12.4917,0
0.434685,12.4785,0
0.437835,12.465,0
0.440985,12.4513,0
0.444135,12.4373,0
0.447285,12.4231,0
0.450435,12.4086,0
0.453585,12.3938,0
0.456734,12.3788,0
0.459884,12.3635,0
0.463034,12.3479,0
0.466184,12.3321,0
0.469334,12.3161,0
0.472484,12.2997,0
0.475634,12.2831,0
0.478784,12.2662,0
0.481934,12.2491,0
0.485083,12.2316,0
0.488233,12.2139,0
0.491383,12.1959,0
0.494533,12.1777,0
0.497683,12.1591,0
0.500833,12.1403,0
0.503983,12.1212,0
0.507133,12.1018,0
0.510283,12.0822,0
0.513432,12.0622,0
0.516582,12.042,0
0.519732,12.0215,0
0.522882,12.0007,0
0.526032,11.9796,0
0.529182,11.9583,0
0.532332,11.9366,0
0.535482,11.9147,0
0.538632,11.8924,0
0.541781,11.8699,0
0.544931,11.8471,0
0.548081,11.824,0
0.551231,11.8006,0
0.554381,11.7769,0
0.557531,11.753,0
0.560681,11.7287,0
0.563831,11.7041,0
0.566981,11.6793,0
0.570131,11.6542,0
0.57328,11.6287,0
0.57643,11.603,0
0.57958,11.577,0
0.58273,11.5507,0
0.58588,11.5241,0
0.58903,11.4972,0
0.59218,11.4701,0
0.59533,11.4426,0
0.59848,11.4149,0
0.601629,11.3868,0
0.604779,11.3585,0
0.607929,11.3299,0
0.611079,11.3009,0
0.614229,11.2717,0
0.617379,11.2423,0
0.620529,11.2125,0
0.623679,11.1824,0
0.626829,11.1521,0
0.629978,11.1214,0
0.633128,11.0905,0
0.636278,11.0593,0
0.639428,11.0278,0
0.642578,10.9961,0
0.645728,10.964,0
0.648878,10.9317,0
0.652028,10.8991,0
0.655178,10.8662,0
0.658328,10.833,0
0.661477,10.7996,0
0.664627,10.7659,0
0.667777,10.7319,0
0.670927,10.6977,0
0.674077,10.6632,0
0.677227,10.6284,0
0.680377,10.5933,0
0.683527,10.558,0
0.686677,10.5224,0
0.689826,10.4866,0
0.692976,10.4505,0
0.696126,10.4141,0
0.699276,10.3775,0
0.702426,10.3406,0
0.705576,10.3035,0
0.708726,10.2662,0
0.711876,10.2285,0
0.715026,10.1907,0
0.718175,10.1526,0
0.721325,10.1142,0
0.724475,10.0757,0
0.727625,10.0369,0
0.730775,9.99782,0
0.733925,9.95854,0
0.737075,9.91904,0
0.740225,9.87931,0
0.743375,9.83937,0
0.746525,9.7992,0
0.749674,9.75882,0
0.752824,9.71822,0
0.755974,9.67741,0
0.759124,9.6364,0
0.762274,9.59518,0
0.765424,9.55377,0
0.768574,9.51215,0
0.771724,9.47034,0
0.774874,9.42834,0
0.778023,9.38615,0
0.781173,9.34377,0
0.784323,9.30121,0
0.787473,9.25848,0
0.790623,9.21557,0
0.793773,9.17249,0
0.796923,9.12924,0
0.800073,9.08583,0
0.803223,9.04226,0
0.806372,8.99854,0
0.809522,8.95466,0
0.812672,8.91063,0
0.815822,8.86646,0
0.818972,8.82215,0
0.822122,8.7777,0
0.825272,8.73312,0
0.828422,8.68841,0
0.831572,8.64357,0
0.834722,8.59862,0
0.837871,8.55355,0
0.841021,8.50837,0
0.844171,8.46308,0
0.847321,8.41768,0
0.850471,8.37219,0
0.853621,8.3266,0
0.856771,8.28093,0
0.859921,8.23517,0
0.863071,8.18932,0
0.86622,8.1434,0
0.86937,8.09741,0
0.87252,8.05135,0
0.87567,8.00523,0
0.87882,7.95905,0
0.88197,7.91282,0
0.88512,7.86654,0
0.88827,7.82022,0
0.89142,7.77385,0
0.894569,7.72745,0
0.897719,7.68103,0
0.900869,7.63458,0
0.904019,7.5881,0
0.907169,7.54162,0
0.910319,7.49512,0
0.913469,7.44862,0
0.916619,7.40212,0
0.919769,7.35562,0
0.922918,7.30913,0
0.926068,7.26266,0
0.929218,7.21621,0
0.932368,7.16978,0
0.935518,7.12337,0
0.938668,7.07701,0
0.941818,7.03068,0
0.944968,6.98439,0
0.948118,6.93815,0
0.951268,6.89196,0
0.954417,6.84583,0
0.957567,6.79976,0
0.960717,6.75376,0
0.963867,6.70783,0
0.967017,6.66197,0
0.970167,6.61619,0
0.973317,6.57049,0
0.976467,6.52489,0
0.979617,6.47937,0
0.982766,6.43395,0
0.985916,6.38863,0
0.989066,6.34341,0
0.992216,6.2983,0
