# 20240801_111153
alpha,f0Re,f0Im
0,0,0
0.0158666,1.27555,0.0567057
0.0317333,2.50016,0.222734
0.0475999,3.62534,0.486065
0.0634665,4.60733,0.827479
0.0793331,5.40918,1.22172
0.0951998,6.00248,1.63902
0.111066,6.36853,2.04694
0.126933,6.49917,2.41233
0.1428,6.39691,2.70336
0.158666,6.07461,2.89153
0.174533,5.5546,2.95343
0.1904,4.86735,2.87229
0.206266,4.04972,2.63907
0.222133,3.14297,2.25316
0.237999,2.19054,1.72266
0.253866,1.23584,1.06401
0.269733,0.320054,0.301316
0.285599,-0.519827,-0.53489
0.301466,-1.25272,-1.40917
0.317333,-1.85475,-2.28301
0.333199,-2.31017,-3.11685
0.349066,-2.61177,-3.87211
0.364932,-2.76079,-4.51323
0.380799,-2.76643,-5.0095
0.396666,-2.64492,-5.33665
0.412532,-2.4182,-5.47809
0.428399,-2.11243,-5.42572
0.444266,-1.7562,-5.18033
0.460132,-1.3788,-4.75148
0.475999,-1.00847,-4.15697
0.491866,-0.670784,-3.42189
0.507732,-0.387271,-2.5773
0.523599,-0.174329,-1.65863
0.539465,-0.0424923,-0.703907
0.555332,0.00393724,0.248125
0.571199,-0.0331345,1.15986
0.587065,-0.145983,1.99659
0.602932,-0.321787,2.72804
0.618799,-0.543628,3.32968
0.634665,-0.791697,3.78364
0.650532,-1.04463,4.07933
0.666398,-1.28091,4.21358
0.682265,-1.4802,4.19051
0.698132,-1.62457,4.02094
0.713998,-1.69958,3.72155
0.729865,-1.69509,3.31379
0.745732,-1.60579,2.82253
0.761598,-1.43146,2.27472
0.777465,-1.1769,1.69793
0.793332,-0.851578,1.11896
0.809198,-0.469049,0.562608
0.825065,-0.0461075,0.0505585
0.840931,0.398182,-0.399447
0.856798,0.843565,-0.774217
0.872665,1.26972,-1.06542
0.888531,1.65733,-1.26963
0.904398,1.98911,-1.38809
0.920265,2.25064,-1.42629
0.936131,2.43104,-1.39329
0.951998,2.52345,-1.30093
0.967864,2.52526,-1.16295
0.983731,2.43809,-0.994065
0.999598,2.26761,-0.809083
1.01546,2.02308,-0.62203
1.03133,1.71678,-0.445442
1.0472,1.36327,-0.289773
1.06306,0.978641,-0.16297
1.07893,0.579605,-0.0702332
1.0948,0.182712,-0.0139422
1.11066,-0.196446,0.00623597
1.12653,-0.543919,-0.0069045
1.1424,-0.847967,-0.0484885
1.15826,-1.09948,-0.112034
1.17413,-1.29225,-0.189985
1.19,-1.42306,-0.274272
1.20586,-1.49163,-0.356858
1.22173,-1.50046,-0.43025
1.2376,-1.45444,-0.487932
1.25346,-1.36049,-0.524721
1.26933,-1.22705,-0.537011
1.2852,-1.06355,-0.52291
1.30106,-0.87988,-0.482265
1.31693,-0.68589,-0.416581
1.3328,-0.490896,-0.328852
1.34866,-0.303292,-0.223309
1.36453,-0.130233,-0.105119
1.3804,0.0226011,0.0199638
1.39626,0.15113,0.145945
1.41213,0.252913,0.266938
1.428,0.327094,0.377487
1.44386,0.374277,0.472837
1.45973,0.39633,0.549157
1.4756,0.396143,0.603696
1.49146,0.377364,0.634864
1.50733,0.344114,0.642258
1.5232,0.30071,0.626609
1.53906,0.251408,0.589678
1.55493,0.200178,0.534109
1.5708,0.150515,0.463236
