# 20240807_185844
# initdata:	data/myinitdata.csv
# particle mass:	0.14
# NpT:	1000
# pTmax:	10
# epsabs:	0
# epsrel:	1e-06
# integr iter:	10000
pT,abs2Re,abs2Im
0,54648.5,0
0.01001,51517.5,0
0.02002,43100.2,0
0.03003,31854.5,0
0.04004,20613.7,0
0.0500501,11504.2,0
0.0600601,5419.73,0
0.0700701,2141.85,0
0.0800801,829.492,0
0.0900901,532.73,0
0.1001,532.509,0
0.11011,468.355,0
0.12012,291.708,0
0.13013,111.097,0
0.14014,23.6097,0
0.15015,28.5983,0
0.16016,56.3702,0
0.17017,52.1313,0
0.18018,21.5628,0
0.19019,2.74124,0
0.2002,12.1188,0
0.21021,29.4014,0
0.22022,29.2615,0
0.23023,12.8913,0
0.24024,1.90275,0
0.25025,8.68813,0
0.26026,22.8649,0
0.27027,27.0182,0
0.28028,17.5915,0
0.29029,5.47367,0
0.3003,0.347121,0
0.31031,1.14007,0
0.32032,1.98302,0
0.33033,1.6139,0
0.34034,3.09176,0
0.35035,6.88607,0
0.36036,8.9802,0
0.37037,6.48676,0
0.38038,1.97899,0
0.39039,0.28246,0
0.4004,2.49406,0
0.41041,5.26661,0
0.42042,5.48619,0
0.43043,3.57747,0
0.44044,1.77602,0
0.45045,0.93993,0
0.46046,0.407069,0
0.47047,0.0677883,0
0.48048,0.823179,0
0.49049,2.7931,0
0.500501,4.38995,0
0.510511,4.00068,0
0.520521,2.00008,0
0.530531,0.29971,0
0.540541,0.124559,0
0.550551,0.962911,0
0.560561,1.6824,0
0.570571,1.89108,0
0.580581,1.83411,0
0.590591,1.56002,0
0.600601,0.904906,0
0.610611,0.166053,0
0.620621,0.0980538,0
0.630631,0.979351,0
0.640641,2.07497,0
0.650651,2.37019,0
0.660661,1.66638,0
0.670671,0.664163,0
0.680681,0.085427,0
0.690691,0.0557681,0
0.700701,0.341382,0
0.710711,0.786558,0
0.720721,1.27394,0
0.730731,1.50281,0
0.740741,1.188,0
0.750751,0.499415,0
0.760761,0.0291201,0
0.770771,0.186935,0
0.780781,0.763255,0
0.790791,1.20065,0
0.800801,1.18456,0
0.810811,0.835482,0
0.820821,0.423693,0
0.830831,0.114662,0
0.840841,0.00935969,0
0.850851,0.20796,0
0.860861,0.666264,0
0.870871,1.0807,0
0.880881,1.10246,0
0.890891,0.700142,0
0.900901,0.211357,0
0.910911,0.000532608,0
0.920921,0.136765,0
0.930931,0.428961,0
0.940941,0.670575,0
0.950951,0.760712,0
0.960961,0.661048,0
0.970971,0.390089,0
0.980981,0.0948121,0
0.990991,0.0097956,0
1.001,0.24167,0
1.01101,0.619023,0
1.02102,0.830174,0
1.03103,0.717372,0
1.04104,0.397099,0
1.05105,0.107512,0
1.06106,0.00153153,0
1.07107,0.092978,0
1.08108,0.314239,0
1.09109,0.550157,0
1.1011,0.654037,0
1.11111,0.532649,0
1.12112,0.255528,0
1.13113,0.0321363,0
1.14114,0.0315655,0
1.15115,0.229946,0
1.16116,0.451863,0
1.17117,0.540446,0
1.18118,0.463202,0
1.19119,0.284248,0
1.2012,0.0981318,0
1.21121,0.00207299,0
1.22122,0.0678187,0
1.23123,0.276909,0
1.24124,0.4924,0
1.25125,0.549188,0
1.26126,0.400739,0
1.27127,0.164516,0
1.28128,0.0131451,0
1.29129,0.0314674,0
1.3013,0.176746,0
1.31131,0.342066,0
1.32132,0.430008,0
1.33133,0.389585,0
1.34134,0.237859,0
1.35135,0.0676578,0
1.36136,0.000799276,0
1.37137,0.0915794,0
1.38138,0.269732,0
1.39139,0.395796,0
1.4014,0.380365,0
1.41141,0.247413,0
1.42142,0.0933978,0
1.43143,0.00673196,0
1.44144,0.0248679,0
1.45145,0.132807,0
1.46146,0.270423,0
1.47147,0.351168,0
1.48148,0.313336,0
1.49149,0.176846,0
1.5015,0.0402457,0
1.51151,0.00300637,0
1.52152,0.0842624,0
1.53153,0.215766,0
1.54154,0.304783,0
1.55155,0.298779,0
1.56156,0.206251,0
1.57157,0.0830883,0
1.58158,0.00500793,0
1.59159,0.0272657,0
1.6016,0.141543,0
1.61161,0.26914,0
1.62162,0.315467,0
1.63163,0.246915,0
1.64164,0.117072,0
1.65165,0.0179005,0
1.66166,0.00754095,0
1.67167,0.0789457,0
1.68168,0.179428,0
1.69169,0.247423,0
1.7017,0.241888,0
1.71171,0.163173,0
1.72172,0.0594074,0
1.73173,0.00139545,0
1.74174,0.0312384,0
1.75175,0.126511,0
1.76176,0.217087,0
1.77177,0.240643,0
1.78178,0.185842,0
1.79179,0.0917334,0
1.8018,0.0165526,0
1.81181,0.00466262,0
1.82182,0.064505,0
1.83183,0.160727,0
1.84184,0.229767,0
1.85185,0.22131,0
1.86186,0.139222,0
1.87187,0.0426431,0
1.88188,7.82031e-05,0
1.89189,0.0364971,0
1.9019,0.119422,0
1.91191,0.189356,0
1.92192,0.202008,0
1.93193,0.151784,0
1.94194,0.0706272,0
1.95195,0.00935829,0
1.96196,0.00818209,0
1.97197,0.0687508,0
1.98198,0.149119,0
1.99199,0.192314,0
2.002,0.168874,0
2.01201,0.0972807,0
2.02202,0.0265935,0
2.03203,0.000237979,0
2.04204,0.030645,0
2.05205,0.0966091,0
2.06206,0.157095,0
2.07207,0.173312,0
2.08208,0.132494,0
2.09209,0.0602037,0
2.1021,0.00650025,0
2.11211,0.00995369,0
2.12212,0.0674656,0
2.13213,0.136814,0
2.14214,0.169459,0
2.15215,0.144928,0
2.16216,0.0813951,0
2.17217,0.0204544,0
2.18218,0.000508073,0
2.19219,0.0339287,0
2.2022,0.0986634,0
2.21221,0.150747,0
2.22222,0.153688,0
2.23223,0.10533,0
2.24224,0.0398473,0
2.25225,0.00179186,0
2.26226,0.0138306,0
2.27227,0.0637046,0
2.28228,0.11654,0
2.29229,0.138734,0
2.3023,0.116986,0
2.31231,0.0648052,0
2.32232,0.0151411,0
2.33233,0.000991348,0
2.34234,0.0329659,0
2.35235,0.0898286,0
2.36236,0.132233,0
2.37237,0.13102,0
2.38238,0.0878147,0
2.39239,0.0324136,0
2.4024,0.00117759,0
2.41241,0.0134376,0
2.42242,0.0603888,0
2.43243,0.111047,0
2.44244,0.13149,0
2.45245,0.107231,0
2.46246,0.0543563,0
2.47247,0.00939584,0
2.48248,0.00315147,0
2.49249,0.0382822,0
2.5025,0.0884833,0
2.51251,0.118795,0
2.52252,0.109857,0
2.53253,0.0688339,0
2.54254,0.0225867,0
2.55255,0.000209862,0
2.56256,0.0154619,0
2.57257,0.0581248,0
2.58258,0.099801,0
2.59259,0.112285,0
2.6026,0.0870483,0
2.61261,0.0413705,0
2.62262,0.00597544,0
2.63263,0.00367124,0
2.64264,0.0347305,0
2.65265,0.0780113,0
2.66266,0.105167,0
2.67267,0.0983992,0
2.68268,0.0617644,0
2.69269,0.0193559,0
2.7027,4.33319e-05,0
2.71271,0.017473,0
2.72272,0.0596181,0
2.73273,0.0968971,0
2.74274,0.103484,0
2.75275,0.0754692,0
2.76276,0.0325023,0
2.77277,0.0031576,0
2.78278,0.00572459,0
2.79279,0.0371663,0
2.8028,0.0759679,0
2.81281,0.0962213,0
2.82282,0.0844023,0
2.83283,0.0484171,0
2.84284,0.012415,0
2.85285,0.000244708,0
2.86286,0.0191304,0
2.87287,0.0553212,0
2.88288,0.0842367,0
2.89289,0.0870519,0
2.9029,0.0623478,0
2.91291,0.0262833,0
2.92292,0.00219437,0
2.93293,0.00592588,0
2.94294,0.0353584,0
2.95295,0.0710528,0
2.96296,0.0887925,0
2.97297,0.0762941,0
2.98298,0.0420898,0
2.99299,0.00960709,0
3.003,0.000677681,0
3.01301,0.0206207,0
3.02302,0.0552291,0
3.03303,0.0809337,0
3.04304,0.0805821,0
3.05305,0.054557,0
3.06306,0.0203248,0
3.07307,0.000733769,0
3.08308,0.00857552,0
3.09309,0.037875,0
3.1031,0.0681882,0
3.11311,0.0789116,0
3.12312,0.0632433,0
3.13313,0.0320783,0
3.14314,0.00594858,0
3.15315,0.00136298,0
3.16316,0.0205923,0
3.17317,0.0507058,0
3.18318,0.0719056,0
3.19319,0.0701408,0
3.2032,0.0463943,0
3.21321,0.0164071,0
3.22322,0.000332477,0
3.23323,0.00897632,0
3.24324,0.0363055,0
3.25325,0.0636621,0
3.26326,0.0726091,0
3.27327,0.0572816,0
3.28328,0.028053,0
3.29329,0.00443363,0
3.3033,0.00211839,0
