# 20240809_111159
alpha,Df0Re,Df0Im
0,0.088076,-0.0698928
0.01,0.0883652,-0.0700818
0.02,0.0885308,-0.0701361
0.03,0.0886725,-0.0701371
0.04,0.0888404,-0.0701255
0.05,0.0890558,-0.0701181
0.06,0.0893246,-0.070119
0.07,0.0896457,-0.0701262
0.08,0.0900157,-0.070136
0.09,0.0904317,-0.070145
0.1,0.0908922,-0.0701507
0.11,0.091397,-0.0701519
0.12,0.0919474,-0.070148
0.13,0.0925454,-0.0701393
0.14,0.0931932,-0.0701258
0.15,0.0938932,-0.0701076
0.16,0.0946473,-0.0700842
0.17,0.0954572,-0.0700543
0.18,0.0963238,-0.0700165
0.19,0.097248,-0.0699684
0.2,0.0982302,-0.0699074
0.21,0.0992706,-0.0698307
0.22,0.10037,-0.0697351
0.23,0.101527,-0.0696171
0.24,0.102745,-0.0694734
0.25,0.104022,-0.0693006
0.26,0.10536,-0.0690951
0.27,0.10676,-0.0688532
0.28,0.108223,-0.068571
0.29,0.10975,-0.0682446
0.3,0.111341,-0.0678694
0.31,0.112996,-0.0674407
0.32,0.114717,-0.0669535
0.33,0.116502,-0.0664022
0.34,0.118349,-0.0657808
0.35,0.120258,-0.065083
0.36,0.122225,-0.0643021
0.37,0.124248,-0.0634312
0.38,0.126323,-0.0624632
0.39,0.128444,-0.0613908
0.4,0.130607,-0.0602068
0.41,0.132806,-0.0589041
0.42,0.135035,-0.0574758
0.43,0.137286,-0.0559151
0.44,0.139552,-0.0542157
0.45,0.141825,-0.0523718
0.46,0.144098,-0.0503779
0.47,0.14636,-0.048229
0.48,0.148603,-0.0459207
0.49,0.150817,-0.0434493
0.5,0.152991,-0.0408115
0.51,0.155114,-0.0380051
0.52,0.157174,-0.0350283
0.53,0.159159,-0.0318802
0.54,0.161056,-0.028561
0.55,0.162851,-0.0250718
0.56,0.164529,-0.0214147
0.57,0.166076,-0.0175932
0.58,0.167476,-0.0136121
0.59,0.168715,-0.00947745
0.6,0.169777,-0.005197
0.61,0.170647,-0.000779896
0.62,0.171311,0.00376312
0.63,0.171754,0.00841976
0.64,0.171965,0.0131762
0.65,0.17193,0.0180171
0.66,0.17164,0.0229257
0.67,0.171085,0.0278842
0.68,0.170258,0.0328733
0.69,0.169154,0.037873
0.7,0.167766,0.042862
0.71,0.166094,0.0478186
0.72,0.164136,0.0527204
0.73,0.161893,0.0575444
0.74,0.159368,0.0622673
0.75,0.156564,0.0668657
0.76,0.153488,0.0713162
0.77,0.150148,0.0755954
0.78,0.146553,0.0796805
0.79,0.142716,0.0835493
0.8,0.13865,0.0871806
0.81,0.134371,0.0905545
0.82,0.129898,0.0936529
0.83,0.12525,0.0964598
0.84,0.120451,0.0989617
0.85,0.115523,0.101148
0.86,0.110494,0.103011
0.87,0.105389,0.104547
0.88,0.100236,0.105755
0.89,0.0950638,0.106638
0.9,0.0898985,0.107203
0.91,0.0847673,0.107459
0.92,0.0796955,0.107419
0.93,0.0747065,0.107097
0.94,0.0698218,0.106512
0.95,0.0650604,0.10568
0.96,0.0604387,0.104623
0.97,0.0559704,0.103358
0.98,0.0516668,0.101907
0.99,0.0475366,0.100289
1,0.0435863,0.0985243
1.01,0.0398202,0.0966316
1.02,0.0362409,0.0946298
1.03,0.0328494,0.0925375
1.04,0.0296449,0.0903727
1.05,0.0266257,0.0881528
1.06,0.0237886,0.085895
1.07,0.0211294,0.0836154
1.08,0.018643,0.0813293
1.09,0.016323,0.0790505
1.1,0.0141626,0.0767909
1.11,0.0121542,0.0745606
1.12,0.0102896,0.0723671
1.13,0.00856075,0.0702157
1.14,0.00695925,0.0681094
1.15,0.00547708,0.0660494
1.16,0.00410658,0.0640355
1.17,0.00284059,0.0620672
1.18,0.00167243,0.060144
1.19,0.000595879,0.0582667
1.2,-0.000394985,0.0564376
1.21,-0.00130596,0.0546605
1.22,-0.00214287,0.052941
1.23,-0.00291164,0.0512856
1.24,-0.00361834,0.0497004
1.25,-0.00426902,0.04819
1.26,-0.00486943,0.0467562
1.27,-0.00542473,0.0453971
1.28,-0.00593912,0.0441062
1.29,-0.00641562,0.0428736
1.3,-0.00685604,0.0416866
1.31,-0.00726122,0.0405323
1.32,-0.00763159,0.0394004
1.33,-0.00796793,0.0382853
1.34,-0.00827217,0.0371888
1.35,-0.00854806,0.0361196
1.36,-0.00880133,0.0350931
1.37,-0.00903925,0.034127
1.38,-0.00926958,0.0332376
1.39,-0.00949902,0.0324349
1.4,-0.00973192,0.0317195
1.41,-0.00996974,0.0310834
1.42,-0.0102122,0.0305149
1.43,-0.0104604,0.030008
1.44,-0.0107214,0.0295742
1.45,-0.0110126,0.0292508
1.46,-0.0113639,0.0291013
1.47,-0.0118136,0.0292014
1.48,-0.0123974,0.0296102
1.49,-0.0131332,0.0303381
1.5,-0.0140116,0.031332
1.51,-0.0150079,0.0325131
1.52,-0.0161341,0.0338875
1.53,-0.017525,0.035711
1.54,-0.0195121,0.0385981
1.55,-0.0225956,0.0434169
1.56,-0.0273394,0.0510559
1.57,-0.0349583,0.0634871
1.58,-0.0520303,0.0919741
