# 20240809_112250
alpha,field0Re,field0Im
0,-0.0206577,0.0604671
0.00157237,-0.0206603,0.0604662
0.00314474,-0.0206627,0.0604654
0.00471711,-0.0206651,0.0604646
0.00628947,-0.0206676,0.0604637
0.00786184,-0.0206704,0.0604628
0.00943421,-0.0206735,0.0604617
0.0110066,-0.0206771,0.0604605
0.0125789,-0.0206813,0.060459
0.0141513,-0.0206861,0.0604574
0.0157237,-0.0206913,0.0604556
0.0172961,-0.0206969,0.0604537
0.0188684,-0.0207027,0.0604517
0.0204408,-0.0207087,0.0604496
0.0220132,-0.0207151,0.0604474
0.0235855,-0.020722,0.0604451
0.0251579,-0.0207293,0.0604426
0.0267303,-0.0207369,0.06044
0.0283026,-0.0207448,0.0604373
0.029875,-0.020753,0.0604345
0.0314474,-0.0207614,0.0604316
0.0330197,-0.0207703,0.0604285
0.0345921,-0.0207796,0.0604253
0.0361645,-0.0207893,0.060422
0.0377368,-0.0207993,0.0604185
0.0393092,-0.0208095,0.060415
0.0408816,-0.02082,0.0604114
0.042454,-0.0208309,0.0604076
0.0440263,-0.0208423,0.0604037
0.0455987,-0.0208539,0.0603997
0.0471711,-0.0208659,0.0603956
0.0487434,-0.0208783,0.0603913
0.0503158,-0.0208908,0.0603869
0.0518882,-0.0209038,0.0603825
0.0534605,-0.0209171,0.0603778
0.0550329,-0.0209309,0.0603731
0.0566053,-0.0209449,0.0603682
0.0581776,-0.0209593,0.0603632
0.05975,-0.020974,0.0603581
0.0613224,-0.020989,0.0603529
0.0628947,-0.0210044,0.0603475
0.0644671,-0.0210202,0.060342
0.0660395,-0.0210363,0.0603364
0.0676119,-0.0210528,0.0603307
0.0691842,-0.0210696,0.0603248
0.0707566,-0.0210867,0.0603188
0.072329,-0.0211042,0.0603127
0.0739013,-0.0211221,0.0603064
0.0754737,-0.0211404,0.0603
0.0770461,-0.021159,0.0602935
0.0786184,-0.0211779,0.0602869
0.0801908,-0.0211972,0.0602801
0.0817632,-0.0212168,0.0602732
0.0833355,-0.0212368,0.0602661
0.0849079,-0.0212572,0.0602589
0.0864803,-0.021278,0.0602516
0.0880526,-0.0212991,0.0602441
0.089625,-0.0213206,0.0602366
0.0911974,-0.0213424,0.0602288
0.0927698,-0.0213645,0.060221
0.0943421,-0.0213871,0.060213
