# 20240809_112445
# initdata:	data/init_piplus/init21.csv
# particle mass:	0.14
# NpT:	200
# pTmax:	2
# epsabs:	0
# epsrel:	1e-05
# integr iter:	10000
pT,abs2Re,abs2Im
0,59379,0
0.0100503,55520.6,0
0.0201005,45332.2,0
0.0301508,32213.6,0
0.040201,19836.4,0
0.0502513,10583.3,0
0.0603015,5015.4,0
0.0703518,2359.31,0
0.080402,1388.34,0
0.0904523,1086.53,0
0.100503,890.773,0
0.110553,633.722,0
0.120603,371.336,0
0.130653,204.413,0
0.140704,158.448,0
0.150754,168.018,0
0.160804,152.522,0
0.170854,95.1678,0
0.180905,42.407,0
0.190955,35.6293,0
0.201005,61.7929,0
0.211055,76.3166,0
0.221106,59.1675,0
0.231156,31.9941,0
0.241206,22.9583,0
0.251256,31.5015,0
0.261307,35.6702,0
0.271357,24.1607,0
0.281407,8.14706,0
0.291457,2.39513,0
0.301508,6.16879,0
0.311558,8.33839,0
0.321608,4.6749,0
0.331658,1.8018,0
0.341709,5.20028,0
0.351759,10.799,0
0.361809,11.3559,0
0.371859,6.60143,0
0.38191,2.61184,0
0.39196,2.89344,0
0.40201,4.5457,0
0.41206,3.70252,0
0.422111,1.08137,0
0.432161,0.0179137,0
0.442211,1.18697,0
0.452261,2.11027,0
0.462312,1.34835,0
0.472362,0.523796,0
0.482412,1.45935,0
0.492462,3.23559,0
0.502513,3.54758,0
0.512563,1.99862,0
0.522613,0.431627,0
0.532663,0.207343,0
0.542714,0.644264,0
0.552764,0.551431,0
0.562814,0.0973152,0
0.572864,0.246226,0
0.582915,1.00817,0
0.592965,1.3626,0
0.603015,0.850615,0
0.613065,0.272624,0
0.623116,0.470529,0
0.633166,1.1161,0
0.643216,1.26505,0
0.653266,0.710976,0
0.663317,0.137441,0
0.673367,0.0419916,0
0.683417,0.155356,0
0.693467,0.0869337,0
0.703518,0.00647925,0
0.713568,0.289297,0
0.723618,0.788012,0
0.733668,0.943819,0
0.743719,0.576131,0
0.753769,0.139618,0
0.763819,0.0858217,0
0.773869,0.299192,0
0.78392,0.378917,0
0.79397,0.240973,0
0.80402,0.140478,0
0.81407,0.196223,0
0.824121,0.224737,0
0.834171,0.101933,0
0.844221,0.0148976,0
0.854271,0.179191,0
0.864322,0.472321,0
0.874372,0.564989,0
0.884422,0.359779,0
0.894472,0.0949338,0
0.904523,0.000610834,0
0.914573,0.0388577,0
0.924623,0.0622926,0
0.934673,0.0710009,0
0.944724,0.160044,0
0.954774,0.292813,0
0.964824,0.307388,0
0.974874,0.162314,0
0.984925,0.0286019,0
0.994975,0.0676168,0
1.00503,0.216807,0
1.01508,0.288014,0
1.02513,0.216299,0
1.03518,0.105346,0
1.04523,0.0492719,0
1.05528,0.0277455,0
1.06533,0.00433721,0
1.07538,0.0234934,0
1.08543,0.131356,0
1.09548,0.258031,0
1.10553,0.274251,0
1.11558,0.15911,0
1.12563,0.0328565,0
1.13568,0.00535961,0
1.14573,0.0566437,0
1.15578,0.100594,0
1.16583,0.109326,0
1.17588,0.115112,0
1.18593,0.121969,0
1.19598,0.0922952,0
1.20603,0.0289599,0
1.21608,0.00431444,0
1.22613,0.0690646,0
1.23618,0.170622,0
1.24623,0.207727,0
1.25628,0.149943,0
1.26633,0.0608581,0
1.27638,0.00935067,0
1.28643,0.00336882,0
1.29648,0.0205292,0
1.30653,0.0572084,0
1.31658,0.112504,0
1.32663,0.150912,0
1.33668,0.128547,0
1.34673,0.0571528,0
1.35678,0.00513969,0
1.36683,0.0203738,0
1.37688,0.0765808,0
1.38693,0.112608,0
1.39698,0.103983,0
1.40704,0.0728119,0
1.41709,0.0425456,0
1.42714,0.0162456,0
1.43719,0.000458249,0
1.44724,0.0168227,0
1.45729,0.0698907,0
1.46734,0.121981,0
1.47739,0.125461,0
1.48744,0.0770021,0
1.49749,0.0211857,0
1.50754,6.80801e-06,0
1.51759,0.0155615,0
1.52764,0.0448979,0
1.53769,0.0711214,0
1.54774,0.0865825,0
1.55779,0.0809047,0
1.56784,0.0491743,0
1.57789,0.0113379,0
1.58794,0.0028871,0
1.59799,0.0363858,0
1.60804,0.0828056,0
1.61809,0.100886,0
1.62814,0.0789533,0
1.63819,0.0395818,0
1.64824,0.00996458,0
1.65829,0.000667433,0
1.66834,0.0109224,0
1.67839,0.0373969,0
1.68844,0.0689277,0
1.69849,0.0837742,0
1.70854,0.0668557,0
1.71859,0.0295606,0
1.72864,0.0025428,0
1.73869,0.00588089,0
1.74874,0.0317374,0
1.75879,0.0572049,0
1.76884,0.0666861,0
1.77889,0.0582916,0
1.78894,0.0371101,0
1.79899,0.0126079,0
1.80905,3.06131e-05,0
1.8191,0.012354,0
1.82915,0.0448709,0
1.8392,0.0734093,0
1.84925,0.0747802,0
1.8593,0.0486642,0
1.86935,0.0164888,0
1.8794,0.000407471,0
1.88945,0.00687326,0
1.8995,0.0277178,0
1.90955,0.0496258,0
1.9196,0.0602735,0
1.92965,0.0522938,0
1.9397,0.0290511,0
1.94975,0.0061262,0
1.9598,0.00094353,0
1.96985,0.0174134,0
1.9799,0.041995,0
1.98995,0.0560309,0
2,0.0509434,0
