# 20240809_112445
# initdata:	data/init_piplus/init21.csv
# particle mass:	0.14
# NpT:	200
# pTmax:	2
# epsabs:	0
# epsrel:	1e-05
# integr iter:	10000
pT,abs2Re,abs2Im
0,5385.18,0
0.0100503,5265.91,0
0.0201005,4930.49,0
0.0301508,4426.47,0
0.040201,3792.26,0
0.0502513,3052.17,0
0.0603015,2251.07,0
0.0703518,1486.42,0
0.080402,887.09,0
0.0904523,538.755,0
0.100503,418.174,0
0.110553,405.228,0
0.120603,372.911,0
0.130653,277.144,0
0.140704,164.999,0
0.150754,101.673,0
0.160804,97.471,0
0.170854,107.238,0
0.180905,89.125,0
0.190955,48.0188,0
0.201005,18.3433,0
0.211055,17.379,0
0.221106,28.679,0
0.231156,28.8726,0
0.241206,16.9033,0
0.251256,9.5262,0
0.261307,15.349,0
0.271357,24.3151,0
0.281407,23.308,0
0.291457,13.2458,0
0.301508,5.41337,0
0.311558,5.47172,0
0.321608,7.98167,0
0.331658,6.33849,0
0.341709,1.91456,0
0.351759,0.41927,0
0.361809,2.94721,0
0.371859,5.06137,0
0.38191,3.84186,0
0.39196,1.73054,0
0.40201,2.20649,0
0.41206,4.55647,0
0.422111,5.26075,0
0.432161,3.17544,0
0.442211,0.768512,0
0.452261,0.290661,0
0.462312,0.976522,0
0.472362,0.931129,0
0.482412,0.164989,0
0.492462,0.202231,0
0.502513,1.38324,0
0.512563,2.23745,0
0.522613,1.70627,0
0.532663,0.655751,0
0.542714,0.499775,0
0.552764,1.1856,0
0.562814,1.48346,0
0.572864,0.875101,0
0.582915,0.149895,0
0.592965,0.0707912,0
0.603015,0.334771,0
0.613065,0.285949,0
0.623116,0.0378696,0
0.633166,0.220511,0
0.643216,0.867331,0
0.653266,1.25224,0
0.663317,0.914225,0
0.673367,0.29107,0
0.683417,0.0604664,0
0.693467,0.244743,0
0.703518,0.35581,0
0.713568,0.204114,0
0.723618,0.0978647,0
0.733668,0.245681,0
0.743719,0.399782,0
0.753769,0.283605,0
0.763819,0.0689264,0
0.773869,0.128119,0
0.78392,0.455346,0
0.79397,0.65108,0
0.80402,0.478533,0
0.81407,0.156625,0
0.824121,0.00699075,0
0.834171,0.0385763,0
0.844221,0.0562352,0
0.854271,0.0282324,0
0.864322,0.104627,0
0.874372,0.302815,0
0.884422,0.411422,0
0.894472,0.286875,0
0.904523,0.0791621,0
0.914573,0.0321944,0
0.924623,0.157703,0
0.934673,0.254473,0
0.944724,0.207837,0
0.954774,0.112655,0
0.964824,0.081734,0
0.974874,0.0808276,0
0.984925,0.0364014,0
0.994975,0.00115718,0
1.00503,0.0845961,0
1.01508,0.255579,0
1.02513,0.341914,0
1.03518,0.249523,0
1.04523,0.0832885,0
1.05528,0.0021542,0
1.06533,0.0289557,0
1.07538,0.0728306,0
1.08543,0.0866115,0
1.09548,0.106478,0
1.10553,0.145208,0
1.11558,0.144772,0
1.12563,0.0747236,0
1.13568,0.00845095,0
1.14573,0.0368856,0
1.15578,0.138657,0
1.16583,0.201286,0
1.17588,0.164133,0
1.18593,0.0799672,0
1.19598,0.0255751,0
1.20603,0.010345,0
1.21608,0.00636758,0
1.22613,0.0208162,0
1.23618,0.0797904,0
1.24623,0.156308,0
1.25628,0.176203,0
1.26633,0.111938,0
1.27638,0.0277604,0
1.28643,0.00425886,0
1.29648,0.0456397,0
1.30653,0.0919817,0
1.31658,0.102779,0
1.32663,0.0892627,0
1.33668,0.0705728,0
1.34673,0.0431065,0
1.35678,0.00969918,0
1.36683,0.00366104,0
1.37688,0.0501914,0
1.38693,0.118111,0
1.39698,0.143589,0
1.40704,0.103351,0
1.41709,0.0389683,0
1.42714,0.00306675,0
1.43719,0.00542234,0
1.44724,0.0242324,0
1.45729,0.0468577,0
1.46734,0.0734825,0
1.47739,0.0913852,0
1.48744,0.0775966,0
1.49749,0.0349353,0
1.50754,0.00250509,0
1.51759,0.0141096,0
1.52764,0.0575313,0
1.53769,0.0899582,0
1.54774,0.0866008,0
1.55779,0.0587271,0
1.56784,0.02864,0
1.57789,0.00727616,0
1.58794,0.00074963,0
1.59799,0.0186081,0
1.60804,0.0589502,0
1.61809,0.0946224,0
1.62814,0.0934787,0
1.63819,0.0547636,0
1.64824,0.0128197,0
1.65829,0.000619437,0
1.66834,0.0187786,0
1.67839,0.044596,0
1.68844,0.0602679,0
1.69849,0.0621816,0
1.70854,0.0507765,0
1.71859,0.0277174,0
1.72864,0.00495489,0
1.73869,0.00245016,0
1.74874,0.0272549,0
1.75879,0.0606144,0
1.76884,0.0744188,0
1.77889,0.0591622,0
1.78894,0.0298056,0
1.79899,0.00700325,0
1.80905,0.000548291,0
1.8191,0.0103997,0
1.82915,0.0325129,0
1.8392,0.0568131,0
1.84925,0.0666701,0
1.8593,0.0516121,0
1.86935,0.0216074,0
1.8794,0.00138206,0
1.88945,0.00695991,0
1.8995,0.030967,0
1.90955,0.0524695,0
1.9196,0.0569956,0
1.92965,0.0445626,0
1.9397,0.0238355,0
1.94975,0.00562095,0
1.9598,0.000431647,0
1.96985,0.0136147,0
1.9799,0.0381315,0
1.98995,0.0561576,0
2,0.0534384,0
