# 20240821_184504
# initdata:	data/init_20240821_184247/init6.csv
# particle mass:	0.14
# NpT:	100
# pTmax:	1
# epsabs:	0
# epsrel:	1e-05
# integr iter:	10000
pT,abs2Re,abs2Im
0,61713.8,0
0.010101,58229,0
0.020202,48850.1,0
0.030303,36289.8,0
0.040404,23684.6,0
0.0505051,13405.7,0
0.0606061,6475.96,0
0.0707071,2690.23,0
0.0808081,1138.64,0
0.0909091,762.158,0
0.10101,735.046,0
0.111111,630.745,0
0.121212,392.056,0
0.131313,157.106,0
0.141414,48.4779,0
0.151515,59.2278,0
0.161616,92.3873,0
0.171717,76.8235,0
0.181818,27.4055,0
0.191919,0.331557,0
0.20202,15.6169,0
0.212121,40.4418,0
0.222222,39.1354,0
0.232323,16.6803,0
0.242424,4.44744,0
0.252525,16.2248,0
0.262626,33.8274,0
0.272727,34.4416,0
0.282828,18.3615,0
0.292929,3.39843,0
0.30303,0.197523,0
0.313131,3.01834,0
0.323232,3.08552,0
0.333333,1.24004,0
0.343434,3.29185,0
0.353535,8.77562,0
0.363636,10.9575,0
0.373737,6.85056,0
0.383838,1.5791,0
0.393939,1.19831,0
0.40404,4.93167,0
0.414141,7.26628,0
0.424242,5.59995,0
0.434343,2.52063,0
0.444444,1.04881,0
0.454545,0.880854,0
0.464646,0.417541,0
0.474747,0.0936661,0
0.484848,1.50275,0
0.494949,4.16786,0
0.505051,5.44212,0
0.515152,3.90602,0
0.525253,1.25321,0
0.535354,0.0493428,0
0.545455,0.710434,0
0.555556,1.68528,0
0.565657,1.89936,0
0.575758,1.73075,0
0.585859,1.68883,0
0.59596,1.42902,0
0.606061,0.636869,0
0.616162,0.0230537,0
0.626263,0.546576,0
0.636364,1.93837,0
0.646465,2.81746,0
0.656566,2.33504,0
0.666667,1.08675,0
0.676768,0.194434,0
0.686869,0.0340643,0
0.69697,0.24712,0
0.707071,0.577343,0
0.717172,1.07621,0
0.727273,1.57114,0
0.737374,1.55997,0
0.747475,0.888919,0
0.757576,0.157678,0
0.767677,0.0960332,0
0.777778,0.698188,0
0.787879,1.28252,0
0.79798,1.32915,0
0.808081,0.946803,0
0.818182,0.511442,0
0.828283,0.194653,0
0.838384,0.0204091,0
0.848485,0.113711,0
0.858586,0.567102,0
0.868687,1.12405,0
0.878788,1.29926,0
0.888889,0.910426,0
0.89899,0.313966,0
0.909091,0.00686811,0
0.919192,0.121356,0
0.929293,0.42026,0
0.939394,0.659115,0
0.949495,0.766382,0
0.959596,0.7199,0
0.969697,0.483047,0
0.979798,0.152291,0
0.989899,0.00375271,0
1,0.22854,0
