# 20240823_140719
alpha,Df0Re,Df0Im
0,-0.079506,0.224877
0.00157237,-0.0795409,0.22499
0.00314474,-0.0795794,0.22511
0.00471711,-0.0796183,0.22523
0.00628947,-0.0796544,0.225345
0.00786184,-0.0796845,0.22545
0.00943421,-0.0797056,0.225538
0.0110066,-0.0797172,0.225608
0.0125789,-0.079727,0.225669
0.0141513,-0.0797357,0.225723
0.0157237,-0.0797429,0.225773
0.0172961,-0.0797482,0.225818
0.0188684,-0.0797513,0.225862
0.0204408,-0.0797519,0.225903
0.0220132,-0.0797502,0.225942
0.0235855,-0.0797467,0.225977
0.0251579,-0.079742,0.22601
0.0267303,-0.0797363,0.226043
0.0283026,-0.0797303,0.226077
0.029875,-0.0797244,0.226112
0.0314474,-0.0797182,0.226149
0.0330197,-0.0797109,0.226186
0.0345921,-0.0797027,0.226223
0.0361645,-0.0796941,0.226262
0.0377368,-0.0796853,0.226302
0.0393092,-0.0796766,0.226344
0.0408816,-0.0796682,0.226389
0.042454,-0.0796597,0.226436
0.0440263,-0.0796511,0.226485
0.0455987,-0.0796423,0.226537
0.0471711,-0.0796336,0.22659
0.0487434,-0.0796248,0.226646
0.0503158,-0.0796162,0.226704
0.0518882,-0.0796076,0.226764
0.0534605,-0.0795991,0.226827
0.0550329,-0.0795905,0.226893
0.0566053,-0.079582,0.226961
0.0581776,-0.0795734,0.227031
0.05975,-0.0795647,0.227102
0.0613224,-0.079556,0.227176
0.0628947,-0.0795473,0.227253
0.0644671,-0.0795386,0.227332
0.0660395,-0.0795297,0.227413
0.0676119,-0.0795208,0.227496
0.0691842,-0.0795117,0.227581
0.0707566,-0.0795023,0.227668
0.072329,-0.0794928,0.227757
0.0739013,-0.0794832,0.227848
0.0754737,-0.0794734,0.227941
0.0770461,-0.0794634,0.228036
0.0786184,-0.0794531,0.228132
0.0801908,-0.0794426,0.22823
0.0817632,-0.0794317,0.22833
0.0833355,-0.0794206,0.228431
0.0849079,-0.0794092,0.228535
0.0864803,-0.0793975,0.22864
0.0880526,-0.0793855,0.228747
0.089625,-0.0793732,0.228855
0.0911974,-0.0793605,0.228965
0.0927698,-0.0793474,0.229076
0.0943421,-0.079334,0.229189
0.0959145,-0.0793202,0.229304
0.0974869,-0.079306,0.22942
0.0990592,-0.0792915,0.229538
0.100632,-0.0792766,0.229657
0.102204,-0.0792613,0.229778
0.103776,-0.0792456,0.229901
0.105349,-0.0792295,0.230025
0.106921,-0.0792129,0.230151
0.108493,-0.079196,0.230278
0.110066,-0.0791788,0.230407
0.111638,-0.0791611,0.230538
0.113211,-0.079143,0.23067
0.114783,-0.0791244,0.230803
0.116355,-0.0791054,0.230939
0.117928,-0.079086,0.231076
0.1195,-0.0790663,0.231215
0.121072,-0.0790462,0.231355
0.122645,-0.0790256,0.231497
0.124217,-0.0790045,0.231641
0.125789,-0.0789831,0.231787
0.127362,-0.0789612,0.231934
0.128934,-0.078939,0.232083
0.130507,-0.0789163,0.232234
0.132079,-0.0788933,0.232386
0.133651,-0.0788698,0.232541
0.135224,-0.0788458,0.232697
0.136796,-0.0788214,0.232855
0.138368,-0.0787966,0.233015
0.139941,-0.0787714,0.233177
0.141513,-0.0787458,0.233341
0.143086,-0.0787198,0.233506
0.144658,-0.0786932,0.233674
0.14623,-0.0786663,0.233843
0.147803,-0.0786389,0.234015
0.149375,-0.078611,0.234188
0.150947,-0.0785827,0.234363
0.15252,-0.078554,0.23454
0.154092,-0.0785247,0.234719
0.155665,-0.078495,0.2349
0.157237,-0.0784648,0.235083
0.158809,-0.0784341,0.235268
0.160382,-0.0784029,0.235455
0.161954,-0.0783713,0.235644
0.163526,-0.078339,0.235835
0.165099,-0.0783063,0.236028
0.166671,-0.078273,0.236222
0.168243,-0.0782392,0.236419
0.169816,-0.0782048,0.236618
0.171388,-0.0781699,0.236818
0.172961,-0.0781344,0.237021
0.174533,-0.0780983,0.237226
0.176105,-0.0780616,0.237432
0.177678,-0.0780243,0.237641
0.17925,-0.0779863,0.237851
0.180822,-0.0779478,0.238063
0.182395,-0.0779085,0.238277
0.183967,-0.0778686,0.238493
0.18554,-0.077828,0.238711
0.187112,-0.0777867,0.238931
