# 20240823_140916
alpha,Dfield0Re,Dfield0Im
0,-0.079506,0.159012
0.00157237,-0.0795409,0.159086
0.00314474,-0.0795794,0.159166
0.00471711,-0.0796183,0.159246
0.00628947,-0.0796544,0.159322
0.00786184,-0.0796845,0.159388
0.00943421,-0.0797056,0.15944
0.0110066,-0.0797172,0.159475
0.0125789,-0.079727,0.159506
0.0141513,-0.0797357,0.159534
0.0157237,-0.0797429,0.159557
0.0172961,-0.0797482,0.159577
0.0188684,-0.0797513,0.159592
0.0204408,-0.0797519,0.159602
0.0220132,-0.0797502,0.159609
0.0235855,-0.0797467,0.159616
0.0251579,-0.079742,0.159621
0.0267303,-0.0797363,0.159626
0.0283026,-0.0797303,0.15963
0.029875,-0.0797244,0.159633
0.0314474,-0.0797182,0.159636
0.0330197,-0.0797109,0.159639
0.0345921,-0.0797027,0.159641
0.0361645,-0.0796941,0.159643
0.0377368,-0.0796853,0.159645
0.0393092,-0.0796766,0.159648
0.0408816,-0.0796682,0.159651
0.042454,-0.0796597,0.159655
0.0440263,-0.0796511,0.15966
0.0455987,-0.0796423,0.159666
0.0471711,-0.0796336,0.159672
0.0487434,-0.0796248,0.159678
0.0503158,-0.0796162,0.159685
0.0518882,-0.0796076,0.159693
0.0534605,-0.0795991,0.159702
0.0550329,-0.0795905,0.159712
0.0566053,-0.079582,0.159722
0.0581776,-0.0795734,0.159734
0.05975,-0.0795647,0.159745
0.0613224,-0.079556,0.159757
0.0628947,-0.0795473,0.15977
0.0644671,-0.0795386,0.159783
0.0660395,-0.0795297,0.159797
0.0676119,-0.0795208,0.159812
0.0691842,-0.0795117,0.159827
0.0707566,-0.0795023,0.159842
0.072329,-0.0794928,0.159857
0.0739013,-0.0794832,0.159873
0.0754737,-0.0794734,0.15989
0.0770461,-0.0794634,0.159907
0.0786184,-0.0794531,0.159924
0.0801908,-0.0794426,0.159941
0.0817632,-0.0794317,0.159958
0.0833355,-0.0794206,0.159976
0.0849079,-0.0794092,0.159993
0.0864803,-0.0793975,0.160011
0.0880526,-0.0793855,0.160029
0.089625,-0.0793732,0.160047
0.0911974,-0.0793605,0.160066
0.0927698,-0.0793474,0.160084
0.0943421,-0.079334,0.160102
0.0959145,-0.0793202,0.16012
0.0974869,-0.079306,0.160139
0.0990592,-0.0792915,0.160157
0.100632,-0.0792766,0.160176
0.102204,-0.0792613,0.160194
0.103776,-0.0792456,0.160213
0.105349,-0.0792295,0.160231
0.106921,-0.0792129,0.16025
0.108493,-0.079196,0.160268
0.110066,-0.0791788,0.160287
0.111638,-0.0791611,0.160305
0.113211,-0.079143,0.160324
0.114783,-0.0791244,0.160343
0.116355,-0.0791054,0.160361
0.117928,-0.079086,0.16038
0.1195,-0.0790663,0.160398
0.121072,-0.0790462,0.160417
0.122645,-0.0790256,0.160436
0.124217,-0.0790045,0.160454
0.125789,-0.0789831,0.160473
0.127362,-0.0789612,0.160492
0.128934,-0.078939,0.160511
0.130507,-0.0789163,0.16053
0.132079,-0.0788933,0.160549
0.133651,-0.0788698,0.160568
0.135224,-0.0788458,0.160587
0.136796,-0.0788214,0.160606
0.138368,-0.0787966,0.160625
0.139941,-0.0787714,0.160644
0.141513,-0.0787458,0.160664
0.143086,-0.0787198,0.160683
0.144658,-0.0786932,0.160703
0.14623,-0.0786663,0.160722
0.147803,-0.0786389,0.160742
0.149375,-0.078611,0.160761
0.150947,-0.0785827,0.160781
0.15252,-0.078554,0.160801
0.154092,-0.0785247,0.16082
0.155665,-0.078495,0.16084
0.157237,-0.0784648,0.16086
0.158809,-0.0784341,0.16088
0.160382,-0.0784029,0.1609
0.161954,-0.0783713,0.160919
0.163526,-0.078339,0.160939
0.165099,-0.0783063,0.160959
0.166671,-0.078273,0.160979
0.168243,-0.0782392,0.160999
0.169816,-0.0782048,0.161018
0.171388,-0.0781699,0.161038
0.172961,-0.0781344,0.161058
0.174533,-0.0780983,0.161077
0.176105,-0.0780616,0.161096
0.177678,-0.0780243,0.161116
0.17925,-0.0779863,0.161135
0.180822,-0.0779478,0.161153
0.182395,-0.0779085,0.161172
0.183967,-0.0778686,0.161191
0.18554,-0.077828,0.161209
0.187112,-0.0777867,0.161227
0.188684,-0.0777447,0.161245
0.190257,-0.077702,0.161262
0.191829,-0.0776585,0.161279
0.193401,-0.0776143,0.161296
0.194974,-0.0775693,0.161313
0.196546,-0.0775235,0.161329
0.198118,-0.0774768,0.161345
0.199691,-0.0774294,0.16136
0.201263,-0.0773812,0.161375
0.202836,-0.0773321,0.161389
0.204408,-0.077282,0.161403
0.20598,-0.0772311,0.161417
0.207553,-0.0771793,0.16143
0.209125,-0.0771266,0.161442
0.210697,-0.0770729,0.161454
0.21227,-0.0770183,0.161465
0.213842,-0.0769627,0.161475
0.215415,-0.076906,0.161486
0.216987,-0.0768483,0.161495
0.218559,-0.0767897,0.161503
0.220132,-0.07673,0.16151
0.221704,-0.0766692,0.161517
0.223276,-0.0766073,0.161523
0.224849,-0.0765443,0.16153
0.226421,-0.0764801,0.161535
0.227993,-0.0764148,0.161538
0.229566,-0.0763484,0.16154
0.231138,-0.0762808,0.16154
0.232711,-0.0762119,0.16154
0.234283,-0.0761418,0.161539
0.235855,-0.0760704,0.161538
0.237428,-0.0759978,0.161536
0.239,-0.075924,0.161534
0.240572,-0.0758489,0.161532
0.242145,-0.0757724,0.161528
0.243717,-0.0756945,0.161521
0.24529,-0.0756153,0.161513
0.246862,-0.0755347,0.161503
0.248434,-0.0754527,0.161493
0.250007,-0.0753693,0.161482
0.251579,-0.0752845,0.16147
0.253151,-0.0751982,0.161456
0.254724,-0.0751103,0.161441
0.256296,-0.075021,0.161424
0.257868,-0.0749301,0.161406
0.259441,-0.0748378,0.161387
0.261013,-0.0747439,0.161367
0.262586,-0.0746484,0.161345
0.264158,-0.0745512,0.161321
0.26573,-0.0744523,0.161295
0.267303,-0.0743519,0.161268
0.268875,-0.0742498,0.16124
0.270447,-0.0741461,0.161211
0.27202,-0.0740406,0.16118
0.273592,-0.0739333,0.161146
0.275165,-0.0738242,0.161111
0.276737,-0.0737133,0.161074
0.278309,-0.0736007,0.161036
0.279882,-0.0734863,0.160996
0.281454,-0.07337,0.160955
0.283026,-0.0732518,0.160911
0.284599,-0.0731317,0.160865
0.286171,-0.0730096,0.160817
0.287743,-0.0728855,0.160768
0.289316,-0.0727596,0.160716
0.290888,-0.0726318,0.160663
0.292461,-0.0725018,0.160608
0.294033,-0.0723697,0.16055
0.295605,-0.0722355,0.16049
0.297178,-0.0720992,0.160428
0.29875,-0.0719608,0.160364
0.300322,-0.0718204,0.160298
0.301895,-0.0716778,0.16023
0.303467,-0.0715328,0.160159
0.30504,-0.0713856,0.160086
0.306612,-0.0712361,0.16001
0.308184,-0.0710843,0.159932
0.309757,-0.0709303,0.159852
0.311329,-0.070774,0.159769
0.312901,-0.0706153,0.159684
0.314474,-0.070454,0.159595
0.316046,-0.0702903,0.159504
0.317618,-0.0701241,0.159411
0.319191,-0.0699556,0.159315
0.320763,-0.0697846,0.159216
0.322336,-0.0696109,0.159115
0.323908,-0.0694346,0.15901
0.32548,-0.0692556,0.158902
0.327053,-0.0690739,0.158792
0.328625,-0.0688897,0.158679
0.330197,-0.0687028,0.158562
0.33177,-0.0685132,0.158443
0.333342,-0.0683207,0.158321
0.334915,-0.0681253,0.158194
0.336487,-0.067927,0.158065
0.338059,-0.067726,0.157933
0.339632,-0.0675221,0.157797
0.341204,-0.0673153,0.157659
0.342776,-0.0671055,0.157516
0.344349,-0.0668925,0.15737
0.345921,-0.0666764,0.15722
0.347493,-0.0664573,0.157067
0.349066,-0.0662352,0.15691
0.350638,-0.0660101,0.15675
0.352211,-0.0657817,0.156586
0.353783,-0.0655499,0.156417
0.355355,-0.0653148,0.156245
0.356928,-0.0650764,0.156069
0.3585,-0.0648348,0.155889
0.360072,-0.06459,0.155705
0.361645,-0.0643418,0.155517
0.363217,-0.06409,0.155325
0.36479,-0.0638346,0.155128
0.366362,-0.0635757,0.154927
0.367934,-0.0633134,0.154722
0.369507,-0.0630476,0.154513
0.371079,-0.0627783,0.154299
0.372651,-0.0625052,0.15408
0.374224,-0.0622282,0.153857
0.375796,-0.0619475,0.153629
0.377368,-0.0616632,0.153396
0.378941,-0.0613751,0.153159
0.380513,-0.0610834,0.152918
0.382086,-0.0607877,0.152671
0.383658,-0.0604879,0.152419
0.38523,-0.0601842,0.152162
0.386803,-0.0598765,0.1519
0.388375,-0.0595649,0.151633
0.389947,-0.0592494,0.151361
0.39152,-0.0589299,0.151084
0.393092,-0.0586061,0.150801
0.394665,-0.058278,0.150512
0.396237,-0.0579457,0.150219
0.397809,-0.0576093,0.149919
0.399382,-0.0572688,0.149615
0.400954,-0.0569242,0.149305
0.402526,-0.0565751,0.148989
0.404099,-0.0562215,0.148668
0.405671,-0.0558635,0.14834
0.407243,-0.0555011,0.148006
0.408816,-0.0551344,0.147667
0.410388,-0.0547634,0.147323
0.411961,-0.0543878,0.146972
0.413533,-0.0540075,0.146615
0.415105,-0.0536225,0.146251
0.416678,-0.0532329,0.145881
0.41825,-0.0528388,0.145505
0.419822,-0.0524403,0.145124
0.421395,-0.0520371,0.144736
0.422967,-0.051629,0.144341
0.42454,-0.051216,0.143939
0.426112,-0.0507981,0.143531
0.427684,-0.0503756,0.143116
0.429257,-0.0499484,0.142695
0.430829,-0.0495165,0.142268
0.432401,-0.0490795,0.141833
0.433974,-0.0486375,0.141392
0.435546,-0.0481904,0.140943
0.437118,-0.0477384,0.140488
0.438691,-0.0472815,0.140026
0.440263,-0.0468199,0.139557
0.441836,-0.0463532,0.139081
0.443408,-0.0458811,0.138598
0.44498,-0.0454038,0.138107
0.446553,-0.0449215,0.137609
0.448125,-0.0444341,0.137104
0.449697,-0.0439418,0.136592
0.45127,-0.0434444,0.136072
0.452842,-0.0429415,0.135545
0.454415,-0.0424333,0.13501
0.455987,-0.0419197,0.134468
0.457559,-0.041401,0.133918
0.459132,-0.0408772,0.133361
0.460704,-0.0403483,0.132797
0.462276,-0.0398139,0.132224
0.463849,-0.039274,0.131644
0.465421,-0.0387286,0.131055
0.466994,-0.0381778,0.130459
0.468566,-0.0376219,0.129855
0.470138,-0.0370608,0.129244
0.471711,-0.0364943,0.128625
0.473283,-0.035922,0.127997
0.474855,-0.0353442,0.127361
0.476428,-0.0347609,0.126717
0.478,-0.0341723,0.126065
0.479572,-0.0335784,0.125405
0.481145,-0.0329792,0.124738
0.482717,-0.0323742,0.124062
0.48429,-0.0317634,0.123377
0.485862,-0.0311472,0.122683
0.487434,-0.0305254,0.121982
0.489007,-0.0298983,0.121273
0.490579,-0.029266,0.120555
0.492151,-0.0286279,0.119829
0.493724,-0.027984,0.119095
0.495296,-0.0273344,0.118351
0.496869,-0.0266793,0.117599
0.498441,-0.0260188,0.116839
0.500013,-0.025353,0.11607
0.501586,-0.0246816,0.115294
0.503158,-0.0240044,0.114508
0.50473,-0.0233214,0.113713
0.506303,-0.0226328,0.112909
0.507875,-0.0219387,0.112097
0.509447,-0.0212393,0.111277
0.51102,-0.0205345,0.110448
0.512592,-0.0198239,0.10961
0.514165,-0.0191075,0.108763
0.515737,-0.0183855,0.107907
0.517309,-0.017658,0.107042
0.518882,-0.0169251,0.106169
0.520454,-0.016187,0.105288
0.522026,-0.0154431,0.104397
0.523599,-0.0146935,0.103497
0.525171,-0.0139382,0.102588
0.526744,-0.0131774,0.10167
0.528316,-0.0124113,0.100744
0.529888,-0.01164,0.0998089
0.531461,-0.0108633,0.0988652
0.533033,-0.0100808,0.097912
0.534605,-0.00929268,0.0969497
0.536178,-0.00849913,0.0959783
0.53775,-0.00770028,0.0949982
0.539322,-0.00689629,0.0940096
0.540895,-0.00608718,0.0930125
0.542467,-0.00527241,0.0920059
0.54404,-0.00445208,0.0909901
0.545612,-0.00362635,0.0899651
0.547184,-0.0027954,0.0889313
0.548757,-0.0019594,0.0878889
0.550329,-0.0011185,0.0868382
0.551901,-0.000272245,0.0857783
0.553474,0.000579493,0.084709
0.555046,0.00143652,0.0836306
0.556619,0.00229867,0.0825433
0.558191,0.00316573,0.0814475
0.559763,0.00403754,0.0803432
0.561336,0.00491425,0.0792304
0.562908,0.0057963,0.0781082
0.56448,0.0066835,0.0769769
0.566053,0.00757566,0.0758367
0.567625,0.00847259,0.074688
0.569197,0.0093741,0.073531
0.57077,0.0102801,0.0723657
0.572342,0.0111912,0.0711913
0.573915,0.0121073,0.0700078
0.575487,0.0130281,0.0688156
0.577059,0.0139535,0.0676149
0.578632,0.0148833,0.066406
0.580204,0.0158172,0.0651891
0.581776,0.0167557,0.0639637
0.583349,0.017699,0.0627293
0.584921,0.0186468,0.0614862
0.586494,0.0195989,0.0602349
0.588066,0.0205552,0.0589755
