# 20240823_141104
alpha,field0Re,field0Im
0,0.0782593,-0.127797
0.00157237,0.0782612,-0.127797
0.00314474,0.078263,-0.127797
0.00471711,0.0782648,-0.127797
0.00628947,0.0782667,-0.127797
0.00786184,0.0782687,-0.127797
0.00943421,0.0782711,-0.127797
0.0110066,0.0782738,-0.127797
0.0125789,0.0782769,-0.127797
0.0141513,0.0782805,-0.127797
0.0157237,0.0782844,-0.127797
0.0172961,0.0782886,-0.127797
0.0188684,0.0782929,-0.127797
0.0204408,0.0782974,-0.127797
0.0220132,0.0783022,-0.127797
0.0235855,0.0783073,-0.127797
0.0251579,0.0783127,-0.127797
0.0267303,0.0783184,-0.127797
0.0283026,0.0783243,-0.127797
0.029875,0.0783304,-0.127797
0.0314474,0.0783367,-0.127797
0.0330197,0.0783433,-0.127797
0.0345921,0.0783503,-0.127797
0.0361645,0.0783575,-0.127797
0.0377368,0.0783649,-0.127797
0.0393092,0.0783725,-0.127796
0.0408816,0.0783804,-0.127796
0.042454,0.0783885,-0.127796
0.0440263,0.0783969,-0.127796
0.0455987,0.0784056,-0.127796
0.0471711,0.0784145,-0.127796
0.0487434,0.0784237,-0.127796
0.0503158,0.078433,-0.127796
0.0518882,0.0784427,-0.127796
0.0534605,0.0784526,-0.127796
0.0550329,0.0784627,-0.127796
0.0566053,0.0784732,-0.127795
0.0581776,0.0784839,-0.127795
0.05975,0.0784948,-0.127795
0.0613224,0.0785059,-0.127795
0.0628947,0.0785173,-0.127795
0.0644671,0.078529,-0.127795
0.0660395,0.078541,-0.127794
0.0676119,0.0785532,-0.127794
0.0691842,0.0785656,-0.127794
0.0707566,0.0785783,-0.127794
0.072329,0.0785912,-0.127793
0.0739013,0.0786045,-0.127793
0.0754737,0.0786179,-0.127793
0.0770461,0.0786317,-0.127792
0.0786184,0.0786457,-0.127792
0.0801908,0.0786599,-0.127792
0.0817632,0.0786744,-0.127791
0.0833355,0.0786891,-0.127791
0.0849079,0.0787042,-0.127791
0.0864803,0.0787195,-0.12779
0.0880526,0.078735,-0.12779
0.089625,0.0787508,-0.127789
0.0911974,0.0787668,-0.127789
0.0927698,0.0787831,-0.127788
0.0943421,0.0787997,-0.127788
0.0959145,0.0788166,-0.127787
0.0974869,0.0788337,-0.127786
0.0990592,0.078851,-0.127786
0.100632,0.0788686,-0.127785
0.102204,0.0788865,-0.127784
0.103776,0.0789047,-0.127783
0.105349,0.0789231,-0.127783
0.106921,0.0789418,-0.127782
0.108493,0.0789607,-0.127781
0.110066,0.0789799,-0.12778
0.111638,0.0789993,-0.127779
0.113211,0.079019,-0.127778
0.114783,0.079039,-0.127777
0.116355,0.0790592,-0.127776
0.117928,0.0790797,-0.127775
0.1195,0.0791005,-0.127774
0.121072,0.0791215,-0.127773
0.122645,0.0791427,-0.127772
0.124217,0.0791643,-0.12777
0.125789,0.0791861,-0.127769
0.127362,0.0792082,-0.127768
0.128934,0.0792305,-0.127766
0.130507,0.0792531,-0.127765
0.132079,0.0792759,-0.127763
0.133651,0.079299,-0.127762
0.135224,0.0793224,-0.12776
0.136796,0.079346,-0.127758
0.138368,0.0793699,-0.127757
0.139941,0.0793941,-0.127755
0.141513,0.0794185,-0.127753
0.143086,0.0794431,-0.127751
0.144658,0.0794681,-0.127749
0.14623,0.0794933,-0.127747
0.147803,0.0795188,-0.127745
0.149375,0.0795445,-0.127742
0.150947,0.0795705,-0.12774
0.15252,0.0795967,-0.127738
0.154092,0.0796232,-0.127735
0.155665,0.07965,-0.127733
0.157237,0.0796771,-0.12773
0.158809,0.0797044,-0.127728
0.160382,0.0797319,-0.127725
0.161954,0.0797597,-0.127722
0.163526,0.0797878,-0.127719
0.165099,0.0798162,-0.127716
0.166671,0.0798448,-0.127713
0.168243,0.0798737,-0.12771
0.169816,0.0799028,-0.127706
0.171388,0.0799322,-0.127703
0.172961,0.0799619,-0.1277
0.174533,0.0799918,-0.127696
0.176105,0.080022,-0.127692
0.177678,0.0800525,-0.127689
0.17925,0.0800832,-0.127685
0.180822,0.0801142,-0.127681
0.182395,0.0801454,-0.127677
0.183967,0.080177,-0.127672
0.18554,0.0802088,-0.127668
0.187112,0.0802408,-0.127664
0.188684,0.0802731,-0.127659
0.190257,0.0803057,-0.127654
