# 20240823_141104
# initdata:	data/init_comp_piplus_composed_consteps_20240822_145641/init19.csv
# particle mass:	0.14
# NpT:	200
# pTmax:	2
# epsabs:	0
# epsrel:	1e-05
# integr iter:	10000
pT,abs2Re,abs2Im
0,106227,0
0.0100503,100806,0
0.0201005,86224.7,0
0.0301508,66655.7,0
0.040201,46790.9,0
0.0502513,30035.9,0
0.0603015,17828.5,0
0.0703518,10045.3,0
0.080402,5776.23,0
0.0904523,3861.27,0
0.100503,3142.71,0
0.110553,2688.44,0
0.120603,2046.76,0
0.130653,1299.39,0
0.140704,766.439,0
0.150754,592.792,0
0.160804,606.343,0
0.170854,544.435,0
0.180905,341.888,0
0.190955,149.036,0
0.201005,105.049,0
0.211055,171.088,0
0.221106,207.091,0
0.231156,154.547,0
0.241206,84.6607,0
0.251256,78.9106,0
0.261307,121.615,0
0.271357,136.356,0
0.281407,93.1623,0
0.291457,37.4515,0
0.301508,18.9276,0
0.311558,30.5697,0
0.321608,33.3243,0
0.331658,15.9204,0
0.341709,3.40775,0
0.351759,13.4808,0
0.361809,30.6388,0
0.371859,31.4043,0
0.38191,17.57,0
0.39196,9.85399,0
0.40201,16.4846,0
0.41206,23.859,0
0.422111,18.7451,0
0.432161,6.42169,0
0.442211,0.467349,0
0.452261,3.18743,0
0.462312,5.46909,0
0.472362,2.63566,0
0.482412,0.666751,0
0.492462,5.11382,0
0.502513,11.5657,0
0.512563,12.0079,0
0.522613,6.37838,0
0.532663,1.9998,0
0.542714,2.88864,0
0.552764,5.19195,0
0.562814,4.19007,0
0.572864,1.1462,0
0.582915,0.299462,0
0.592965,2.01022,0
0.603015,2.81308,0
0.613065,1.37837,0
0.623116,0.560158,0
0.633166,2.63344,0
0.643216,5.47858,0
0.653266,5.52558,0
0.663317,2.7567,0
0.673367,0.390458,0
0.683417,0.264426,0
0.693467,0.945412,0
0.703518,0.714048,0
0.713568,0.225265,0
0.723618,0.932121,0
0.733668,2.3202,0
0.743719,2.52822,0
0.753769,1.26267,0
0.763819,0.340456,0
0.773869,1.03408,0
0.78392,2.28986,0
0.79397,2.36057,0
0.80402,1.21867,0
0.81407,0.270874,0
0.824121,0.197745,0
0.834171,0.314867,0
0.844221,0.0889964,0
0.854271,0.102544,0
0.864322,0.945923,0
0.874372,1.97144,0
0.884422,2.01506,0
0.894472,1.03069,0
0.904523,0.160914,0
0.914573,0.182326,0
0.924623,0.635592,0
0.934673,0.74215,0
0.944724,0.522452,0
0.954774,0.491397,0
0.964824,0.668412,0
0.974874,0.582563,0
0.984925,0.183485,0
0.994975,0.0788118,0
1.00503,0.637341,0
1.01508,1.33958,0
1.02513,1.40635,0
1.03518,0.800133,0
1.04523,0.182879,0
1.05528,0.00649928,0
1.06533,0.0951768,0
1.07538,0.161237,0
1.08543,0.278916,0
1.09548,0.592764,0
1.10553,0.872451,0
1.11558,0.748426,0
1.12563,0.29832,0
1.13568,0.0320216,0
1.14573,0.233753,0
1.15578,0.607679,0
1.16583,0.711494,0
1.17588,0.508983,0
1.18593,0.28517,0
1.19598,0.179703,0
1.20603,0.0906755,0
1.21608,0.00389642,0
1.22613,0.110969,0
1.23618,0.478923,0
1.24623,0.817774,0
1.25628,0.780601,0
1.26633,0.404892,0
1.27638,0.0663798,0
1.28643,0.0203585,0
1.29648,0.169534,0
1.30653,0.301921,0
1.31658,0.367075,0
1.32663,0.411679,0
1.33668,0.392402,0
1.34673,0.236706,0
1.35678,0.0439614,0
1.36683,0.0392944,0
1.37688,0.280201,0
1.38693,0.539927,0
1.39698,0.563876,0
1.40704,0.356884,0
1.41709,0.128446,0
1.42714,0.0219575,0
1.43719,0.0164019,0
1.44724,0.0663215,0
1.45729,0.190141,0
1.46734,0.367162,0
1.47739,0.461429,0
1.48744,0.357937,0
1.49749,0.135885,0
1.50754,0.00586959,0
1.51759,0.0726314,0
1.52764,0.235665,0
1.53769,0.336687,0
1.54774,0.326884,0
1.55779,0.252244,0
1.56784,0.150436,0
1.57789,0.0443225,0
1.58794,0.00128991,0
1.59799,0.0970067,0
1.60804,0.294979,0
1.61809,0.433946,0
1.62814,0.386884,0
1.63819,0.201288,0
1.64824,0.0391369,0
1.65829,0.0033026,0
1.66834,0.0684448,0
1.67839,0.161373,0
1.68844,0.240135,0
1.69849,0.278993,0
1.70854,0.242164,0
1.71859,0.128938,0
1.72864,0.019432,0
1.73869,0.0156961,0
1.74874,0.128182,0
1.75879,0.256689,0
1.76884,0.295505,0
1.77889,0.230911,0
1.78894,0.124184,0
1.79899,0.0367586,0
1.80905,0.001437,0
1.8191,0.0384554,0
1.82915,0.145494,0
1.8392,0.26447,0
1.84925,0.302785,0
1.8593,0.220678,0
1.86935,0.0835631,0
1.8794,0.00344875,0
1.88945,0.0321663,0
1.8995,0.126967,0
1.90955,0.209526,0
1.9196,0.23248,0
1.92965,0.19128,0
1.9397,0.107903,0
1.94975,0.0261273,0
1.9598,0.00191041,0
1.96985,0.0624722,0
1.9799,0.168623,0
1.98995,0.237982,0
2,0.217878,0
