# 20240823_141528
# initdata:	data/init_comp_piplus_composed_consteps_20240822_145641/init24.csv
# particle mass:	0.14
# NpT:	200
# pTmax:	2
# epsabs:	0
# epsrel:	1e-05
# integr iter:	10000
pT,abs2Re,abs2Im
0,148602,0
0.0100503,140545,0
0.0201005,118908,0
0.0301508,90013.1,0
0.040201,61020.8,0
0.0502513,37155.8,0
0.0603015,20543.3,0
0.0703518,10725.3,0
0.080402,5912.12,0
0.0904523,4042.05,0
0.100503,3376.04,0
0.110553,2808.76,0
0.120603,1991.33,0
0.130653,1156.77,0
0.140704,660.453,0
0.150754,562.407,0
0.160804,599.215,0
0.170854,503.424,0
0.180905,272.89,0
0.190955,101.089,0
0.201005,104.331,0
0.211055,194.248,0
0.221106,217.043,0
0.231156,144.092,0
0.241206,74.9905,0
0.251256,84.959,0
0.261307,133.83,0
0.271357,137.554,0
0.281407,81.5208,0
0.291457,25.2217,0
0.301508,13.9895,0
0.311558,28.4915,0
0.321608,27.8257,0
0.331658,9.43527,0
0.341709,2.88087,0
0.351759,19.6324,0
0.361809,36.8055,0
0.371859,32.4571,0
0.38191,15.5022,0
0.39196,9.24056,0
0.40201,17.7987,0
0.41206,24.0015,0
0.422111,16.4798,0
0.432161,4.0748,0
0.442211,0.127672,0
0.452261,3.83894,0
0.462312,5.13378,0
0.472362,1.67654,0
0.482412,1.15816,0
0.492462,7.55788,0
0.502513,14.0093,0
0.512563,12.6407,0
0.522613,5.62796,0
0.532663,1.37831,0
0.542714,2.78776,0
0.552764,4.87262,0
0.562814,3.47547,0
0.572864,0.906018,0
0.582915,1.07211,0
0.592965,3.08176,0
0.603015,3.20989,0
0.613065,1.2164,0
0.623116,0.748299,0
0.633166,3.49063,0
0.643216,6.33552,0
0.653266,5.73912,0
0.663317,2.51034,0
0.673367,0.21795,0
0.683417,0.236976,0
0.693467,0.787568,0
0.703518,0.499305,0
0.713568,0.421735,0
0.723618,1.69718,0
0.733668,3.16578,0
0.743719,2.90304,0
0.753769,1.20531,0
0.763819,0.300099,0
0.773869,1.21535,0
0.78392,2.48748,0
0.79397,2.4011,0
0.80402,1.23709,0
0.81407,0.431806,0
0.824121,0.390875,0
0.834171,0.343021,0
0.844221,0.0339586,0
0.854271,0.260777,0
0.864322,1.40823,0
0.874372,2.47148,0
0.884422,2.26028,0
0.894472,1.02739,0
0.904523,0.108742,0
0.914573,0.174986,0
0.924623,0.625922,0
0.934673,0.744963,0
0.944724,0.661645,0
0.954774,0.797849,0
0.964824,0.97195,0
0.974874,0.706711,0
0.984925,0.173182,0
0.994975,0.129678,0
1.00503,0.834373,0
1.01508,1.57401,0
1.02513,1.55068,0
1.03518,0.856873,0
1.04523,0.217107,0
1.05528,0.024194,0
1.06533,0.0759661,0
1.07538,0.165107,0
1.08543,0.413931,0
1.09548,0.863368,0
1.10553,1.13917,0
1.11558,0.878072,0
1.12563,0.304284,0
1.13568,0.0248,0
1.14573,0.276022,0
1.15578,0.678325,0
1.16583,0.788771,0
1.17588,0.61173,0
1.18593,0.412624,0
1.19598,0.274394,0
1.20603,0.110489,0
1.21608,0.000435499,0
1.22613,0.182875,0
1.23618,0.651388,0
1.24623,1.01121,0
1.25628,0.904919,0
1.26633,0.446732,0
1.27638,0.0690129,0
1.28643,0.0182236,0
1.29648,0.178389,0
1.30653,0.349528,0
1.31658,0.481426,0
1.32663,0.570409,0
1.33668,0.52206,0
1.34673,0.28668,0
1.35678,0.0431339,0
1.36683,0.0585614,0
1.37688,0.352208,0
1.38693,0.638201,0
1.39698,0.650886,0
1.40704,0.421347,0
1.41709,0.171445,0
1.42714,0.0383156,0
1.43719,0.0128412,0
1.44724,0.0808835,0
1.45729,0.263644,0
1.46734,0.493039,0
1.47739,0.583653,0
1.48744,0.426398,0
1.49749,0.150861,0
1.50754,0.00409277,0
1.51759,0.0854793,0
1.52764,0.273872,0
1.53769,0.40169,0
1.54774,0.413035,0
1.55779,0.336279,0
1.56784,0.20065,0
1.57789,0.0539133,0
1.58794,0.00366237,0
1.59799,0.134972,0
1.60804,0.376786,0
1.61809,0.528071,0
1.62814,0.457095,0
1.63819,0.235961,0
1.64824,0.0483631,0
1.65829,0.00308536,0
1.66834,0.0765109,0
1.67839,0.196826,0
1.68844,0.310233,0
1.69849,0.364751,0
1.70854,0.308551,0
1.71859,0.156191,0
1.72864,0.0207088,0
1.73869,0.0216142,0
1.74874,0.158531,0
1.75879,0.309928,0
1.76884,0.358383,0
1.77889,0.288189,0
1.78894,0.162238,0
1.79899,0.0497374,0
1.80905,0.000981817,0
1.8191,0.0511886,0
1.82915,0.191741,0
1.8392,0.33791,0
1.84925,0.374876,0
1.8593,0.265729,0
1.86935,0.0980901,0
1.8794,0.00350812,0
1.88945,0.038226,0
1.8995,0.152605,0
1.90955,0.257223,0
1.9196,0.292216,0
1.92965,0.243801,0
1.9397,0.136799,0
1.94975,0.0318503,0
1.9598,0.00290787,0
1.96985,0.0799316,0
1.9799,0.209403,0
1.98995,0.291479,0
2,0.266546,0
