# 20240822_171051
# initdata:	data/init_comp_piplus_composed_consteps_20240822_145641/init1.csv
# particle mass:	0.14
# NpT:	100
# pTmax:	1
# epsabs:	0
# epsrel:	1e-05
# integr iter:	10000
pT,abs2Re,abs2Im
0,33423.3,0
0.010101,30756.4,0
0.020202,24012,0
0.030303,16096,0
0.040404,9698.66,0
0.0505051,5905.57,0
0.0606061,4176.78,0
0.0707071,3349.18,0
0.0808081,2632.84,0
0.0909091,1898.03,0
0.10101,1338.62,0
0.111111,1052.67,0
0.121212,928.154,0
0.131313,801.151,0
0.141414,620.644,0
0.151515,448.734,0
0.161616,348.214,0
0.171717,308.033,0
0.181818,272.961,0
0.191919,214.434,0
0.20202,152.237,0
0.212121,115.626,0
0.222222,104.312,0
0.232323,95.2515,0
0.242424,75.6018,0
0.252525,55.1304,0
0.262626,47.1166,0
0.272727,48.9364,0
0.282828,47.5625,0
0.292929,37.967,0
0.30303,27.717,0
0.313131,24.2071,0
0.323232,24.7208,0
0.333333,22.0933,0
0.343434,15.4464,0
0.353535,10.3905,0
0.363636,10.1932,0
0.373737,11.6433,0
0.383838,10.5638,0
0.393939,7.69624,0
0.40404,6.62821,0
0.414141,7.97548,0
0.424242,8.72089,0
0.434343,6.93321,0
0.444444,4.36572,0
0.454545,3.49228,0
0.464646,3.99823,0
0.474747,3.80022,0
0.484848,2.43161,0
0.494949,1.52336,0
0.505051,2.07917,0
0.515152,2.98974,0
0.525253,2.84262,0
0.535354,1.96936,0
0.545455,1.69081,0
0.555556,2.20766,0
0.565657,2.41723,0
0.575758,1.70177,0
0.585859,0.812348,0
0.59596,0.645563,0
0.606061,0.966702,0
0.616162,0.964657,0
0.626263,0.56977,0
0.636364,0.459771,0
0.646465,0.892505,0
0.656566,1.2765,0
0.666667,1.08458,0
0.676768,0.618125,0
0.686869,0.48321,0
0.69697,0.680908,0
0.707071,0.702414,0
0.717172,0.375116,0
0.727273,0.102403,0
0.737374,0.200513,0
0.747475,0.430017,0
0.757576,0.417377,0
0.767677,0.23792,0
0.777778,0.249933,0
0.787879,0.496063,0
0.79798,0.628891,0
0.808081,0.443799,0
0.818182,0.170208,0
0.828283,0.104656,0
0.838384,0.193787,0
0.848485,0.187915,0
0.858586,0.0619773,0
0.868687,0.0300647,0
0.878788,0.17349,0
0.888889,0.300503,0
0.89899,0.246869,0
0.909091,0.122487,0
0.919192,0.125884,0
0.929293,0.234904,0
0.939394,0.25689,0
0.949495,0.133159,0
0.959596,0.0165597,0
0.969697,0.0265746,0
0.979798,0.0841756,0
0.989899,0.0687208,0
1,0.0195715,0
