# 20240822_171441
alpha,f0Re,f0Im
0,0.0782593,-0.0638984
0.01,0.078272,-0.0639296
0.02,0.0782961,-0.0639887
0.03,0.0783309,-0.064074
0.04,0.0783759,-0.0641846
0.05,0.0784311,-0.0643203
0.06,0.0784965,-0.0644813
0.07,0.0785722,-0.0646679
0.08,0.0786582,-0.0648805
0.09,0.0787546,-0.0651195
0.1,0.0788615,-0.0653853
0.11,0.078979,-0.0656782
0.12,0.0791071,-0.0659985
0.13,0.0792458,-0.0663465
0.14,0.079395,-0.0667226
0.15,0.0795548,-0.0671272
0.16,0.0797252,-0.0675606
0.17,0.0799063,-0.0680235
0.18,0.080098,-0.0685164
0.19,0.0803004,-0.0690399
0.2,0.0805135,-0.0695948
0.21,0.0807373,-0.0701817
0.22,0.080972,-0.0708014
0.23,0.0812173,-0.0714548
0.24,0.0814733,-0.0721425
0.25,0.0817399,-0.0728655
0.26,0.082017,-0.0736243
0.27,0.0823043,-0.0744198
0.28,0.0826015,-0.0752527
0.29,0.0829085,-0.0761234
0.3,0.0832246,-0.0770326
0.31,0.0835495,-0.0779806
0.32,0.0838825,-0.0789679
0.33,0.0842229,-0.0799946
0.34,0.0845699,-0.0810608
0.35,0.0849225,-0.0821664
0.36,0.0852797,-0.0833111
0.37,0.0856402,-0.0844945
0.38,0.0860027,-0.0857159
0.39,0.0863655,-0.0869744
0.4,0.0867271,-0.0882688
0.41,0.0870856,-0.0895977
0.42,0.0874389,-0.0909593
0.43,0.0877849,-0.0923517
0.44,0.0881212,-0.0937725
0.45,0.0884453,-0.0952192
0.46,0.0887545,-0.0966887
0.47,0.0890461,-0.098178
0.48,0.089317,-0.0996834
0.49,0.0895643,-0.101201
0.5,0.0897846,-0.102727
0.51,0.0899747,-0.104257
0.52,0.0901312,-0.105786
0.53,0.0902507,-0.107309
0.54,0.0903297,-0.108822
0.55,0.0903645,-0.110318
0.56,0.0903516,-0.111793
0.57,0.0902875,-0.11324
0.58,0.0901685,-0.114654
0.59,0.0899913,-0.116029
0.6,0.0897523,-0.117357
0.61,0.0894483,-0.118634
0.62,0.089076,-0.119853
0.63,0.0886325,-0.121008
0.64,0.0881148,-0.122092
0.65,0.0875205,-0.123099
0.66,0.086847,-0.124023
0.67,0.0860925,-0.124859
0.68,0.085255,-0.1256
0.69,0.0843332,-0.126242
0.7,0.083326,-0.126779
0.71,0.0822326,-0.127207
0.72,0.0810531,-0.127522
0.73,0.0797872,-0.127719
0.74,0.0784358,-0.127796
0.75,0.0769998,-0.127749
0.76,0.0754806,-0.127578
0.77,0.0738802,-0.127279
0.78,0.0722009,-0.126853
0.79,0.0704456,-0.126299
0.8,0.0686174,-0.125618
0.81,0.0667199,-0.124811
0.82,0.0647572,-0.123879
0.83,0.0627335,-0.122825
0.84,0.0606535,-0.121652
0.85,0.0585222,-0.120363
0.86,0.0563446,-0.118964
0.87,0.0541262,-0.117459
0.88,0.0518726,-0.115853
0.89,0.0495892,-0.114152
0.9,0.0472817,-0.112362
0.91,0.0449557,-0.11049
0.92,0.0426168,-0.108541
0.93,0.0402704,-0.106524
0.94,0.0379216,-0.104444
0.95,0.0355756,-0.10231
0.96,0.0332372,-0.100127
0.97,0.0309107,-0.0979018
0.98,0.0286004,-0.095642
0.99,0.0263101,-0.0933535
1,0.0240433,-0.0910423
1.01,0.0218031,-0.088714
1.02,0.0195923,-0.0863742
1.03,0.0174132,-0.0840277
1.04,0.0152679,-0.0816792
1.05,0.0131581,-0.0793329
1.06,0.0110851,-0.0769925
1.07,0.00905006,-0.0746614
1.08,0.00705365,-0.0723426
1.09,0.00509642,-0.0700388
1.1,0.00317862,-0.0677521
1.11,0.00130036,-0.0654846
1.12,-0.000538481,-0.063238
1.13,-0.00233812,-0.0610136
1.14,-0.00409892,-0.0588127
1.15,-0.00582133,-0.0566362
1.16,-0.00750588,-0.054485
1.17,-0.0091532,-0.0523596
1.18,-0.010764,-0.0502605
1.19,-0.012339,-0.048188
1.2,-0.013879,-0.0461422
1.21,-0.0153851,-0.0441229
1.22,-0.0168581,-0.04213
1.23,-0.0182992,-0.0401629
1.24,-0.0197094,-0.0382213
1.25,-0.0210899,-0.0363043
1.26,-0.0224418,-0.0344113
1.27,-0.0237662,-0.0325416
1.28,-0.0250642,-0.0306943
1.29,-0.0263367,-0.0288689
1.3,-0.0275846,-0.0270646
1.31,-0.0288088,-0.025281
1.32,-0.03001,-0.0235175
1.33,-0.031189,-0.0217735
1.34,-0.0323466,-0.0200484
1.35,-0.0334836,-0.0183414
1.36,-0.0346008,-0.0166518
1.37,-0.0356992,-0.0149786
1.38,-0.0367797,-0.0133208
1.39,-0.037843,-0.0116776
1.4,-0.03889,-0.0100482
1.41,-0.0399212,-0.00843184
1.42,-0.0409372,-0.00682805
1.43,-0.0419386,-0.00523629
1.44,-0.0429258,-0.00365592
1.45,-0.0438995,-0.00208616
1.46,-0.0448606,-0.000525972
1.47,-0.0458097,0.00102566
1.48,-0.0467475,0.00256963
1.49,-0.0476744,0.0041065
1.5,-0.0485907,0.00563649
1.51,-0.0494966,0.00715988
1.52,-0.0503924,0.00867723
1.53,-0.0512788,0.0101893
1.54,-0.052156,0.0116965
1.55,-0.0530236,0.0131981
1.56,-0.0538809,0.0146928
1.57,-0.0547263,0.0161777
1.58,-0.0555439,0.0176244
