# 20240822_171608
alpha,Df0Re,Df0Im
0,0,0.159012
0.01,4.48035e-05,0.159454
0.02,0.000130251,0.159599
0.03,0.000253702,0.159634
0.04,0.000414155,0.159649
0.05,0.000611715,0.159684
0.06,0.000847115,0.159747
0.07,0.0011214,0.159835
0.08,0.00143579,0.159939
0.09,0.00179155,0.160052
0.1,0.00219002,0.160168
0.11,0.00263257,0.160286
0.12,0.00312069,0.160404
0.13,0.00365602,0.160524
0.14,0.00424041,0.160645
0.15,0.00487592,0.160769
0.16,0.00556489,0.160895
0.17,0.00630987,0.161021
0.18,0.00711369,0.161144
0.19,0.00797939,0.161259
0.2,0.0089103,0.161363
0.21,0.00990991,0.161449
0.22,0.010982,0.16151
0.23,0.0121305,0.16154
0.24,0.0133597,0.161533
0.25,0.0146741,0.161482
0.26,0.0160781,0.16138
0.27,0.0175769,0.161219
0.28,0.0191755,0.160993
0.29,0.0208791,0.160694
0.3,0.0226933,0.160312
0.31,0.0246237,0.159839
0.32,0.0266759,0.159264
0.33,0.0288555,0.158577
0.34,0.0311681,0.157765
0.35,0.0336191,0.156815
0.36,0.0362138,0.155714
0.37,0.0389568,0.154446
0.38,0.0418529,0.152997
0.39,0.0449057,0.151352
0.4,0.0481189,0.149494
0.41,0.0514951,0.147408
0.42,0.0550364,0.14508
0.43,0.0587443,0.142494
0.44,0.0626189,0.139636
0.45,0.0666602,0.136492
0.46,0.0708667,0.13305
0.47,0.0752361,0.129298
0.48,0.0797651,0.125225
0.49,0.0844489,0.120821
0.5,0.0892821,0.116077
0.51,0.0942574,0.110986
0.52,0.0993663,0.105543
0.53,0.104599,0.0997422
0.54,0.109943,0.0935811
0.55,0.115386,0.0870588
0.56,0.120913,0.0801763
0.57,0.126506,0.0729373
0.58,0.132147,0.0653475
0.59,0.137817,0.0574158
0.6,0.143492,0.049154
0.61,0.14915,0.0405767
0.62,0.154766,0.0317021
0.63,0.160315,0.0225512
0.64,0.165769,0.0131489
0.65,0.171101,0.00352275
0.66,0.176284,-0.00629667
0.67,0.181289,-0.0162753
0.68,0.186089,-0.0263773
0.69,0.190656,-0.0365637
0.7,0.194964,-0.0467935
0.71,0.198985,-0.0570243
0.72,0.202694,-0.0672113
0.73,0.206066,-0.077309
0.74,0.209077,-0.0872705
0.75,0.211707,-0.0970482
0.76,0.213933,-0.106594
0.77,0.215737,-0.11586
0.78,0.217102,-0.124799
0.79,0.218015,-0.133364
0.8,0.218463,-0.141508
0.81,0.218439,-0.14919
0.82,0.217939,-0.15637
0.83,0.216963,-0.16301
0.84,0.215516,-0.169078
0.85,0.213606,-0.174549
0.86,0.211249,-0.179401
0.87,0.208462,-0.183619
0.88,0.205271,-0.187198
0.89,0.201702,-0.190135
0.9,0.197787,-0.192439
0.91,0.19356,-0.194121
0.92,0.189057,-0.195202
0.93,0.184315,-0.195704
0.94,0.179372,-0.195658
0.95,0.174266,-0.195095
0.96,0.169031,-0.19405
0.97,0.163702,-0.19256
0.98,0.158311,-0.190661
0.99,0.152888,-0.188391
1,0.147461,-0.185788
1.01,0.142053,-0.182889
1.02,0.136689,-0.17973
1.03,0.13139,-0.176348
1.04,0.126175,-0.17278
1.05,0.121061,-0.16906
1.06,0.116066,-0.165223
1.07,0.111203,-0.161302
1.08,0.106485,-0.157328
1.09,0.101921,-0.153331
1.1,0.0975185,-0.149335
1.11,0.0932821,-0.145363
1.12,0.0892131,-0.141432
1.13,0.08531,-0.137552
1.14,0.0815688,-0.133734
1.15,0.0779837,-0.12998
1.16,0.074548,-0.126292
1.17,0.0712546,-0.12267
1.18,0.0680972,-0.119117
1.19,0.0650712,-0.115633
1.2,0.0621738,-0.112225
1.21,0.0594043,-0.108903
1.22,0.0567638,-0.105678
1.23,0.0542542,-0.102564
1.24,0.0518768,-0.0995763
1.25,0.0496316,-0.0967241
1.26,0.0475155,-0.0940127
1.27,0.0455216,-0.0914392
1.28,0.0436395,-0.0889921
1.29,0.041855,-0.0866519
1.3,0.0401529,-0.0843942
1.31,0.038518,-0.0821935
1.32,0.0369385,-0.0800291
1.33,0.0354076,-0.0778906
1.34,0.0339254,-0.0757814
1.35,0.0324985,-0.0737204
1.36,0.0311386,-0.0717386
1.37,0.0298593,-0.0698735
1.38,0.0286716,-0.0681592
1.39,0.0275806,-0.0666167
1.4,0.0265834,-0.0652486
1.41,0.0256697,-0.0640391
1.42,0.0248267,-0.062965
1.43,0.0240469,-0.0620146
1.44,0.0233369,-0.0612123
1.45,0.0227226,-0.0606363
1.46,0.0222483,-0.0604198
1.47,0.0219639,-0.0607215
1.48,0.0219035,-0.0616673
1.49,0.0220629,-0.0632817
1.5,0.0223919,-0.0654574
1.51,0.0228243,-0.0680319
1.52,0.0233569,-0.0710203
1.53,0.0241542,-0.0749614
1.54,0.0256057,-0.0811522
1.55,0.0282333,-0.0914317
1.56,0.0325255,-0.107694
1.57,0.039599,-0.134136
1.58,0.0561577,-0.194647
