# 20240823_144759
alpha,Df0Re,Df0Im
0,0,-0.159012
0.01,4.48035e-05,-0.159543
0.02,0.000130251,-0.15986
0.03,0.000253702,-0.160141
0.04,0.000414155,-0.160477
0.05,0.000611715,-0.160907
0.06,0.000847115,-0.161441
0.07,0.0011214,-0.162077
0.08,0.00143579,-0.16281
0.09,0.00179155,-0.163635
0.1,0.00219002,-0.164548
0.11,0.00263257,-0.165551
0.12,0.00312069,-0.166646
0.13,0.00365602,-0.167836
0.14,0.00424041,-0.169126
0.15,0.00487592,-0.170521
0.16,0.00556489,-0.172025
0.17,0.00630987,-0.17364
0.18,0.00711369,-0.175371
0.19,0.00797939,-0.177218
0.2,0.0089103,-0.179184
0.21,0.00990991,-0.181268
0.22,0.010982,-0.183474
0.23,0.0121305,-0.185801
0.24,0.0133597,-0.188253
0.25,0.0146741,-0.19083
0.26,0.0160781,-0.193536
0.27,0.0175769,-0.196373
0.28,0.0191755,-0.199344
0.29,0.0208791,-0.202452
0.3,0.0226933,-0.205699
0.31,0.0246237,-0.209086
0.32,0.0266759,-0.212616
0.33,0.0288555,-0.216288
0.34,0.0311681,-0.220101
0.35,0.0336191,-0.224053
0.36,0.0362138,-0.228141
0.37,0.0389568,-0.232359
0.38,0.0418529,-0.236703
0.39,0.0449057,-0.241163
0.4,0.0481189,-0.245731
0.41,0.0514951,-0.250398
0.42,0.0550364,-0.255153
0.43,0.0587443,-0.259982
0.44,0.0626189,-0.264873
0.45,0.0666602,-0.269812
0.46,0.0708667,-0.274783
0.47,0.0752361,-0.27977
0.48,0.0797651,-0.284754
0.49,0.0844489,-0.289718
0.5,0.0892821,-0.294641
0.51,0.0942574,-0.299501
0.52,0.0993663,-0.304275
0.53,0.104599,-0.308939
0.54,0.109943,-0.313467
0.55,0.115386,-0.317831
0.56,0.120913,-0.322001
0.57,0.126506,-0.325949
0.58,0.132147,-0.329642
0.59,0.137817,-0.333049
0.6,0.143492,-0.336138
0.61,0.14915,-0.338877
0.62,0.154766,-0.341235
0.63,0.160315,-0.343181
0.64,0.165769,-0.344686
0.65,0.171101,-0.345725
0.66,0.176284,-0.346271
0.67,0.181289,-0.346303
0.68,0.186089,-0.345801
0.69,0.190656,-0.34475
0.7,0.194964,-0.343134
0.71,0.198985,-0.340945
0.72,0.202694,-0.338176
0.73,0.206066,-0.334823
0.74,0.209077,-0.330885
0.75,0.211707,-0.326366
0.76,0.213933,-0.321272
0.77,0.215737,-0.315614
0.78,0.217102,-0.309406
0.79,0.218015,-0.302667
0.8,0.218463,-0.295419
0.81,0.218439,-0.287689
0.82,0.217939,-0.27951
0.83,0.216963,-0.270917
0.84,0.215516,-0.261954
0.85,0.213606,-0.252664
0.86,0.211249,-0.243097
0.87,0.208462,-0.233306
0.88,0.205271,-0.223344
0.89,0.201702,-0.213269
0.9,0.197787,-0.203135
0.91,0.19356,-0.192999
0.92,0.189057,-0.182912
0.93,0.184315,-0.172927
0.94,0.179372,-0.163087
0.95,0.174266,-0.153437
0.96,0.169031,-0.144012
0.97,0.163702,-0.134845
0.98,0.158311,-0.125962
0.99,0.152888,-0.117386
1,0.147461,-0.109134
1.01,0.142053,-0.101218
1.02,0.136689,-0.0936488
1.03,0.13139,-0.0864316
1.04,0.126175,-0.0795696
1.05,0.121061,-0.0730631
1.06,0.116066,-0.0669098
1.07,0.111203,-0.061105
1.08,0.106485,-0.0556418
1.09,0.101921,-0.0505111
1.1,0.0975185,-0.0457019
1.11,0.0932821,-0.0412013
1.12,0.0892131,-0.036995
1.13,0.08531,-0.0330679
1.14,0.0815688,-0.0294042
1.15,0.0779837,-0.0259882
1.16,0.074548,-0.0228046
1.17,0.0712546,-0.019839
1.18,0.0680972,-0.0170782
1.19,0.0650712,-0.0145099
1.2,0.0621738,-0.0121228
1.21,0.0594043,-0.0099064
1.22,0.0567638,-0.00785033
1.23,0.0542542,-0.00594427
1.24,0.0518768,-0.00417758
1.25,0.0496316,-0.00253932
1.26,0.0475155,-0.00101846
1.27,0.0455216,0.000395705
1.28,0.0436395,0.00171297
1.29,0.041855,0.00294164
1.3,0.0401529,0.00408818
1.31,0.038518,0.00515722
1.32,0.0369385,0.00615198
1.33,0.0354076,0.00707523
1.34,0.0339254,0.00793051
1.35,0.0324985,0.00872316
1.36,0.0311386,0.00946114
1.37,0.0298593,0.0101548
1.38,0.0286716,0.0108159
1.39,0.0275806,0.0114554
1.4,0.0265834,0.0120817
1.41,0.0256697,0.0126997
1.42,0.0248267,0.0133115
1.43,0.0240469,0.0139206
1.44,0.0233369,0.0145383
1.45,0.0227226,0.0151909
1.46,0.0222483,0.0159231
1.47,0.0219639,0.0167937
1.48,0.0219035,0.0178601
1.49,0.0220629,0.0191557
1.5,0.0223919,0.0206736
1.51,0.0228243,0.022383
1.52,0.0233569,0.0243063
1.53,0.0241542,0.0266528
1.54,0.0256057,0.0299407
1.55,0.0282333,0.034965
1.56,0.0325255,0.0426432
1.57,0.039599,0.054938
1.58,0.0561577,0.0823271
