# 20240823_144954
alpha,f0Re,f0Im
0,0.090366,-0.127797
0.01,0.090366,-0.127797
0.02,0.090366,-0.127797
0.03,0.0903659,-0.127797
0.04,0.0903657,-0.127796
0.05,0.0903654,-0.127796
0.06,0.0903648,-0.127795
0.07,0.0903638,-0.127794
0.08,0.0903625,-0.127792
0.09,0.0903605,-0.127789
0.1,0.0903578,-0.127785
0.11,0.0903542,-0.12778
0.12,0.0903496,-0.127774
0.13,0.0903436,-0.127765
0.14,0.0903362,-0.127755
0.15,0.0903269,-0.127742
0.16,0.0903156,-0.127726
0.17,0.0903018,-0.127706
0.18,0.0902854,-0.127683
0.19,0.0902658,-0.127655
0.2,0.0902425,-0.127622
0.21,0.0902153,-0.127584
0.22,0.0901834,-0.127539
0.23,0.0901464,-0.127486
0.24,0.0901035,-0.127426
0.25,0.0900541,-0.127356
0.26,0.0899974,-0.127276
0.27,0.0899325,-0.127184
0.28,0.0898585,-0.127079
0.29,0.0897744,-0.12696
0.3,0.0896791,-0.126825
0.31,0.0895715,-0.126673
0.32,0.0894502,-0.126502
0.33,0.0893138,-0.126309
0.34,0.0891609,-0.126093
0.35,0.0889899,-0.125851
0.36,0.0887991,-0.125581
0.37,0.0885867,-0.125281
0.38,0.0883509,-0.124947
0.39,0.0880895,-0.124577
0.4,0.0878005,-0.124169
0.41,0.0874818,-0.123718
0.42,0.0871309,-0.123222
0.43,0.0867456,-0.122677
0.44,0.0863234,-0.12208
0.45,0.0858619,-0.121427
0.46,0.0853584,-0.120715
0.47,0.0848103,-0.11994
0.48,0.0842151,-0.119098
0.49,0.0835701,-0.118186
0.5,0.0828727,-0.1172
0.51,0.0821202,-0.116135
0.52,0.0813101,-0.11499
0.53,0.0804399,-0.113759
0.54,0.079507,-0.11244
0.55,0.0785092,-0.111029
0.56,0.0774442,-0.109523
0.57,0.0763098,-0.107918
0.58,0.075104,-0.106213
0.59,0.0738252,-0.104405
0.6,0.0724717,-0.10249
0.61,0.0710421,-0.100469
0.62,0.0695354,-0.0983379
0.63,0.0679508,-0.096097
0.64,0.0662878,-0.0937451
0.65,0.0645462,-0.0912821
0.66,0.0627262,-0.0887082
0.67,0.0608282,-0.0860241
0.68,0.0588534,-0.0832312
0.69,0.0568029,-0.0803315
0.7,0.0546785,-0.077327
0.71,0.0524823,-0.0742211
0.72,0.0502167,-0.0710172
0.73,0.0478848,-0.0677193
0.74,0.0454898,-0.0643322
0.75,0.0430353,-0.0608611
0.76,0.0405254,-0.0573115
0.77,0.0379645,-0.0536899
0.78,0.0353572,-0.0500027
0.79,0.0327086,-0.0462569
0.8,0.0300238,-0.0424601
0.81,0.0273083,-0.0386197
0.82,0.0245677,-0.034744
0.83,0.0218079,-0.030841
0.84,0.0190346,-0.026919
0.85,0.0162539,-0.0229864
0.86,0.0134716,-0.0190517
0.87,0.0106936,-0.015123
0.88,0.00792573,-0.0112087
0.89,0.0051736,-0.00731657
0.9,0.00244261,-0.00345438
0.91,-0.000262031,0.000370567
0.92,-0.00293547,0.00415138
0.93,-0.00557313,0.0078816
0.94,-0.00817081,0.0115553
0.95,-0.0107247,0.015167
0.96,-0.0132314,0.018712
0.97,-0.0156878,0.022186
0.98,-0.0180915,0.0255852
0.99,-0.0204402,0.0289068
1,-0.0227321,0.0321481
1.01,-0.0249659,0.0353072
1.02,-0.0271407,0.0383828
1.03,-0.0292558,0.0413739
1.04,-0.0313109,0.0442803
1.05,-0.0333061,0.0471019
1.06,-0.0352416,0.0498392
1.07,-0.0371181,0.052493
1.08,-0.0389364,0.0550643
1.09,-0.0406973,0.0575547
1.1,-0.0424022,0.0599657
1.11,-0.0440521,0.062299
1.12,-0.0456484,0.0645566
1.13,-0.0471926,0.0667405
1.14,-0.0486862,0.0688526
1.15,-0.0501305,0.0708952
1.16,-0.0515271,0.0728703
1.17,-0.0528774,0.07478
1.18,-0.0541831,0.0766265
1.19,-0.0554456,0.0784119
1.2,-0.0566664,0.0801384
1.21,-0.0578471,0.0818082
1.22,-0.0589893,0.0834234
1.23,-0.0600944,0.0849863
1.24,-0.061164,0.0864989
1.25,-0.0621996,0.0879635
1.26,-0.0632026,0.089382
1.27,-0.0641744,0.0907564
1.28,-0.0651164,0.0920885
1.29,-0.0660297,0.0933801
1.3,-0.0669154,0.0946326
1.31,-0.0677745,0.0958477
1.32,-0.0686081,0.0970265
1.33,-0.069417,0.0981704
1.34,-0.0702021,0.0992808
1.35,-0.0709644,0.100359
1.36,-0.0717048,0.101406
1.37,-0.0724241,0.102423
1.38,-0.0731233,0.103412
1.39,-0.0738032,0.104373
1.4,-0.0744644,0.105309
1.41,-0.0751076,0.106218
1.42,-0.0757334,0.107103
1.43,-0.0763422,0.107964
1.44,-0.0769347,0.108802
1.45,-0.0775113,0.109617
1.46,-0.0780726,0.110411
1.47,-0.0786194,0.111185
1.48,-0.0791519,0.111938
1.49,-0.0796707,0.112671
1.5,-0.0801759,0.113386
1.51,-0.0806677,0.114081
1.52,-0.0811465,0.114758
1.53,-0.0816125,0.115418
1.54,-0.0820661,0.116059
1.55,-0.082507,0.116683
1.56,-0.082935,0.117288
1.57,-0.0833493,0.117874
1.58,-0.0837427,0.11843
