# 20240822_172429
# initdata:	data/init_comp_piplus_composed_consteps_20240822_145647/init8.csv
# particle mass:	0.14
# NpT:	100
# pTmax:	1
# epsabs:	0
# epsrel:	1e-05
# integr iter:	10000
pT,abs2Re,abs2Im
0,54402.4,0
0.010101,51773.8,0
0.020202,44576.3,0
0.030303,34593.9,0
0.040404,24022,0
0.0505051,14737.6,0
0.0606061,7842.36,0
0.0707071,3578.53,0
0.0808081,1520.52,0
0.0909091,886.218,0
0.10101,858.423,0
0.111111,851.046,0
0.121212,645.597,0
0.131313,336.088,0
0.141414,117.749,0
0.151515,74.9122,0
0.161616,127.55,0
0.171717,146.509,0
0.181818,90.2562,0
0.191919,19.7184,0
0.20202,1.41231,0
0.212121,28.8507,0
0.222222,47.1993,0
0.232323,30.3536,0
0.242424,6.86971,0
0.252525,12.2393,0
0.262626,40.2982,0
0.272727,55.366,0
0.282828,40.1523,0
0.292929,13.4371,0
0.30303,0.988483,0
0.313131,4.83295,0
0.323232,9.03936,0
0.333333,5.63657,0
0.343434,2.27841,0
0.353535,6.08567,0
0.363636,11.7302,0
0.373737,10.4363,0
0.383838,3.76741,0
0.393939,1.19919,0
0.40404,6.30268,0
0.414141,12.1684,0
0.424242,11.4445,0
0.434343,5.54658,0
0.444444,1.02662,0
0.454545,0.428207,0
0.464646,0.917291,0
0.474747,0.503811,0
0.484848,1.02907,0
0.494949,3.99042,0
0.505051,6.89309,0
0.515152,6.28525,0
0.525253,2.76459,0
0.535354,0.328348,0
0.545455,1.12729,0
0.555556,3.18476,0
0.565657,3.70892,0
0.575758,2.62491,0
0.585859,1.64836,0
0.59596,1.32897,0
0.606061,0.821153,0
0.616162,0.0792122,0
0.626263,0.388198,0
0.636364,2.23652,0
0.646465,4.02815,0
0.656566,3.88654,0
0.666667,2.02488,0
0.676768,0.348849,0
0.686869,0.0476558,0
0.69697,0.582737,0
0.707071,1.02154,0
0.717172,1.30152,0
0.727273,1.70237,0
0.737374,1.88158,0
0.747475,1.30348,0
0.757576,0.339216,0
0.767677,0.0824655,0
0.777778,0.936904,0
0.787879,2.00996,0
0.79798,2.2065,0
0.808081,1.47816,0
0.818182,0.616782,0
0.828283,0.164809,0
0.838384,0.052412,0
0.848485,0.161724,0
0.858586,0.621875,0
0.868687,1.35029,0
0.878788,1.77356,0
0.888889,1.41261,0
0.89899,0.564488,0
0.909091,0.0293844,0
0.919192,0.198554,0
0.929293,0.713658,0
0.939394,1.03759,0
0.949495,1.03418,0
0.959596,0.857521,0
0.969697,0.577036,0
0.979798,0.213423,0
0.989899,0.000568521,0
1,0.248622,0
