# 20240822_172603
alpha,Dfield0Re,Dfield0Im
0,0.112438,0
0.00157237,0.112499,-9.55084e-06
0.00314474,0.112563,-1.85852e-05
0.00471711,0.112627,-2.75642e-05
0.00628947,0.112689,-3.69491e-05
0.00786184,0.112746,-4.7201e-05
0.00943421,0.112798,-5.87811e-05
0.0110066,0.112841,-7.22551e-05
0.0125789,0.112881,-8.80854e-05
0.0141513,0.112916,-0.000105956
0.0157237,0.11295,-0.000125501
0.0172961,0.112982,-0.000146352
0.0188684,0.113015,-0.000168144
0.0204408,0.113047,-0.000190577
0.0220132,0.113079,-0.000214534
0.0235855,0.11311,-0.000240239
0.0251579,0.11314,-0.00026748
0.0267303,0.11317,-0.000296048
0.0283026,0.113201,-0.000325733
0.029875,0.113234,-0.000356324
0.0314474,0.113269,-0.000388079
0.0330197,0.113304,-0.000421463
0.0345921,0.11334,-0.000456337
0.0361645,0.113377,-0.00049256
0.0377368,0.113416,-0.000529991
0.0393092,0.113456,-0.00056849
0.0408816,0.113498,-0.000608039
0.042454,0.113542,-0.000649109
0.0440263,0.113588,-0.000691671
0.0455987,0.113636,-0.000735617
0.0471711,0.113686,-0.000780843
0.0487434,0.113737,-0.000827242
0.0503158,0.113789,-0.000874722
0.0518882,0.113844,-0.000923604
0.0534605,0.1139,-0.000974004
0.0550329,0.113959,-0.00102584
0.0566053,0.11402,-0.00107901
0.0581776,0.114082,-0.00113345
0.05975,0.114146,-0.00118906
0.0613224,0.114211,-0.00124595
0.0628947,0.114279,-0.00130439
0.0644671,0.114348,-0.00136431
0.0660395,0.114419,-0.00142565
0.0676119,0.114492,-0.00148832
0.0691842,0.114567,-0.00155225
0.0707566,0.114643,-0.00161743
0.072329,0.11472,-0.00168415
0.0739013,0.1148,-0.00175241
0.0754737,0.114881,-0.00182214
0.0770461,0.114964,-0.00189328
0.0786184,0.115049,-0.00196577
0.0801908,0.115135,-0.00203953
0.0817632,0.115222,-0.00211477
0.0833355,0.115311,-0.00219161
0.0849079,0.115402,-0.00226999
0.0864803,0.115495,-0.00234985
0.0880526,0.115589,-0.00243112
0.089625,0.115684,-0.00251374
0.0911974,0.115781,-0.00259778
0.0927698,0.11588,-0.00268346
0.0943421,0.11598,-0.00277074
0.0959145,0.116082,-0.00285956
0.0974869,0.116185,-0.00294987
0.0990592,0.11629,-0.00304161
0.100632,0.116396,-0.00313476
0.102204,0.116504,-0.00322954
0.103776,0.116613,-0.00332599
0.105349,0.116725,-0.00342404
0.106921,0.116837,-0.00352365
0.108493,0.116951,-0.00362476
0.110066,0.117067,-0.00372734
0.111638,0.117184,-0.00383151
0.113211,0.117303,-0.00393741
0.114783,0.117424,-0.00404498
0.116355,0.117547,-0.00415418
0.117928,0.11767,-0.00426497
0.1195,0.117796,-0.00437729
0.121072,0.117923,-0.00449118
0.122645,0.118052,-0.00460684
0.124217,0.118183,-0.00472425
0.125789,0.118315,-0.00484336
0.127362,0.118449,-0.00496413
0.128934,0.118585,-0.00508653
0.130507,0.118722,-0.00521052
0.132079,0.118861,-0.0053363
0.133651,0.119002,-0.0054639
0.135224,0.119145,-0.00559328
0.136796,0.11929,-0.0057244
0.138368,0.119436,-0.00585724
0.139941,0.119584,-0.00599175
0.141513,0.119734,-0.00612803
0.143086,0.119886,-0.00626621
0.144658,0.12004,-0.00640626
0.14623,0.120196,-0.00654815
0.147803,0.120353,-0.00669184
0.149375,0.120513,-0.0068373
0.150947,0.120674,-0.00698454
0.15252,0.120837,-0.00713376
0.154092,0.121002,-0.00728493
0.155665,0.121169,-0.00743803
0.157237,0.121338,-0.00759304
0.158809,0.121509,-0.00774991
0.160382,0.121682,-0.00790864
0.161954,0.121857,-0.00806937
0.163526,0.122033,-0.00823216
0.165099,0.122212,-0.00839698
0.166671,0.122393,-0.00856381
0.168243,0.122576,-0.00873261
0.169816,0.122761,-0.00890337
0.171388,0.122947,-0.00907616
0.172961,0.123136,-0.00925111
0.174533,0.123327,-0.00942821
0.176105,0.12352,-0.00960742
0.177678,0.123715,-0.00978872
0.17925,0.123911,-0.00997209
0.180822,0.12411,-0.0101575
0.182395,0.124311,-0.0103452
