# 20240823_150244
alpha,utauRe,utauIm
0,0.999093,0
0.00157237,0.999267,0
0.00314474,0.999433,0
0.00471711,0.999581,0
0.00628947,0.999716,0
0.00786184,0.99984,0
0.00943421,0.999955,0
0.0110066,1.00006,0
0.0125789,1.00016,0
0.0141513,1.00025,0
0.0157237,1.00034,0
0.0172961,1.00043,0
0.0188684,1.00051,0
0.0204408,1.00059,0
0.0220132,1.00066,0
0.0235855,1.00074,0
0.0251579,1.00082,0
0.0267303,1.00089,0
0.0283026,1.00097,0
0.029875,1.00105,0
0.0314474,1.00112,0
0.0330197,1.0012,0
0.0345921,1.00129,0
0.0361645,1.00137,0
0.0377368,1.00146,0
0.0393092,1.00155,0
0.0408816,1.00165,0
0.042454,1.00174,0
0.0440263,1.00184,0
0.0455987,1.00195,0
0.0471711,1.00206,0
0.0487434,1.00217,0
0.0503158,1.00228,0
0.0518882,1.0024,0
0.0534605,1.00252,0
0.0550329,1.00265,0
0.0566053,1.00278,0
0.0581776,1.00291,0
0.05975,1.00305,0
0.0613224,1.00319,0
0.0628947,1.00334,0
0.0644671,1.00349,0
0.0660395,1.00364,0
0.0676119,1.0038,0
0.0691842,1.00396,0
0.0707566,1.00412,0
0.072329,1.00429,0
0.0739013,1.00446,0
0.0754737,1.00464,0
0.0770461,1.00482,0
0.0786184,1.005,0
0.0801908,1.00518,0
0.0817632,1.00537,0
0.0833355,1.00557,0
0.0849079,1.00576,0
0.0864803,1.00596,0
0.0880526,1.00616,0
0.089625,1.00637,0
0.0911974,1.00658,0
0.0927698,1.00679,0
0.0943421,1.00701,0
0.0959145,1.00723,0
0.0974869,1.00745,0
0.0990592,1.00768,0
0.100632,1.0079,0
0.102204,1.00814,0
0.103776,1.00837,0
0.105349,1.00861,0
0.106921,1.00885,0
0.108493,1.00909,0
0.110066,1.00934,0
0.111638,1.00959,0
0.113211,1.00985,0
0.114783,1.0101,0
0.116355,1.01036,0
0.117928,1.01063,0
0.1195,1.01089,0
0.121072,1.01116,0
0.122645,1.01143,0
0.124217,1.01171,0
0.125789,1.01199,0
0.127362,1.01227,0
0.128934,1.01255,0
0.130507,1.01284,0
0.132079,1.01313,0
0.133651,1.01343,0
0.135224,1.01373,0
0.136796,1.01403,0
0.138368,1.01433,0
0.139941,1.01464,0
0.141513,1.01495,0
0.143086,1.01526,0
0.144658,1.01558,0
0.14623,1.0159,0
0.147803,1.01623,0
0.149375,1.01655,0
0.150947,1.01688,0
0.15252,1.01722,0
0.154092,1.01756,0
0.155665,1.0179,0
0.157237,1.01824,0
0.158809,1.01859,0
0.160382,1.01894,0
0.161954,1.0193,0
0.163526,1.01965,0
0.165099,1.02002,0
0.166671,1.02038,0
0.168243,1.02075,0
0.169816,1.02112,0
0.171388,1.0215,0
0.172961,1.02188,0
0.174533,1.02226,0
0.176105,1.02265,0
0.177678,1.02304,0
0.17925,1.02343,0
0.180822,1.02383,0
0.182395,1.02423,0
0.183967,1.02463,0
0.18554,1.02504,0
0.187112,1.02545,0
0.188684,1.02587,0
0.190257,1.02629,0
0.191829,1.02671,0
0.193401,1.02713,0
0.194974,1.02756,0
0.196546,1.028,0
0.198118,1.02843,0
0.199691,1.02887,0
0.201263,1.02932,0
0.202836,1.02976,0
0.204408,1.03021,0
0.20598,1.03067,0
0.207553,1.03113,0
0.209125,1.03159,0
0.210697,1.03205,0
0.21227,1.03252,0
0.213842,1.03299,0
0.215415,1.03347,0
0.216987,1.03395,0
0.218559,1.03443,0
0.220132,1.03492,0
0.221704,1.03541,0
0.223276,1.0359,0
0.224849,1.0364,0
0.226421,1.0369,0
0.227993,1.0374,0
0.229566,1.03791,0
0.231138,1.03842,0
0.232711,1.03894,0
0.234283,1.03945,0
0.235855,1.03997,0
0.237428,1.0405,0
0.239,1.04103,0
0.240572,1.04156,0
0.242145,1.04209,0
0.243717,1.04263,0
0.24529,1.04317,0
0.246862,1.04372,0
0.248434,1.04427,0
0.250007,1.04482,0
0.251579,1.04538,0
0.253151,1.04594,0
0.254724,1.0465,0
0.256296,1.04706,0
0.257868,1.04763,0
0.259441,1.04821,0
0.261013,1.04878,0
0.262586,1.04936,0
0.264158,1.04994,0
0.26573,1.05053,0
0.267303,1.05112,0
0.268875,1.05171,0
0.270447,1.05231,0
0.27202,1.05291,0
0.273592,1.05351,0
0.275165,1.05412,0
0.276737,1.05473,0
0.278309,1.05534,0
0.279882,1.05596,0
0.281454,1.05658,0
0.283026,1.0572,0
0.284599,1.05783,0
0.286171,1.05846,0
0.287743,1.05909,0
0.289316,1.05973,0
0.290888,1.06037,0
0.292461,1.06101,0
0.294033,1.06166,0
0.295605,1.06231,0
0.297178,1.06296,0
0.29875,1.06361,0
0.300322,1.06427,0
0.301895,1.06494,0
0.303467,1.0656,0
0.30504,1.06627,0
0.306612,1.06695,0
0.308184,1.06762,0
0.309757,1.0683,0
0.311329,1.06898,0
0.312901,1.06967,0
0.314474,1.07036,0
0.316046,1.07105,0
0.317618,1.07175,0
0.319191,1.07245,0
0.320763,1.07315,0
0.322336,1.07386,0
0.323908,1.07456,0
0.32548,1.07528,0
0.327053,1.07599,0
0.328625,1.07671,0
0.330197,1.07743,0
0.33177,1.07816,0
0.333342,1.07889,0
0.334915,1.07962,0
0.336487,1.08035,0
0.338059,1.08109,0
0.339632,1.08183,0
0.341204,1.08258,0
0.342776,1.08333,0
0.344349,1.08408,0
0.345921,1.08483,0
0.347493,1.08559,0
0.349066,1.08635,0
0.350638,1.08711,0
0.352211,1.08788,0
0.353783,1.08865,0
0.355355,1.08942,0
0.356928,1.0902,0
0.3585,1.09098,0
0.360072,1.09176,0
0.361645,1.09255,0
0.363217,1.09334,0
0.36479,1.09413,0
