# 20240822_175228
# initdata:	data/init_comp_piplus_constfield_20240822_174903/init6.csv
# particle mass:	0.14
# NpT:	100
# pTmax:	1
# epsabs:	0
# epsrel:	1e-05
# integr iter:	10000
pT,abs2Re,abs2Im
0,184276,0
0.010101,173618,0
0.020202,145804,0
0.030303,110629,0
0.040404,77731.9,0
0.0505051,52269,0
0.0606061,34523,0
0.0707071,22343.4,0
0.0808081,13708.8,0
0.0909091,7751.25,0
0.10101,4325.81,0
0.111111,3106.95,0
0.121212,3142.86,0
0.131313,3231.55,0
0.141414,2709.82,0
0.151515,1813.03,0
0.161616,1188.21,0
0.171717,1092.13,0
0.181818,1168.08,0
0.191919,972.877,0
0.20202,520.259,0
0.212121,177.035,0
0.222222,143.382,0
0.232323,240.434,0
0.242424,221.652,0
0.252525,106.213,0
0.262626,86.4542,0
0.272727,209.035,0
0.282828,309.092,0
0.292929,255.931,0
0.30303,125.097,0
0.313131,67.6283,0
0.323232,99.8364,0
0.333333,114.908,0
0.343434,60.9723,0
0.353535,6.28759,0
0.363636,18.3015,0
0.373737,62.6166,0
0.383838,67.7155,0
0.393939,36.5696,0
0.40404,31.8855,0
0.414141,71.2767,0
0.424242,99.9311,0
0.434343,75.1278,0
0.444444,26.6995,0
0.454545,7.3751,0
0.464646,18.5463,0
0.474747,22.0926,0
0.484848,7.16396,0
0.494949,3.24031,0
0.505051,26.2603,0
0.515152,49.451,0
0.525253,44.0048,0
0.535354,22.3525,0
0.545455,16.9666,0
0.555556,30.9575,0
0.565657,36.895,0
0.575758,21.1678,0
0.585859,2.97106,0
0.59596,2.34988,0
0.606061,11.2801,0
0.616162,11.2024,0
0.626263,4.52156,0
0.636364,8.88056,0
0.646465,25.7793,0
0.656566,35.3909,0
0.666667,25.7076,0
0.676768,9.88218,0
0.686869,5.82521,0
0.69697,11.1655,0
0.707071,11.0542,0
0.717172,3.27481,0
0.727273,0.348999,0
0.737374,7.72594,0
0.747475,14.6486,0
0.757576,11.7246,0
0.767677,5.90764,0
0.777778,8.90893,0
0.787879,18.086,0
0.79798,20.1321,0
0.808081,11.2038,0
0.818182,2.03274,0
0.828283,1.36118,0
0.838384,4.44895,0
0.848485,3.31571,0
0.858586,0.424146,0
0.868687,3.69616,0
0.878788,12.0616,0
0.888889,15.6441,0
0.89899,10.5206,0
0.909091,4.563,0
0.919192,5.36394,0
0.929293,9.33834,0
0.939394,8.4159,0
0.949495,2.82679,0
0.959596,0.00673501,0
0.969697,2.54521,0
0.979798,4.86423,0
0.989899,3.15459,0
1,1.74759,0
