# 20240822_180039
# initdata:	data/init_comp_piplus_constfield_20240822_174908/init24.csv
# particle mass:	0.14
# NpT:	100
# pTmax:	1
# epsabs:	0
# epsrel:	1e-05
# integr iter:	10000
pT,abs2Re,abs2Im
0,4.57764e+06,0
0.010101,4.30591e+06,0
0.020202,3.59192e+06,0
0.030303,2.68135e+06,0
0.040404,1.83248e+06,0
0.0505051,1.19993e+06,0
0.0606061,799772,0
0.0707071,556855,0
0.0808081,384226,0
0.0909091,238473,0
0.10101,124320,0
0.111111,61132.1,0
0.121212,47913.8,0
0.131313,57342.6,0
0.141414,58954.1,0
0.151515,43953.6,0
0.161616,25909.2,0
0.171717,19842.7,0
0.181818,24928.7,0
0.191919,28476.7,0
0.20202,22540.6,0
0.212121,11821.1,0
0.222222,5479.82,0
0.232323,5679.42,0
0.242424,7036.94,0
0.252525,5167.55,0
0.262626,1816.01,0
0.272727,963.58,0
0.282828,2882.36,0
0.292929,4319.42,0
0.30303,3376.17,0
0.313131,1714.15,0
0.323232,1617.84,0
0.333333,2765.54,0
0.343434,3099.39,0
0.353535,1897.22,0
0.363636,514.06,0
0.373737,222.917,0
0.383838,618.107,0
0.393939,625.449,0
0.40404,190.102,0
0.414141,131.926,0
0.424242,705.989,0
0.434343,1187.08,0
0.444444,973.445,0
0.454545,424.034,0
0.464646,248.322,0
0.474747,495.234,0
0.484848,618.187,0
0.494949,354.595,0
0.505051,45.7873,0
0.515152,39.3499,0
0.525253,192.831,0
0.535354,186.821,0
0.545455,55.0108,0
0.555556,93.8804,0
0.565657,353.103,0
0.575758,528.603,0
0.585859,402.03,0
0.59596,138.72,0
0.606061,25.641,0
0.616162,85.0792,0
0.626263,121.52,0
0.636364,57.5289,0
0.646465,20.5049,0
0.656566,95.3784,0
0.666667,174.76,0
0.676768,136.325,0
0.686869,43.5282,0
0.69697,49.0053,0
0.707071,159.776,0
0.717172,226.844,0
0.727273,161.842,0
0.737374,48.1934,0
0.747475,2.25656,0
0.757576,18.3409,0
0.767677,20.2329,0
0.777778,3.15722,0
0.787879,31.1772,0
0.79798,110.212,0
0.808081,155.455,0
0.818182,110.653,0
0.828283,32.6531,0
0.838384,11.7513,0
0.848485,50.8803,0
0.858586,78.5667,0
0.868687,59.3672,0
0.878788,30.8159,0
0.888889,28.6212,0
0.89899,33.031,0
0.909091,16.3396,0
0.919192,1.15934,0
0.929293,27.9385,0
0.939394,83.6153,0
0.949495,108.34,0
0.959596,74.6668,0
0.969697,22.0613,0
0.979798,0.12394,0
0.989899,8.90751,0
1,17.5879,0
