# 20240823_151155
# initdata:	data/init_comp_piplus_constfield_20240822_174908/init5.csv
# particle mass:	0.14
# NpT:	200
# pTmax:	2
# epsabs:	0
# epsrel:	1e-05
# integr iter:	10000
pT,abs2Re,abs2Im
0,313843,0
0.0100503,294850,0
0.0201005,244785,0
0.0301508,180705,0
0.040201,121140,0
0.0502513,77796.6,0
0.0603015,52227.1,0
0.0703518,38490.5,0
0.080402,29044.2,0
0.0904523,19678.7,0
0.100503,10688.5,0
0.110553,4487.03,0
0.120603,2318.09,0
0.130653,2889.26,0
0.140704,3674.45,0
0.150754,3184.04,0
0.160804,1888.9,0
0.170854,1132.69,0
0.180905,1459.81,0
0.190955,2155.2,0
0.201005,2238.8,0
0.211055,1569.04,0
0.221106,823.501,0
0.231156,585.533,0
0.241206,733.656,0
0.251256,764.847,0
0.261307,482.627,0
0.271357,161.487,0
0.281407,100.502,0
0.291457,240.943,0
0.301508,313.752,0
0.311558,226.337,0
0.321608,143.215,0
0.331658,208.104,0
0.341709,337.202,0
0.351759,352.657,0
0.361809,229.419,0
0.371859,108.045,0
0.38191,89.8175,0
0.39196,120.288,0
0.40201,101.1,0
0.41206,38.3207,0
0.422111,16.1641,0
0.432161,60.7988,0
0.442211,105.089,0
0.452261,93.3285,0
0.462312,58.645,0
0.472362,63.4718,0
0.482412,103.099,0
0.492462,115.928,0
0.502513,75.9374,0
0.512563,26.7813,0
0.522613,15.048,0
0.532663,29.0175,0
0.542714,28.7632,0
0.552764,11.3012,0
0.562814,10.2827,0
0.572864,37.8669,0
0.582915,62.613,0
0.592965,55.5898,0
0.603015,31.7163,0
0.613065,24.9669,0
0.623116,38.2896,0
0.633166,43.3021,0
0.643216,25.6339,0
0.653266,5.12503,0
0.663317,3.90439,0
0.673367,14.7445,0
0.683417,16.5644,0
0.693467,8.80965,0
0.703518,10.3868,0
0.713568,27.1563,0
0.723618,40.3059,0
0.733668,33.3579,0
0.743719,15.7821,0
0.753769,8.10699,0
0.763819,12.8598,0
0.773869,14.7966,0
0.78392,6.8581,0
0.79397,0.397752,0
0.80402,5.73354,0
0.81407,15.4121,0
0.824121,16.1467,0
0.834171,9.47992,0
0.844221,8.64771,0
0.854271,17.2934,0
0.864322,23.4372,0
0.874372,17.4524,0
0.884422,5.99014,0
0.894472,1.43223,0
0.904523,4.36732,0
0.914573,5.51607,0
0.924623,1.9804,0
0.934673,1.39899,0
0.944724,8.3726,0
0.954774,15.7112,0
0.964824,14.632,0
0.974874,7.82036,0
0.984925,5.09544,0
0.994975,8.74183,0
1.00503,11.0136,0
1.01508,6.74462,0
1.02513,1.02115,0
1.03518,0.759507,0
1.04523,4.27613,0
1.05528,5.00086,0
1.06533,2.50858,0
1.07538,2.98537,0
1.08543,8.66713,0
1.09548,13.3045,0
1.10553,10.9883,0
1.11558,4.7041,0
1.12563,1.69657,0
1.13568,3.18456,0
1.14573,3.99559,0
1.15578,1.62916,0
1.16583,0.0208164,0
1.17588,2.59084,0
1.18593,6.28292,0
1.19598,6.21051,0
1.20603,3.35674,0
1.21608,3.0195,0
1.22613,6.44666,0
1.23618,8.75091,0
1.24623,6.23757,0
1.25628,1.76443,0
1.26633,0.215499,0
1.27638,1.53839,0
1.28643,1.93742,0
1.29648,0.566431,0
1.30653,0.764037,0
1.31658,4.11615,0
1.32663,7.17416,0
1.33668,6.27563,0
1.34673,2.97717,0
1.35678,1.66965,0
1.36683,3.1528,0
1.37688,3.98989,0
1.38693,2.19511,0
1.39698,0.16625,0
1.40704,0.606856,0
1.41709,2.29118,0
1.42714,2.35421,0
1.43719,1.1287,0
1.44724,1.62454,0
1.45729,4.45674,0
1.46734,6.37526,0
1.47739,4.86474,0
1.48744,1.77021,0
1.49749,0.495526,0
1.50754,1.25059,0
1.51759,1.50911,0
1.52764,0.442817,0
1.53769,0.118025,0
1.54774,1.79623,0
1.55779,3.55175,0
1.56784,3.13372,0
1.57789,1.50307,0
1.58794,1.37761,0
1.59799,3.03135,0
1.60804,3.88483,0
1.61809,2.44502,0
1.62814,0.452048,0
1.63819,0.100125,0
1.64824,0.885455,0
1.65829,0.909912,0
1.66834,0.230459,0
1.67839,0.738988,0
1.68844,2.81598,0
1.69849,4.25121,0
1.70854,3.32938,0
1.71859,1.35187,0
1.72864,0.708473,0
1.73869,1.49543,0
1.74874,1.77656,0
1.75879,0.800601,0
1.76884,0.0439237,0
1.77889,0.656123,0
1.78894,1.58542,0
1.79899,1.37079,0
1.80905,0.603112,0
1.8191,1.01482,0
1.82915,2.60715,0
1.8392,3.40094,0
1.84925,2.28654,0
1.8593,0.606639,0
1.86935,0.122319,0
1.8794,0.596967,0
1.88945,0.618128,0
1.8995,0.0783805,0
1.90955,0.270902,0
1.9196,1.5591,0
1.92965,2.50424,0
1.9397,1.95666,0
1.94975,0.838911,0
1.9598,0.772034,0
1.96985,1.67173,0
1.9799,1.97761,0
1.98995,1.07368,0
2,0.121433,0
