# 20240822_175913
# initdata:	data/init_comp_piplus_constfield_20240822_174908/init17.csv
# particle mass:	0.14
# NpT:	100
# pTmax:	1
# epsabs:	0
# epsrel:	1e-05
# integr iter:	10000
pT,abs2Re,abs2Im
0,2.37328e+06,0
0.010101,2.2309e+06,0
0.020202,1.85761e+06,0
0.030303,1.3835e+06,0
0.040404,944019,0
0.0505051,618353,0
0.0606061,412589,0
0.0707071,286462,0
0.0808081,195573,0
0.0909091,119119,0
0.10101,60537.3,0
0.111111,29382.9,0
0.121212,23904.9,0
0.131313,29212.1,0
0.141414,29793.6,0
0.151515,21818.1,0
0.161616,12664.2,0
0.171717,9873.83,0
0.181818,12647.1,0
0.191919,14367.6,0
0.20202,11162,0
0.212121,5631.47,0
0.222222,2443.08,0
0.232323,2578.21,0
0.242424,3259.31,0
0.252525,2328.33,0
0.262626,715.701,0
0.272727,383.172,0
0.282828,1389.84,0
0.292929,2091.18,0
0.30303,1590.99,0
0.313131,762.024,0
0.323232,732.153,0
0.333333,1312.9,0
0.343434,1480.4,0
0.353535,891.153,0
0.363636,214.232,0
0.373737,64.6282,0
0.383838,245.398,0
0.393939,249.573,0
0.40404,59.0774,0
0.414141,56.4995,0
0.424242,343.706,0
0.434343,567.773,0
0.444444,453.252,0
0.454545,182.929,0
0.464646,95.1966,0
0.474747,211.643,0
0.484848,276.361,0
0.494949,165.443,0
0.505051,30.0595,0
0.515152,23.6207,0
0.525253,82.9222,0
0.535354,72.6015,0
0.545455,15.6627,0
0.555556,43.1511,0
0.565657,168.071,0
0.575758,248.378,0
0.585859,187.811,0
0.59596,63.7172,0
0.606061,6.31101,0
0.616162,28.7923,0
0.626263,48.4938,0
0.636364,30.377,0
0.646465,22.8508,0
0.656566,55.6165,0
0.666667,82.4397,0
0.676768,57.6686,0
0.686869,14.7302,0
0.69697,19.2019,0
0.707071,70.8597,0
0.717172,103.885,0
0.727273,79.2246,0
0.737374,30.0596,0
0.747475,4.94946,0
0.757576,5.44967,0
0.767677,5.39806,0
0.777778,3.91559,0
0.787879,22.3717,0
0.79798,57.2894,0
0.808081,72.8912,0
0.818182,49.5177,0
0.828283,13.521,0
0.838384,2.85929,0
0.848485,19.638,0
0.858586,35.5244,0
0.868687,33.9491,0
0.878788,25.0626,0
0.888889,20.488,0
0.89899,15.5419,0
0.909091,5.11935,0
0.919192,0.526144,0
0.929293,14.9877,0
0.939394,39.7196,0
0.949495,50.1712,0
0.959596,36.0726,0
0.969697,12.8976,0
0.979798,0.663173,0
0.989899,2.18449,0
1,8.0962,0
