# 20240822_164314
alpha,f0Re,f0Im
0,0.0404129,0
0.01,0.040447,0
0.02,0.0405118,0
0.03,0.0406053,0
0.04,0.0407265,0
0.05,0.0408753,0
0.06,0.0410518,0
0.07,0.0412566,0
0.08,0.0414899,0
0.09,0.0417524,0
0.1,0.0420444,0
0.11,0.0423664,0
0.12,0.0427188,0
0.13,0.043102,0
0.14,0.0435164,0
0.15,0.0439626,0
0.16,0.0444412,0
0.17,0.0449527,0
0.18,0.0454981,0
0.19,0.046078,0
0.2,0.0466934,0
0.21,0.0473452,0
0.22,0.0480345,0
0.23,0.0487624,0
0.24,0.0495298,0
0.25,0.0503379,0
0.26,0.0511878,0
0.27,0.0520805,0
0.28,0.053017,0
0.29,0.0539984,0
0.3,0.0550255,0
0.31,0.0560993,0
0.32,0.0572205,0
0.33,0.0583899,0
0.34,0.0596079,0
0.35,0.060875,0
0.36,0.0621914,0
0.37,0.0635573,0
0.38,0.0649725,0
0.39,0.0664367,0
0.4,0.0679493,0
0.41,0.0695093,0
0.42,0.0711158,0
0.43,0.0727672,0
0.44,0.0744618,0
0.45,0.0761977,0
0.46,0.0779723,0
0.47,0.0797831,0
0.48,0.0816271,0
0.49,0.0835008,0
0.5,0.0854008,0
0.51,0.0873231,0
0.52,0.0892633,0
0.53,0.091217,0
0.54,0.0931793,0
0.55,0.0951453,0
0.56,0.0971094,0
0.57,0.0990661,0
0.58,0.10101,0
0.59,0.102934,0
0.6,0.104833,0
0.61,0.106699,0
0.62,0.108528,0
0.63,0.110311,0
0.64,0.112043,0
0.65,0.113717,0
0.66,0.115325,0
0.67,0.116862,0
0.68,0.118321,0
0.69,0.119695,0
0.7,0.120979,0
0.71,0.122167,0
0.72,0.123253,0
0.73,0.124233,0
0.74,0.125101,0
0.75,0.125854,0
0.76,0.126487,0
0.77,0.126999,0
0.78,0.127386,0
0.79,0.127646,0
0.8,0.127779,0
0.81,0.127783,0
0.82,0.127659,0
0.83,0.127408,0
0.84,0.127031,0
0.85,0.12653,0
0.86,0.125909,0
0.87,0.125169,0
0.88,0.124316,0
0.89,0.123354,0
0.9,0.122287,0
0.91,0.121121,0
0.92,0.119862,0
0.93,0.118516,0
0.94,0.117088,0
0.95,0.115586,0
0.96,0.114015,0
0.97,0.112382,0
0.98,0.110693,0
0.99,0.108955,0
1,0.107174,0
1.01,0.105355,0
1.02,0.103504,0
1.03,0.101626,0
1.04,0.0997257,0
1.05,0.0978086,0
1.06,0.0958785,0
1.07,0.0939392,0
1.08,0.0919943,0
1.09,0.0900471,0
1.1,0.0881003,0
1.11,0.0861566,0
1.12,0.0842181,0
1.13,0.082287,0
1.14,0.080365,0
1.15,0.0784537,0
1.16,0.0765543,0
1.17,0.0746682,0
1.18,0.0727962,0
1.19,0.0709392,0
1.2,0.0690977,0
1.21,0.0672723,0
1.22,0.065463,0
1.23,0.0636701,0
1.24,0.0618932,0
1.25,0.0601323,0
1.26,0.0583871,0
1.27,0.056657,0
1.28,0.0549418,0
1.29,0.0532411,0
1.3,0.0515546,0
1.31,0.0498821,0
1.32,0.0482231,0
1.33,0.0465775,0
1.34,0.0449447,0
1.35,0.0433245,0
1.36,0.041716,0
1.37,0.0401186,0
1.38,0.0385315,0
1.39,0.0369541,0
1.4,0.0353856,0
1.41,0.0338255,0
1.42,0.0322735,0
1.43,0.0307292,0
1.44,0.0291919,0
1.45,0.0276611,0
1.46,0.0261358,0
1.47,0.024615,0
1.48,0.0230981,0
1.49,0.0215844,0
1.5,0.0200737,0
1.51,0.018566,0
1.52,0.0170605,0
1.53,0.0155567,0
1.54,0.0140541,0
1.55,0.0125536,0
1.56,0.0110563,0
1.57,0.0095654,0
1.58,0.00811004,0
