# 20240823_130938
# initdata:	data/init_real_pi_consteps_20240822_135426/init3.csv
# particle mass:	0.14
# NpT:	200
# pTmax:	2
# epsabs:	0
# epsrel:	1e-05
# integr iter:	10000
pT,abs2Re,abs2Im
0,60313.6,0
0.0100503,56139.7,0
0.0201005,45299.3,0
0.0301508,31807.6,0
0.040201,19724.5,0
0.0502513,11275,0
0.0603015,6487.78,0
0.0703518,4139.88,0
0.080402,2953.23,0
0.0904523,2200.66,0
0.100503,1644.03,0
0.110553,1233.93,0
0.120603,934.538,0
0.130653,711.962,0
0.140704,553.071,0
0.150754,446.904,0
0.160804,366.783,0
0.170854,288.345,0
0.180905,214.162,0
0.190955,164.492,0
0.201005,145.317,0
0.211055,137.509,0
0.221106,119.76,0
0.231156,92.2141,0
0.241206,70.7048,0
0.251256,63.1301,0
0.261307,60.5142,0
0.271357,51.2938,0
0.281407,36.3628,0
0.291457,25.4393,0
0.301508,22.8722,0
0.311558,23.169,0
0.321608,20.1075,0
0.331658,14.8385,0
0.341709,12.4777,0
0.351759,13.975,0
0.361809,15.1581,0
0.371859,13.0279,0
0.38191,9.49095,0
0.39196,7.86191,0
0.40201,8.13177,0
0.41206,7.67865,0
0.422111,5.4818,0
0.432161,3.37326,0
0.442211,3.05905,0
0.452261,3.76588,0
0.462312,3.73286,0
0.472362,2.83199,0
0.482412,2.41145,0
0.492462,3.0111,0
0.502513,3.5673,0
0.512563,3.07961,0
0.522613,2.02684,0
0.532663,1.51462,0
0.542714,1.66645,0
0.552764,1.65937,0
0.562814,1.11394,0
0.572864,0.621672,0
0.582915,0.750024,0
0.592965,1.17903,0
0.603015,1.2408,0
0.613065,0.91415,0
0.623116,0.756716,0
0.633166,0.990487,0
0.643216,1.18323,0
0.653266,0.941578,0
0.663317,0.490875,0
0.673367,0.301054,0
0.683417,0.408472,0
0.693467,0.454556,0
0.703518,0.290297,0
0.713568,0.177623,0
0.723618,0.33105,0
0.733668,0.563253,0
0.743719,0.570224,0
0.753769,0.378427,0
0.763819,0.271288,0
0.773869,0.349269,0
0.78392,0.408104,0
0.79397,0.284077,0
0.80402,0.100462,0
0.81407,0.063051,0
0.824121,0.152467,0
0.834171,0.186952,0
0.844221,0.119558,0
0.854271,0.0942002,0
0.864322,0.195448,0
0.874372,0.302786,0
0.884422,0.270109,0
0.894472,0.14084,0
0.904523,0.0717918,0
0.914573,0.102411,0
0.924623,0.123185,0
0.934673,0.0670456,0
0.944724,0.0110809,0
0.954774,0.0427564,0
0.964824,0.117932,0
0.974874,0.131836,0
0.984925,0.0817252,0
0.994975,0.0629393,0
1.00503,0.115202,0
1.01508,0.161175,0
1.02513,0.126122,0
1.03518,0.0469273,0
1.04523,0.0108081,0
1.05528,0.0290167,0
1.06533,0.0394102,0
1.07538,0.0160812,0
1.08543,0.00660201,0
1.09548,0.0457548,0
1.10553,0.0918538,0
1.11558,0.0872138,0
1.12563,0.0445593,0
1.13568,0.0248502,0
1.14573,0.0453472,0
1.15578,0.0603753,0
1.16583,0.0373303,0
1.17588,0.00509788,0
1.18593,0.00453318,0
1.19598,0.0257253,0
1.20603,0.0296581,0
1.21608,0.0135922,0
1.22613,0.0140512,0
1.23618,0.0451208,0
1.24623,0.0717035,0
1.25628,0.0595451,0
1.26633,0.0240197,0
1.27638,0.0051829,0
1.28643,0.0114215,0
1.29648,0.0165895,0
1.30653,0.00712492,0
1.31658,0.00134622,0
1.32663,0.014522,0
1.33668,0.0306859,0
1.34673,0.027253,0
1.35678,0.0115614,0
1.36683,0.010187,0
1.37688,0.0277681,0
1.38693,0.0395453,0
1.39698,0.0281228,0
1.40704,0.00749255,0
1.41709,7.8893e-05,0
1.42714,0.00521728,0
1.43719,0.00634498,0
1.44724,0.00082601,0
1.45729,0.00326822,0
1.46734,0.0188662,0
1.47739,0.0313615,0
1.48744,0.0256001,0
1.49749,0.00960183,0
1.50754,0.0025703,0
1.51759,0.00819424,0
1.52764,0.0130518,0
1.53769,0.00914399,0
1.54774,0.00414282,0
1.55779,0.00601212,0
1.56784,0.00958045,0
1.57789,0.00667157,0
1.58794,0.00163654,0
1.59799,0.00568546,0
1.60804,0.0183585,0
1.61809,0.0257264,0
1.62814,0.0190661,0
1.63819,0.00631176,0
1.64824,0.000189187,0
1.65829,0.00190991,0
1.66834,0.00361488,0
1.67839,0.00255428,0
1.68844,0.00382187,0
1.69849,0.0092775,0
1.70854,0.0124754,0
1.71859,0.00837289,0
1.72864,0.00197804,0
1.73869,0.0017261,0
1.74874,0.00752318,0
1.75879,0.0114116,0
1.76884,0.00905689,0
1.77889,0.00450677,0
1.78894,0.0025844,0
1.79899,0.00224495,0
1.80905,0.000765952,0
1.8191,0.000234372,0
1.82915,0.00463562,0
1.8392,0.0120556,0
1.84925,0.0151864,0
1.8593,0.0105728,0
1.86935,0.00327678,0
1.8794,0.000284746,0
1.88945,0.00233798,0
1.8995,0.00503567,0
1.90955,0.0057496,0
1.9196,0.00567252,0
1.92965,0.00571495,0
1.9397,0.00447736,0
1.94975,0.00161404,0
1.9598,0.000101908,0
1.96985,0.00262806,0
1.9799,0.00725993,0
1.98995,0.00930778,0
2,0.0070161,0
