# 20240823_131311
alpha,f0Re,f0Im
0,0.098991,0
0.00157237,0.0989945,0
0.00314474,0.0989977,0
0.00471711,0.0990009,0
0.00628947,0.0990043,0
0.00786184,0.099008,0
0.00943421,0.0990121,0
0.0110066,0.0990169,0
0.0125789,0.0990226,0
0.0141513,0.099029,0
0.0157237,0.099036,0
0.0172961,0.0990434,0
0.0188684,0.0990512,0
0.0204408,0.0990592,0
0.0220132,0.0990678,0
0.0235855,0.0990769,0
0.0251579,0.0990866,0
0.0267303,0.0990968,0
0.0283026,0.0991074,0
0.029875,0.0991183,0
0.0314474,0.0991296,0
0.0330197,0.0991415,0
0.0345921,0.0991539,0
0.0361645,0.0991668,0
0.0377368,0.0991801,0
0.0393092,0.0991937,0
0.0408816,0.0992078,0
0.042454,0.0992223,0
0.0440263,0.0992374,0
0.0455987,0.099253,0
0.0471711,0.099269,0
0.0487434,0.0992854,0
0.0503158,0.0993021,0
0.0518882,0.0993194,0
0.0534605,0.0993372,0
0.0550329,0.0993554,0
0.0566053,0.0993742,0
0.0581776,0.0993933,0
0.05975,0.0994128,0
0.0613224,0.0994328,0
0.0628947,0.0994533,0
0.0644671,0.0994743,0
0.0660395,0.0994957,0
0.0676119,0.0995176,0
0.0691842,0.09954,0
0.0707566,0.0995627,0
0.072329,0.0995859,0
0.0739013,0.0996097,0
0.0754737,0.0996339,0
0.0770461,0.0996586,0
0.0786184,0.0996838,0
0.0801908,0.0997093,0
0.0817632,0.0997353,0
0.0833355,0.0997619,0
0.0849079,0.0997889,0
0.0864803,0.0998164,0
0.0880526,0.0998444,0
0.089625,0.0998728,0
0.0911974,0.0999016,0
0.0927698,0.099931,0
0.0943421,0.0999608,0
0.0959145,0.0999912,0
0.0974869,0.100022,0
0.0990592,0.100053,0
0.100632,0.100085,0
0.102204,0.100117,0
0.103776,0.10015,0
0.105349,0.100183,0
0.106921,0.100217,0
0.108493,0.100251,0
0.110066,0.100285,0
0.111638,0.10032,0
0.113211,0.100356,0
0.114783,0.100392,0
0.116355,0.100429,0
0.117928,0.100466,0
0.1195,0.100503,0
0.121072,0.100541,0
0.122645,0.10058,0
0.124217,0.100618,0
0.125789,0.100658,0
0.127362,0.100698,0
0.128934,0.100738,0
0.130507,0.100779,0
0.132079,0.10082,0
0.133651,0.100862,0
0.135224,0.100905,0
0.136796,0.100947,0
0.138368,0.100991,0
0.139941,0.101035,0
0.141513,0.101079,0
0.143086,0.101124,0
0.144658,0.101169,0
0.14623,0.101215,0
0.147803,0.101261,0
0.149375,0.101308,0
0.150947,0.101355,0
0.15252,0.101402,0
0.154092,0.101451,0
0.155665,0.101499,0
0.157237,0.101549,0
0.158809,0.101598,0
0.160382,0.101649,0
0.161954,0.101699,0
0.163526,0.10175,0
0.165099,0.101802,0
0.166671,0.101854,0
0.168243,0.101907,0
0.169816,0.10196,0
0.171388,0.102014,0
0.172961,0.102068,0
0.174533,0.102123,0
0.176105,0.102178,0
0.177678,0.102234,0
0.17925,0.10229,0
0.180822,0.102347,0
0.182395,0.102404,0
0.183967,0.102461,0
0.18554,0.10252,0
0.187112,0.102579,0
0.188684,0.102638,0
0.190257,0.102698,0
0.191829,0.102758,0
0.193401,0.102819,0
0.194974,0.10288,0
0.196546,0.102942,0
0.198118,0.103004,0
0.199691,0.103067,0
0.201263,0.103131,0
