# 20240822_164458
alpha,Df0Re,Df0Im
0,-0.12317,0
0.00157237,-0.123225,0
0.00314474,-0.123285,0
0.00471711,-0.123346,0
0.00628947,-0.123403,0
0.00786184,-0.123451,0
0.00943421,-0.123486,0
0.0110066,-0.123506,0
0.0125789,-0.123525,0
0.0141513,-0.123541,0
0.0157237,-0.123554,0
0.0172961,-0.123565,0
0.0188684,-0.123571,0
0.0204408,-0.123572,0
0.0220132,-0.12357,0
0.0235855,-0.123568,0
0.0251579,-0.123564,0
0.0267303,-0.123559,0
0.0283026,-0.123554,0
0.029875,-0.123548,0
0.0314474,-0.123542,0
0.0330197,-0.123535,0
0.0345921,-0.123526,0
0.0361645,-0.123517,0
0.0377368,-0.123507,0
0.0393092,-0.123498,0
0.0408816,-0.12349,0
0.042454,-0.123481,0
0.0440263,-0.123472,0
0.0455987,-0.123464,0
0.0471711,-0.123455,0
0.0487434,-0.123447,0
0.0503158,-0.123439,0
0.0518882,-0.123431,0
0.0534605,-0.123424,0
0.0550329,-0.123416,0
0.0566053,-0.123409,0
0.0581776,-0.123402,0
0.05975,-0.123394,0
0.0613224,-0.123387,0
0.0628947,-0.12338,0
0.0644671,-0.123373,0
0.0660395,-0.123367,0
0.0676119,-0.12336,0
0.0691842,-0.123353,0
0.0707566,-0.123346,0
0.072329,-0.123338,0
0.0739013,-0.123331,0
0.0754737,-0.123324,0
0.0770461,-0.123316,0
0.0786184,-0.123308,0
0.0801908,-0.1233,0
0.0817632,-0.123292,0
0.0833355,-0.123283,0
0.0849079,-0.123274,0
0.0864803,-0.123265,0
0.0880526,-0.123256,0
0.089625,-0.123246,0
0.0911974,-0.123236,0
0.0927698,-0.123225,0
0.0943421,-0.123214,0
0.0959145,-0.123203,0
0.0974869,-0.123191,0
0.0990592,-0.123179,0
0.100632,-0.123166,0
0.102204,-0.123153,0
0.103776,-0.123139,0
0.105349,-0.123125,0
0.106921,-0.123111,0
0.108493,-0.123096,0
0.110066,-0.123081,0
0.111638,-0.123065,0
0.113211,-0.123049,0
0.114783,-0.123032,0
0.116355,-0.123015,0
0.117928,-0.122997,0
0.1195,-0.122979,0
0.121072,-0.122961,0
0.122645,-0.122942,0
0.124217,-0.122923,0
0.125789,-0.122903,0
0.127362,-0.122882,0
0.128934,-0.122862,0
0.130507,-0.12284,0
0.132079,-0.122819,0
0.133651,-0.122797,0
0.135224,-0.122774,0
0.136796,-0.122751,0
0.138368,-0.122727,0
0.139941,-0.122703,0
0.141513,-0.122679,0
0.143086,-0.122654,0
0.144658,-0.122629,0
0.14623,-0.122603,0
0.147803,-0.122576,0
0.149375,-0.12255,0
0.150947,-0.122522,0
0.15252,-0.122494,0
0.154092,-0.122466,0
0.155665,-0.122437,0
0.157237,-0.122408,0
0.158809,-0.122378,0
0.160382,-0.122347,0
0.161954,-0.122316,0
0.163526,-0.122284,0
0.165099,-0.122252,0
0.166671,-0.122219,0
0.168243,-0.122186,0
0.169816,-0.122152,0
0.171388,-0.122117,0
0.172961,-0.122082,0
0.174533,-0.122045,0
0.176105,-0.122009,0
0.177678,-0.121971,0
0.17925,-0.121933,0
0.180822,-0.121894,0
0.182395,-0.121854,0
0.183967,-0.121814,0
0.18554,-0.121772,0
0.187112,-0.12173,0
0.188684,-0.121687,0
0.190257,-0.121643,0
0.191829,-0.121598,0
0.193401,-0.121553,0
0.194974,-0.121506,0
0.196546,-0.121458,0
0.198118,-0.12141,0
0.199691,-0.12136,0
0.201263,-0.121309,0
0.202836,-0.121258,0
0.204408,-0.121205,0
0.20598,-0.121151,0
0.207553,-0.121096,0
0.209125,-0.12104,0
0.210697,-0.120982,0
0.21227,-0.120924,0
0.213842,-0.120864,0
0.215415,-0.120803,0
0.216987,-0.12074,0
0.218559,-0.120677,0
0.220132,-0.120612,0
0.221704,-0.120545,0
0.223276,-0.120478,0
0.224849,-0.120408,0
0.226421,-0.120338,0
0.227993,-0.120266,0
0.229566,-0.120192,0
0.231138,-0.120117,0
0.232711,-0.12004,0
0.234283,-0.119962,0
0.235855,-0.119882,0
0.237428,-0.119801,0
0.239,-0.119717,0
0.240572,-0.119633,0
0.242145,-0.119546,0
0.243717,-0.119458,0
0.24529,-0.119368,0
0.246862,-0.119276,0
0.248434,-0.119182,0
0.250007,-0.119087,0
0.251579,-0.118989,0
0.253151,-0.11889,0
0.254724,-0.118788,0
0.256296,-0.118685,0
0.257868,-0.11858,0
0.259441,-0.118473,0
0.261013,-0.118363,0
0.262586,-0.118252,0
0.264158,-0.118138,0
0.26573,-0.118022,0
0.267303,-0.117905,0
0.268875,-0.117784,0
0.270447,-0.117662,0
