# 20240822_164514
alpha,Dfield0Re,Dfield0Im
0,-0.100568,0
0.00157237,-0.100611,0
0.00314474,-0.100659,0
0.00471711,-0.100708,0
0.00628947,-0.100753,0
0.00786184,-0.10079,0
0.00943421,-0.100814,0
0.0110066,-0.100825,0
0.0125789,-0.100835,0
0.0141513,-0.100843,0
0.0157237,-0.100849,0
0.0172961,-0.100854,0
0.0188684,-0.100856,0
0.0204408,-0.100857,0
0.0220132,-0.100853,0
0.0235855,-0.100846,0
0.0251579,-0.100837,0
0.0267303,-0.100825,0
0.0283026,-0.100813,0
0.029875,-0.100802,0
0.0314474,-0.10079,0
0.0330197,-0.100777,0
0.0345921,-0.100762,0
0.0361645,-0.100747,0
0.0377368,-0.100731,0
0.0393092,-0.100716,0
0.0408816,-0.1007,0
0.042454,-0.100685,0
0.0440263,-0.100669,0
0.0455987,-0.100652,0
0.0471711,-0.100636,0
0.0487434,-0.100619,0
0.0503158,-0.100603,0
0.0518882,-0.100586,0
0.0534605,-0.100569,0
0.0550329,-0.100552,0
0.0566053,-0.100535,0
0.0581776,-0.100517,0
0.05975,-0.1005,0
0.0613224,-0.100482,0
0.0628947,-0.100464,0
0.0644671,-0.100446,0
0.0660395,-0.100427,0
0.0676119,-0.100408,0
0.0691842,-0.100389,0
0.0707566,-0.10037,0
0.072329,-0.10035,0
0.0739013,-0.100329,0
0.0754737,-0.100308,0
0.0770461,-0.100287,0
0.0786184,-0.100266,0
0.0801908,-0.100243,0
0.0817632,-0.100221,0
0.0833355,-0.100197,0
0.0849079,-0.100174,0
0.0864803,-0.100149,0
0.0880526,-0.100124,0
0.089625,-0.100099,0
0.0911974,-0.100073,0
0.0927698,-0.100046,0
0.0943421,-0.100018,0
0.0959145,-0.0999903,0
0.0974869,-0.0999616,0
0.0990592,-0.0999322,0
0.100632,-0.0999023,0
0.102204,-0.0998715,0
0.103776,-0.0998401,0
0.105349,-0.0998079,0
0.106921,-0.0997751,0
0.108493,-0.0997416,0
0.110066,-0.0997075,0
0.111638,-0.0996726,0
0.113211,-0.099637,0
0.114783,-0.0996006,0
0.116355,-0.0995635,0
0.117928,-0.0995257,0
0.1195,-0.0994873,0
0.121072,-0.0994482,0
0.122645,-0.0994083,0
0.124217,-0.0993676,0
0.125789,-0.0993262,0
0.127362,-0.0992841,0
0.128934,-0.0992413,0
0.130507,-0.0991978,0
0.132079,-0.0991535,0
0.133651,-0.0991085,0
0.135224,-0.0990627,0
0.136796,-0.0990161,0
0.138368,-0.0989689,0
0.139941,-0.0989209,0
0.141513,-0.0988722,0
0.143086,-0.0988226,0
0.144658,-0.0987723,0
0.14623,-0.0987212,0
0.147803,-0.0986693,0
0.149375,-0.0986166,0
0.150947,-0.0985632,0
0.15252,-0.098509,0
0.154092,-0.0984538,0
0.155665,-0.0983979,0
0.157237,-0.0983411,0
0.158809,-0.0982835,0
0.160382,-0.098225,0
0.161954,-0.0981657,0
0.163526,-0.0981055,0
0.165099,-0.0980443,0
0.166671,-0.0979822,0
0.168243,-0.0979192,0
0.169816,-0.0978553,0
0.171388,-0.0977904,0
0.172961,-0.0977245,0
0.174533,-0.0976576,0
0.176105,-0.0975897,0
0.177678,-0.0975208,0
0.17925,-0.0974508,0
0.180822,-0.0973798,0
0.182395,-0.0973077,0
0.183967,-0.0972344,0
0.18554,-0.09716,0
0.187112,-0.0970845,0
0.188684,-0.0970078,0
0.190257,-0.09693,0
0.191829,-0.0968509,0
0.193401,-0.0967705,0
0.194974,-0.0966889,0
0.196546,-0.096606,0
0.198118,-0.0965219,0
0.199691,-0.0964364,0
0.201263,-0.0963496,0
0.202836,-0.0962613,0
0.204408,-0.0961717,0
0.20598,-0.0960806,0
0.207553,-0.0959881,0
0.209125,-0.0958941,0
0.210697,-0.0957987,0
0.21227,-0.0957018,0
0.213842,-0.0956032,0
0.215415,-0.095503,0
0.216987,-0.0954013,0
0.218559,-0.095298,0
0.220132,-0.095193,0
0.221704,-0.0950864,0
0.223276,-0.094978,0
0.224849,-0.0948679,0
0.226421,-0.0947559,0
0.227993,-0.0946423,0
0.229566,-0.0945269,0
0.231138,-0.0944096,0
0.232711,-0.0942905,0
0.234283,-0.0941694,0
0.235855,-0.0940463,0
0.237428,-0.0939214,0
0.239,-0.0937945,0
0.240572,-0.0936657,0
0.242145,-0.0935348,0
0.243717,-0.0934017,0
0.24529,-0.0932666,0
0.246862,-0.0931293,0
0.248434,-0.09299,0
0.250007,-0.0928486,0
0.251579,-0.0927049,0
0.253151,-0.0925589,0
0.254724,-0.0924107,0
0.256296,-0.0922601,0
0.257868,-0.0921072,0
0.259441,-0.0919521,0
0.261013,-0.0917947,0
0.262586,-0.0916347,0
0.264158,-0.0914723,0
0.26573,-0.0913073,0
0.267303,-0.0911399,0
0.268875,-0.09097,0
0.270447,-0.0907977,0
0.27202,-0.0906227,0
0.273592,-0.090445,0
0.275165,-0.0902646,0
0.276737,-0.0900815,0
0.278309,-0.0898957,0
0.279882,-0.0897073,0
0.281454,-0.0895161,0
0.283026,-0.089322,0
0.284599,-0.0891249,0
0.286171,-0.088925,0
0.287743,-0.0887221,0
0.289316,-0.0885164,0
0.290888,-0.0883078,0
0.292461,-0.0880961,0
0.294033,-0.0878812,0
0.295605,-0.0876632,0
0.297178,-0.087442,0
0.29875,-0.0872177,0
0.300322,-0.0869904,0
0.301895,-0.0867598,0
0.303467,-0.0865257,0
0.30504,-0.0862883,0
0.306612,-0.0860475,0
