# 20240826_134913
# initdata:	data/init_real_pi_consteps_20240822_135440/init8.csv
# particle mass:	0.8
# NpT:	200
# pTmax:	2
# epsabs:	0
# epsrel:	1e-05
# integr iter:	10000
pT,abs2Re,abs2Im
0,38381.2,0
0.0100503,37906.4,0
0.0201005,36533.4,0
0.0301508,34403.9,0
0.040201,31717.7,0
0.0502513,28689.1,0
0.0603015,25508.3,0
0.0703518,22317.6,0
0.080402,19208.6,0
0.0904523,16239.6,0
0.100503,13460.5,0
0.110553,10932.9,0
0.120603,8733.1,0
0.130653,6933.92,0
0.140704,5575.34,0
0.150754,4638.09,0
0.160804,4037.89,0
0.170854,3647.47,0
0.180905,3339.24,0
0.190955,3028.89,0
0.201005,2697.41,0
0.211055,2379.62,0
0.221106,2126.09,0
0.231156,1961.39,0
0.241206,1864.12,0
0.251256,1780.53,0
0.261307,1661.12,0
0.271357,1494.01,0
0.281407,1310.92,0
0.291457,1161.51,0
0.301508,1075.28,0
0.311558,1039.8,0
0.321608,1011.72,0
0.331658,951.363,0
0.341709,853.075,0
0.351759,746.975,0
0.361809,671.456,0
0.371859,640.145,0
0.38191,631.432,0
0.39196,608.843,0
0.40201,553.484,0
0.41206,479.477,0
0.422111,419.126,0
0.432161,392.383,0
0.442211,389.221,0
0.452261,380.829,0
0.462312,347.91,0
0.472362,298.408,0
0.482412,257.997,0
0.492462,243.778,0
0.502513,247.841,0
0.512563,246.643,0
0.522613,225.653,0
0.532663,193.478,0
0.542714,171.412,0
0.552764,170.291,0
0.562814,179.446,0
0.572864,178.925,0
0.582915,161.031,0
0.592965,137.678,0
0.603015,126.233,0
0.613065,130.153,0
0.623116,135.861,0
0.633166,128.601,0
0.643216,108.851,0
0.653266,90.9536,0
0.663317,86.3105,0
0.673367,90.8613,0
0.683417,90.8436,0
0.693467,79.3192,0
0.703518,63.8764,0
0.713568,56.9864,0
0.723618,61.1291,0
0.733668,66.4252,0
0.743719,62.9757,0
0.753769,52.5584,0
0.763819,45.7238,0
0.773869,48.4423,0
0.78392,54.9019,0
0.79397,54.9484,0
0.80402,46.5104,0
0.81407,37.6438,0
0.824121,36.1622,0
0.834171,40.1554,0
0.844221,41.0048,0
0.854271,34.5509,0
0.864322,26.1135,0
0.874372,23.4071,0
0.884422,26.8335,0
0.894472,29.4901,0
0.904523,26.3778,0
0.914573,20.6439,0
0.924623,19.0346,0
0.934673,22.8928,0
0.944724,26.5128,0
0.954774,24.6764,0
0.964824,19.254,0
0.974874,16.385,0
0.984925,18.3196,0
0.994975,20.7601,0
1.00503,18.8813,0
1.01508,13.7353,0
1.02513,10.6304,0
1.03518,12.0131,0
1.04523,14.5094,0
1.05528,13.8075,0
1.06533,10.4797,0
1.07538,8.92248,0
1.08543,11.1563,0
1.09548,14.0664,0
1.10553,13.6801,0
1.11558,10.4507,0
1.12563,8.39744,0
1.13568,9.52878,0
1.14573,11.2825,0
1.15578,10.2875,0
1.16583,7.03508,0
1.17588,5.07088,0
1.18593,6.07723,0
1.19598,7.76244,0
1.20603,7.29433,0
1.21608,5.26643,0
1.22613,4.67595,0
1.23618,6.54959,0
1.24623,8.45089,0
1.25628,7.87397,0
1.26633,5.64965,0
1.27638,4.63924,0
1.28643,5.71119,0
1.29648,6.68437,0
1.30653,5.56503,0
1.31658,3.36451,0
1.32663,2.58809,0
1.33668,3.71083,0
1.34673,4.67298,0
1.35678,3.95286,0
1.36683,2.70259,0
1.37688,2.94879,0
1.38693,4.57279,0
1.39698,5.43571,0
1.40704,4.39633,0
1.41709,2.85624,0
1.42714,2.69558,0
1.43719,3.65152,0
1.44724,3.85816,0
1.45729,2.62925,0
1.46734,1.41934,0
1.47739,1.67261,0
1.48744,2.7743,0
1.49749,3.0386,0
1.50754,2.18465,0
1.51759,1.66828,0
1.52764,2.45985,0
1.53769,3.57348,0
1.54774,3.46882,0
1.55779,2.23689,0
1.56784,1.4107,0
1.57789,1.76314,0
1.58794,2.31841,0
1.59799,1.92019,0
1.60804,0.959576,0
1.61809,0.745679,0
1.62814,1.54283,0
1.63819,2.2007,0
1.64824,1.87011,0
1.65829,1.22159,0
1.66834,1.38984,0
1.67839,2.253,0
1.68844,2.59122,0
1.69849,1.85424,0
1.70854,0.929003,0
1.71859,0.834736,0
1.72864,1.31525,0
1.73869,1.35701,0
1.74874,0.761752,0
1.75879,0.41327,0
1.76884,0.89831,0
1.77889,1.59856,0
1.78894,1.59995,0
1.79899,1.02778,0
1.80905,0.819166,0
1.8191,1.30556,0
1.82915,1.72908,0
1.8392,1.37848,0
1.84925,0.628199,0
1.8593,0.365243,0
1.86935,0.710739,0
1.8794,0.937164,0
1.88945,0.633568,0
1.8995,0.321469,0
1.90955,0.6172,0
1.9196,1.24722,0
1.92965,1.41464,0
1.9397,0.956906,0
1.94975,0.559364,0
1.9598,0.729907,0
1.96985,1.08009,0
1.9799,0.954314,0
1.98995,0.420687,0
2,0.145954,0
