# 20240822_164846
# initdata:	data/init_real_pi_consteps_20240822_135440/init5.csv
# particle mass:	0.14
# NpT:	100
# pTmax:	1
# epsabs:	0
# epsrel:	1e-05
# integr iter:	10000
pT,abs2Re,abs2Im
0,54648.5,0
0.010101,51461.9,0
0.020202,42912.2,0
0.030303,31535.8,0
0.040404,20235.8,0
0.0505051,11160.1,0
0.0606061,5174.47,0
0.0707071,2010.2,0
0.0808081,784.224,0
0.0909091,528.858,0
0.10101,531.926,0
0.111111,454.585,0
0.121212,269.844,0
0.131313,94.9375,0
0.141414,20.2161,0
0.151515,32.7812,0
0.161616,58.2917,0
0.171717,48.2539,0
0.181818,16.7513,0
0.191919,2.53561,0
0.20202,15.6041,0
0.212121,31.1366,0
0.222222,26.7155,0
0.232323,9.41029,0
0.242424,1.9069,0
0.252525,11.9596,0
0.262626,25.2024,0
0.272727,25.691,0
0.282828,14.2252,0
0.292929,3.29542,0
0.30303,0.233712,0
0.313131,1.55735,0
0.323232,1.89045,0
0.333333,1.73668,0
0.343434,4.14772,0
0.353535,7.96413,0
0.363636,8.65663,0
0.373737,4.93614,0
0.383838,0.900589,0
0.393939,0.732837,0
0.40404,3.66145,0
0.414141,5.70416,0
0.424242,4.88668,0
0.434343,2.76246,0
0.444444,1.34984,0
0.454545,0.723595,0
0.464646,0.198336,0
0.474747,0.208898,0
0.484848,1.59572,0
0.494949,3.67625,0
0.505051,4.49259,0
0.515152,3.16939,0
0.525253,1.04368,0
0.535354,0.0209186,0
0.545455,0.486445,0
0.555556,1.3861,0
0.565657,1.84105,0
0.575758,1.88076,0
0.585859,1.73,0
0.59596,1.25392,0
0.606061,0.465802,0
0.616162,0.00444433,0
0.626263,0.50488,0
0.636364,1.65462,0
0.646465,2.38315,0
0.656566,2.04211,0
0.666667,1.04379,0
0.676768,0.239462,0
0.686869,0.0158358,0
0.69697,0.211633,0
0.707071,0.610852,0
0.717172,1.11107,0
0.727273,1.47666,0
0.737374,1.35643,0
0.747475,0.732791,0
0.757576,0.119142,0
0.767677,0.0715318,0
0.777778,0.579541,0
0.787879,1.11534,0
0.79798,1.23415,0
0.808081,0.947299,0
0.818182,0.526753,0
0.828283,0.178197,0
0.838384,0.0101668,0
0.848485,0.131634,0
0.858586,0.55164,0
0.868687,1.01448,0
0.878788,1.13862,0
0.888889,0.801547,0
0.89899,0.291379,0
0.909091,0.0103727,0
0.919192,0.0951663,0
0.929293,0.380364,0
0.939394,0.641667,0
0.949495,0.758851,0
0.959596,0.686175,0
0.969697,0.430465,0
0.979798,0.123138,0
0.989899,0.0033272,0
1,0.207108,0
