# 20240826_134642
# initdata:	data/init_real_pi_consteps_20240822_135440/init8.csv
# particle mass:	0.51
# NpT:	200
# pTmax:	2
# epsabs:	0
# epsrel:	1e-05
# integr iter:	10000
pT,abs2Re,abs2Im
0,39211.6,0
0.0100503,38606.2,0
0.0201005,36868.6,0
0.0301508,34211.3,0
0.040201,30920.6,0
0.0502513,27283.4,0
0.0603015,23530.1,0
0.0703518,19815.9,0
0.080402,16241.9,0
0.0904523,12898.2,0
0.100503,9898.74,0
0.110553,7379.53,0
0.120603,5455.61,0
0.130653,4160.05,0
0.140704,3405.58,0
0.150754,3001.99,0
0.160804,2730.03,0
0.170854,2433.7,0
0.180905,2075.45,0
0.190955,1719.28,0
0.201005,1454.46,0
0.211055,1314.73,0
0.221106,1251.12,0
0.231156,1174.64,0
0.241206,1030.06,0
0.251256,837.568,0
0.261307,668.417,0
0.271357,578.285,0
0.281407,559.095,0
0.291457,551.322,0
0.301508,502.104,0
0.311558,412.459,0
0.321608,329.677,0
0.331658,295.834,0
0.341709,305.748,0
0.351759,315.58,0
0.361809,289.958,0
0.371859,236.734,0
0.38191,194.152,0
0.39196,187.18,0
0.40201,201.562,0
0.41206,202.226,0
0.422111,172.914,0
0.432161,132.075,0
0.442211,109.253,0
0.452261,111.314,0
0.462312,117.305,0
0.472362,105.402,0
0.482412,78.3369,0
0.492462,57.9444,0
0.502513,57.7233,0
0.512563,67.6311,0
0.522613,68.2403,0
0.532663,54.888,0
0.542714,41.7726,0
0.552764,42.5126,0
0.562814,52.8636,0
0.572864,56.8967,0
0.582915,47.362,0
0.592965,33.8736,0
0.603015,29.5434,0
0.613065,34.4292,0
0.623116,36.8552,0
0.633166,29.4972,0
0.643216,18.5323,0
0.653266,14.674,0
0.663317,19.0839,0
0.673367,22.8236,0
0.683417,19.481,0
0.693467,13.367,0
0.703518,12.7668,0
0.713568,18.281,0
0.723618,22.1813,0
0.733668,19.0048,0
0.743719,12.5472,0
0.753769,10.1532,0
0.763819,12.7948,0
0.773869,14.4891,0
0.78392,11.1032,0
0.79397,5.91843,0
0.80402,4.65633,0
0.81407,7.53936,0
0.824121,9.48586,0
0.834171,7.57086,0
0.844221,4.90523,0
0.854271,5.75828,0
0.864322,9.2707,0
0.874372,10.6823,0
0.884422,8.00481,0
0.894472,4.56527,0
0.904523,4.13501,0
0.914573,5.85629,0
0.924623,5.99465,0
0.934673,3.53406,0
0.944724,1.46743,0
0.954774,2.26661,0
0.964824,4.37538,0
0.974874,4.67647,0
0.984925,3.05041,0
0.994975,2.3425,0
1.00503,4.00549,0
1.01508,5.90415,0
1.02513,5.3781,0
1.03518,2.97718,0
1.04523,1.53254,0
1.05528,2.14642,0
1.06533,2.95365,0
1.07538,2.17405,0
1.08543,0.739244,0
1.09548,0.731464,0
1.10553,2.19021,0
1.11558,3.07881,0
1.12563,2.32138,0
1.13568,1.31232,0
1.14573,1.73919,0
1.15578,3.05251,0
1.16583,3.29735,0
1.17588,1.96187,0
1.18593,0.634033,0
1.19598,0.653989,0
1.20603,1.33394,0
1.21608,1.2519,0
1.22613,0.477579,0
1.23618,0.368383,0
1.24623,1.38107,0
1.25628,2.29142,0
1.26633,1.9741,0
1.27638,1.0256,0
1.28643,0.829094,0
1.29648,1.52372,0
1.30653,1.88985,0
1.31658,1.211,0
1.32663,0.283032,0
1.33668,0.163522,0
1.34673,0.65697,0
1.35678,0.779946,0
1.36683,0.35755,0
1.37688,0.257865,0
1.38693,0.960587,0
1.39698,1.71285,0
1.40704,1.5787,0
1.41709,0.789211,0
1.42714,0.377437,0
1.43719,0.688052,0
1.44724,0.9857,0
1.45729,0.653634,0
1.46734,0.106892,0
1.47739,0.0916603,0
1.48744,0.533965,0
1.49749,0.706885,0
1.50754,0.394448,0
1.51759,0.21829,0
1.52764,0.642523,0
1.53769,1.20562,0
1.54774,1.16177,0
1.55779,0.553861,0
1.56784,0.119282,0
1.57789,0.221721,0
1.58794,0.426083,0
1.59799,0.27766,0
1.60804,0.0167285,0
1.61809,0.146113,0
1.62814,0.585808,0
1.63819,0.758246,0
1.64824,0.467778,0
1.65829,0.205105,0
1.66834,0.405366,0
1.67839,0.792346,0
1.68844,0.791098,0
1.69849,0.364744,0
1.70854,0.0285421,0
1.71859,0.0781406,0
1.72864,0.226972,0
1.73869,0.147193,0
1.74874,0.00955603,0
1.75879,0.178125,0
1.76884,0.57232,0
1.77889,0.723168,0
1.78894,0.454504,0
1.79899,0.145493,0
1.80905,0.176286,0
1.8191,0.398679,0
1.82915,0.407826,0
1.8392,0.161789,0
1.84925,0.00620432,0
1.8593,0.116881,0
1.86935,0.251173,0
1.8794,0.172035,0
1.88945,0.0459559,0
1.8995,0.17818,0
1.90955,0.502593,0
1.9196,0.631005,0
1.92965,0.401017,0
1.9397,0.0991146,0
1.94975,0.0401054,0
1.9598,0.151304,0
1.96985,0.160535,0
1.9799,0.0450346,0
1.98995,0.0358488,0
2,0.207718,0
