# 20240826_183901
# initdata:	data/init_real_m484_consteps_20240826_143205/init7.csv
# particle mass:	0.484
# NpT:	200
# pTmax:	2
# epsabs:	0
# epsrel:	1e-05
# integr iter:	10000
pT,abs2Re,abs2Im
0,7147.63,0
0.0100503,6967.73,0
0.0201005,6456.17,0
0.0301508,5690.91,0
0.040201,4781.45,0
0.0502513,3844.72,0
0.0603015,2980.4,0
0.0703518,2252.75,0
0.080402,1684.86,0
0.0904523,1264.67,0
0.100503,960.944,0
0.110553,739.926,0
0.120603,577.501,0
0.130653,461.421,0
0.140704,385.455,0
0.150754,341.378,0
0.160804,315.281,0
0.170854,290.996,0
0.180905,257.64,0
0.190955,214.925,0
0.201005,171.57,0
0.211055,137.707,0
0.221106,117.149,0
0.231156,105.304,0
0.241206,94.0087,0
0.251256,78.5767,0
0.261307,60.9297,0
0.271357,46.6088,0
0.281407,38.9706,0
0.291457,36.1918,0
0.301508,33.5047,0
0.311558,27.9417,0
0.321608,20.741,0
0.331658,15.3579,0
0.341709,13.5818,0
0.351759,13.8773,0
0.361809,13.3466,0
0.371859,10.8268,0
0.38191,7.7532,0
0.39196,6.17288,0
0.40201,6.40018,0
0.41206,6.88284,0
0.422111,6.12719,0
0.432161,4.2948,0
0.442211,2.75484,0
0.452261,2.3781,0
0.462312,2.66128,0
0.472362,2.5403,0
0.482412,1.70385,0
0.492462,0.8177,0
0.502513,0.571513,0
0.512563,0.854377,0
0.522613,1.01803,0
0.532663,0.742239,0
0.542714,0.360738,0
0.552764,0.329335,0
0.562814,0.618831,0
0.572864,0.799603,0
0.582915,0.618962,0
0.592965,0.284195,0
0.603015,0.140593,0
0.613065,0.234228,0
0.623116,0.319643,0
0.633166,0.226073,0
0.643216,0.0575354,0
0.653266,0.00247366,0
0.663317,0.0703745,0
0.673367,0.114653,0
0.683417,0.0626275,0
0.693467,0.00669238,0
0.703518,0.0495123,0
0.713568,0.14905,0
0.723618,0.180486,0
0.733668,0.10812,0
0.743719,0.0214665,0
0.753769,0.00445425,0
0.763819,0.0360385,0
0.773869,0.0475735,0
0.78392,0.0283724,0
0.79397,0.023603,0
0.80402,0.0483947,0
0.81407,0.0614273,0
0.824121,0.034593,0
0.834171,0.00297088,0
0.844221,0.0154894,0
0.854271,0.0614661,0
0.864322,0.0838574,0
0.874372,0.0577515,0
0.884422,0.0186466,0
0.894472,0.00599918,0
0.904523,0.012391,0
0.914573,0.0100797,0
0.924623,0.0033999,0
0.934673,0.0205602,0
0.944724,0.0597488,0
0.954774,0.0793302,0
0.964824,0.053821,0
0.974874,0.0131547,0
0.984925,0.0043254,0
0.994975,0.0293383,0
1.00503,0.0478621,0
1.01508,0.0365375,0
1.02513,0.0164952,0
1.03518,0.0141129,0
1.04523,0.0210214,0
1.05528,0.0144019,0
1.06533,0.000894914,0
1.07538,0.0106356,0
1.08543,0.0477865,0
1.09548,0.0750238,0
1.10553,0.0606209,0
1.11558,0.0217211,0
1.12563,0.000919125,0
1.13568,0.0104436,0
1.14573,0.0232914,0
1.15578,0.0185343,0
1.16583,0.00976847,0
1.17588,0.0171111,0
1.18593,0.0313487,0
1.19598,0.0280415,0
1.20603,0.00884281,0
1.21608,0.00352025,0
1.22613,0.0265355,0
1.23618,0.0529346,0
1.24623,0.0508272,0
1.25628,0.0237649,0
1.26633,0.0027171,0
1.27638,0.00267936,0
1.28643,0.00839249,0
1.29648,0.005381,0
1.30653,0.00391522,0
1.31658,0.0187822,0
1.32663,0.0394487,0
1.33668,0.0406765,0
1.34673,0.0198105,0
1.35678,0.00364792,0
1.36683,0.0123158,0
1.37688,0.0321337,0
1.38693,0.0361005,0
1.39698,0.0206565,0
1.40704,0.0061474,0
1.41709,0.00489355,0
1.42714,0.0070812,0
1.43719,0.00269246,0
1.44724,0.000871492,0
1.45729,0.0145815,0
1.46734,0.0353989,0
1.47739,0.0403539,0
1.48744,0.0232923,0
1.49749,0.00432452,0
1.50754,0.00281676,0
1.51759,0.0131669,0
1.52764,0.0170123,0
1.53769,0.010755,0
1.54774,0.00710736,0
1.55779,0.011887,0
1.56784,0.0146523,0
1.57789,0.00750694,0
1.58794,0.000730835,0
1.59799,0.00870775,0
1.60804,0.0267107,0
1.61809,0.0346243,0
1.62814,0.0234811,0
1.63819,0.006531,0
1.64824,3.39676e-05,0
1.65829,0.00322121,0
1.66834,0.00517871,0
1.67839,0.00417711,0
1.68844,0.00824094,0
1.69849,0.0180959,0
1.70854,0.0222092,0
1.71859,0.0136886,0
1.72864,0.00281818,0
1.73869,0.00423065,0
1.74874,0.0164454,0
1.75879,0.0238147,0
1.76884,0.0178377,0
1.77889,0.00688928,0
1.78894,0.00216113,0
1.79899,0.00286135,0
1.80905,0.00198274,0
1.8191,0.000518851,0
1.82915,0.00596468,0
1.8392,0.0177178,0
1.84925,0.0239787,0
1.8593,0.0170978,0
1.86935,0.00489098,0
1.8794,0.000586612,0
1.88945,0.0057915,0
1.8995,0.0106923,0
1.90955,0.0093395,0
1.9196,0.00641505,0
1.92965,0.00711694,0
1.9397,0.00819903,0
1.94975,0.00467368,0
1.9598,0.000365243,0
1.96985,0.003862,0
1.9799,0.0148638,0
1.98995,0.0221768,0
2,0.0177351,0
