# 20240826_194938
# initdata:	data/init_real_m656_consteps_20240826_143237/init10.csv
# particle mass:	0.656
# NpT:	200
# pTmax:	2
# epsabs:	0
# epsrel:	1e-05
# integr iter:	10000
pT,abs2Re,abs2Im
0,3553.3,0
0.0100503,3482.77,0
0.0201005,3280.2,0
0.0301508,2970.47,0
0.040201,2588.65,0
0.0502513,2172.72,0
0.0603015,1757,0
0.0703518,1368.02,0
0.080402,1023.49,0
0.0904523,733.319,0
0.100503,501.775,0
0.110553,328.72,0
0.120603,209.914,0
0.130653,136.939,0
0.140704,97.7549,0
0.150754,78.7791,0
0.160804,68.0041,0
0.170854,57.7974,0
0.180905,45.8559,0
0.190955,33.7772,0
0.201005,24.18,0
0.211055,18.2018,0
0.221106,14.8269,0
0.231156,12.0915,0
0.241206,8.84985,0
0.251256,5.53829,0
0.261307,3.40883,0
0.271357,3.0983,0
0.281407,3.93351,0
0.291457,4.58363,0
0.301508,4.34363,0
0.311558,3.73708,0
0.321608,3.84502,0
0.331658,5.07894,0
0.341709,6.68868,0
0.351759,7.52815,0
0.361809,7.26863,0
0.371859,6.7534,0
0.38191,7.08576,0
0.39196,8.41148,0
0.40201,9.72064,0
0.41206,9.9146,0
0.422111,8.99575,0
0.432161,8.07131,0
0.442211,8.14751,0
0.452261,9.03681,0
0.462312,9.59543,0
0.472362,9.02898,0
0.482412,7.78991,0
0.492462,7.06431,0
0.502513,7.42035,0
0.512563,8.19262,0
0.522613,8.29046,0
0.532663,7.47797,0
0.542714,6.62467,0
0.552764,6.6479,0
0.562814,7.41627,0
0.572864,7.91816,0
0.582915,7.47417,0
0.592965,6.52528,0
0.603015,6.05961,0
0.613065,6.40063,0
0.623116,6.83992,0
0.633166,6.53829,0
0.643216,5.55966,0
0.653266,4.76709,0
0.663317,4.74562,0
0.673367,5.11429,0
0.683417,5.0636,0
0.693467,4.39878,0
0.703518,3.75956,0
0.713568,3.77163,0
0.723618,4.24587,0
0.733668,4.44295,0
0.743719,4.0274,0
0.753769,3.46403,0
0.763819,3.3715,0
0.773869,3.70793,0
0.78392,3.8491,0
0.79397,3.42251,0
0.80402,2.78237,0
0.81407,2.52209,0
0.824121,2.70306,0
0.834171,2.82097,0
0.844221,2.5161,0
0.854271,2.05111,0
0.864322,1.93166,0
0.874372,2.21436,0
0.884422,2.44262,0
0.894472,2.27153,0
0.904523,1.91424,0
0.914573,1.81751,0
0.924623,2.03803,0
0.934673,2.17655,0
0.944724,1.93652,0
0.954774,1.52288,0
0.964824,1.34684,0
0.974874,1.4694,0
0.984925,1.55279,0
0.994975,1.35768,0
1.00503,1.07485,0
1.01508,1.04047,0
1.02513,1.25751,0
1.03518,1.39743,0
1.04523,1.26134,0
1.05528,1.04151,0
1.06533,1.02819,0
1.07538,1.19421,0
1.08543,1.24323,0
1.09548,1.03537,0
1.10553,0.779341,0
1.11558,0.732346,0
1.12563,0.849218,0
1.13568,0.873036,0
1.14573,0.715933,0
1.15578,0.577207,0
1.16583,0.643347,0
1.17588,0.815416,0
1.18593,0.852322,0
1.19598,0.710946,0
1.20603,0.5921,0
1.21608,0.640001,0
1.22613,0.738504,0
1.23618,0.690455,0
1.24623,0.506932,0
1.25628,0.387631,0
1.26633,0.433861,0
1.27638,0.516527,0
1.28643,0.479714,0
1.29648,0.369491,0
1.30653,0.355464,0
1.31658,0.472146,0
1.32663,0.564311,0
1.33668,0.510433,0
1.34673,0.391454,0
1.35678,0.363352,0
1.36683,0.429842,0
1.37688,0.447892,0
1.38693,0.346841,0
1.39698,0.232733,0
1.40704,0.230663,0
1.41709,0.306193,0
1.42714,0.326745,0
1.43719,0.261692,0
1.44724,0.220986,0
1.45729,0.281886,0
1.46734,0.368091,0
1.47739,0.359739,0
1.48744,0.266478,0
1.49749,0.208048,0
1.50754,0.23781,0
1.51759,0.273155,0
1.52764,0.228773,0
1.53769,0.146819,0
1.54774,0.131496,0
1.55779,0.193048,0
1.56784,0.236054,0
1.57789,0.204021,0
1.58794,0.159593,0
1.59799,0.18322,0
1.60804,0.247633,0
1.61809,0.256875,0
1.62814,0.188094,0
1.63819,0.12331,0
1.64824,0.128089,0
1.65829,0.161585,0
1.66834,0.148071,0
1.67839,0.0951416,0
1.68844,0.0797615,0
1.69849,0.128428,0
1.70854,0.175795,0
1.71859,0.162148,0
1.72864,0.119862,0
1.73869,0.119607,0
1.74874,0.161486,0
1.75879,0.175828,0
1.76884,0.129295,0
1.77889,0.0744619,0
1.78894,0.0710602,0
1.79899,0.101034,0
1.80905,0.103469,0
1.8191,0.070816,0
1.82915,0.0583176,0
1.8392,0.0955217,0
1.84925,0.1377,0
1.8593,0.130897,0
1.86935,0.0904415,0
1.8794,0.0748535,0
1.88945,0.0975654,0
1.8995,0.110509,0
1.90955,0.08084,0
1.9196,0.0414581,0
1.92965,0.0403223,0
1.9397,0.0690678,0
1.94975,0.0795001,0
1.9598,0.0592466,0
1.96985,0.0489398,0
1.9799,0.0762248,0
1.98995,0.109847,0
2,0.104455,0
