# 20240826_210157
# initdata:	data/init_real_m1000_consteps_20240826_143341/init6.csv
# particle mass:	1
# NpT:	200
# pTmax:	2
# epsabs:	0
# epsrel:	1e-05
# integr iter:	10000
pT,abs2Re,abs2Im
0,1690.43,0
0.0100503,1663.29,0
0.0201005,1584.13,0
0.0301508,1459.52,0
0.040201,1299.74,0
0.0502513,1117.82,0
0.0603015,928.091,0
0.0703518,744.539,0
0.080402,578.996,0
0.0904523,439.647,0
0.100503,330.152,0
0.110553,249.675,0
0.120603,193.838,0
0.130653,156.37,0
0.140704,130.927,0
0.150754,112.512,0
0.160804,98.0816,0
0.170854,86.29,0
0.180905,76.6677,0
0.190955,68.7824,0
0.201005,61.8335,0
0.211055,54.8237,0
0.221106,47.0774,0
0.231156,38.666,0
0.241206,30.3919,0
0.251256,23.3057,0
0.261307,18.0707,0
0.271357,14.6007,0
0.281407,12.1975,0
0.291457,10.0675,0
0.301508,7.82651,0
0.311558,5.6388,0
0.321608,3.93306,0
0.331658,2.96252,0
0.341709,2.57615,0
0.351759,2.36499,0
0.361809,2.02161,0
0.371859,1.57827,0
0.38191,1.31738,0
0.39196,1.45485,0
0.40201,1.9044,0
0.41206,2.34729,0
0.422111,2.53567,0
0.432161,2.52935,0
0.442211,2.62745,0
0.452261,3.05583,0
0.462312,3.7187,0
0.472362,4.27039,0
0.482412,4.4484,0
0.492462,4.33945,0
0.502513,4.30255,0
0.512563,4.61156,0
0.522613,5.17094,0
0.532663,5.60038,0
0.542714,5.61512,0
0.552764,5.32168,0
0.562814,5.11806,0
0.572864,5.29124,0
0.582915,5.72214,0
0.592965,6.00885,0
0.603015,5.88848,0
0.613065,5.51643,0
0.623116,5.30629,0
0.633166,5.49297,0
0.643216,5.88348,0
0.653266,6.06459,0
0.663317,5.85055,0
0.673367,5.46773,0
0.683417,5.32563,0
0.693467,5.54374,0
0.703518,5.83311,0
0.713568,5.81226,0
0.723618,5.4268,0
0.733668,5.004,0
0.743719,4.88354,0
0.753769,5.04118,0
0.763819,5.1272,0
0.773869,4.87056,0
0.78392,4.38606,0
0.79397,4.03735,0
0.80402,4.02092,0
0.81407,4.15289,0
0.824121,4.09876,0
0.834171,3.76875,0
0.844221,3.41488,0
0.854271,3.32377,0
0.864322,3.47635,0
0.874372,3.57708,0
0.884422,3.4094,0
0.894472,3.0873,0
0.904523,2.90542,0
0.914573,2.97724,0
0.924623,3.10109,0
0.934673,3.00999,0
0.944724,2.69442,0
0.954774,2.40593,0
0.964824,2.34658,0
0.974874,2.43053,0
0.984925,2.40499,0
0.994975,2.16978,0
1.00503,1.89633,0
1.01508,1.80712,0
1.02513,1.90027,0
1.03518,1.96244,0
1.04523,1.84253,0
1.05528,1.63495,0
1.06533,1.54671,0
1.07538,1.62795,0
1.08543,1.71141,0
1.09548,1.62988,0
1.10553,1.42616,0
1.11558,1.28922,0
1.12563,1.30831,0
1.13568,1.36558,0
1.14573,1.29893,0
1.15578,1.11505,0
1.16583,0.976414,0
1.17588,0.987526,0
1.18593,1.06441,0
1.19598,1.05277,0
1.20603,0.931089,0
1.21608,0.83076,0
1.22613,0.85456,0
1.23618,0.939545,0
1.24623,0.943213,0
1.25628,0.83159,0
1.26633,0.718013,0
1.27638,0.707456,0
1.28643,0.759558,0
1.29648,0.750479,0
1.30653,0.643031,0
1.31658,0.534413,0
1.32663,0.522997,0
1.33668,0.579278,0
1.34673,0.592946,0
1.35678,0.525062,0
1.36683,0.456132,0
1.37688,0.469661,0
1.38693,0.535578,0
1.39698,0.552124,0
1.40704,0.484165,0
1.41709,0.40703,0
1.42714,0.399918,0
1.43719,0.439238,0
1.44724,0.436686,0
1.45729,0.36416,0
1.46734,0.291458,0
1.47739,0.288617,0
1.48744,0.33188,0
1.49749,0.3417,0
1.50754,0.294842,0
1.51759,0.253034,0
1.52764,0.272105,0
1.53769,0.322276,0
1.54774,0.330126,0
1.55779,0.28006,0
1.56784,0.232624,0
1.57789,0.237495,0
1.58794,0.265929,0
1.59799,0.255642,0
1.60804,0.200925,0
1.61809,0.160192,0
1.62814,0.173279,0
1.63819,0.207393,0
1.64824,0.206223,0
1.65829,0.169417,0
1.66834,0.149775,0
1.67839,0.175288,0
1.68844,0.208754,0
1.69849,0.200814,0
1.70854,0.158655,0
1.71859,0.133288,0
1.72864,0.146569,0
1.73869,0.16311,0
1.74874,0.144544,0
1.75879,0.105564,0
1.76884,0.0919298,0
1.77889,0.114702,0
1.78894,0.136019,0
1.79899,0.12476,0
1.80905,0.0999995,0
1.8191,0.100579,0
1.82915,0.127086,0
1.8392,0.140642,0
1.84925,0.118783,0
1.8593,0.086786,0
1.86935,0.0805085,0
1.8794,0.0961625,0
1.88945,0.0990463,0
1.8995,0.0760346,0
1.90955,0.0544869,0
1.9196,0.0615552,0
1.92965,0.084813,0
1.9397,0.0911096,0
1.94975,0.0744604,0
1.9598,0.0627795,0
1.96985,0.0751913,0
1.9799,0.0935427,0
1.98995,0.0891234,0
2,0.0642716,0
